Date,PAYX
2012-09-06,22.784969329833984
2012-09-07,22.784969329833984
2012-09-10,22.725046157836914
2012-09-11,22.71172332763672
2012-09-12,22.45204734802246
2012-09-13,22.731691360473633
2012-09-14,22.944759368896484
2012-09-17,22.798282623291016
2012-09-18,22.838237762451172
2012-09-19,22.958084106445312
2012-09-20,22.95142364501953
2012-09-21,23.004697799682617
2012-09-24,22.891494750976562
2012-09-25,22.245637893676758
2012-09-26,22.08582878112793
2012-09-27,22.10581398010254
2012-09-28,22.165739059448242
2012-10-01,21.779552459716797
2012-10-02,21.979305267333984
2012-10-03,22.15241813659668
2012-10-04,22.219005584716797
2012-10-05,22.352174758911133
2012-10-08,22.205686569213867
2012-10-09,21.952672958374023
2012-10-10,21.81283950805664
2012-10-11,21.77289390563965
2012-10-12,21.726282119750977
2012-10-15,21.86610984802246
2012-10-16,21.952672958374023
2012-10-17,22.019254684448242
2012-10-18,21.94601058959961
2012-10-19,21.673019409179688
2012-10-22,21.732940673828125
2012-10-23,21.81283950805664
2012-10-24,21.81949806213379
2012-10-25,21.84613609313965
2012-10-26,21.926029205322266
2012-10-31,21.804969787597656
2012-11-01,22.3968448638916
2012-11-02,22.15471076965332
2012-11-05,22.026927947998047
2012-11-06,22.208515167236328
2012-11-07,21.959672927856445
2012-11-08,21.67045783996582
2012-11-09,21.630104064941406
2012-11-12,21.67045783996582
2012-11-13,21.603195190429688
2012-11-14,21.21982765197754
2012-11-15,21.233280181884766
2012-11-16,21.34762191772461
2012-11-19,21.475404739379883
2012-11-20,21.529212951660156
2012-11-21,21.60992431640625
2012-11-23,21.81842041015625
2012-11-26,21.683910369873047
2012-11-27,21.576297760009766
2012-11-28,21.683910369873047
2012-11-29,21.81842041015625
2012-11-30,21.885679244995117
2012-12-03,21.845327377319336
2012-12-04,22.05382537841797
2012-12-05,22.17488670349121
2012-12-06,22.282503128051758
2012-12-07,22.32286262512207
2012-12-10,22.36994171142578
2012-12-11,22.800392150878906
2012-12-12,22.7465763092041
2012-12-13,22.672597885131836
2012-12-14,22.672597885131836
2012-12-17,22.813831329345703
2012-12-18,22.7452392578125
2012-12-19,22.669795989990234
2012-12-20,22.217082977294922
2012-12-21,21.53802490234375
2012-12-24,21.60661506652832
2012-12-26,21.366535186767578
2012-12-27,21.33910369873047
2012-12-28,21.18133544921875
2012-12-31,21.332242965698242
2013-01-02,21.8466854095459
2013-01-03,21.8809871673584
2013-01-04,22.066173553466797
2013-01-07,21.96329689025879
2013-01-08,21.915279388427734
2013-01-09,21.922138214111328
2013-01-10,21.8466854095459
2013-01-11,21.798675537109375
2013-01-14,22.134775161743164
2013-01-15,22.004453659057617
2013-01-16,21.915279388427734
2013-01-17,21.96329689025879
2013-01-18,22.21022605895996
2013-01-22,22.27196502685547
2013-01-23,22.141630172729492
2013-01-24,21.77123260498047
2013-01-25,21.839826583862305
2013-01-28,21.915279388427734
2013-01-29,22.347412109375
2013-01-30,22.141630172729492
2013-01-31,22.395429611206055
2013-02-01,22.539466857910156
2013-02-04,22.436580657958984
2013-02-05,22.875568389892578
2013-02-06,22.820697784423828
2013-02-07,22.786401748657227
2013-02-08,22.854991912841797
2013-02-11,22.854991912841797
2013-02-12,22.93730354309082
2013-02-13,22.999038696289062
2013-02-14,23.129364013671875
2013-02-15,23.300846099853516
2013-02-19,23.273414611816406
2013-02-20,23.12250518798828
2013-02-21,22.642358779907227
2013-02-22,22.717805862426758
2013-02-25,22.642358779907227
2013-02-26,22.628644943237305
2013-02-27,22.75210189819336
2013-02-28,22.710947036743164
2013-03-01,22.875568389892578
2013-03-04,22.9921817779541
2013-03-05,23.28026580810547
2013-03-06,23.170520782470703
2013-03-07,23.36258316040039
2013-03-08,23.31456756591797
2013-03-11,23.287128448486328
2013-03-12,23.245973587036133
2013-03-13,23.40373992919922
2013-03-14,23.492902755737305
2013-03-15,23.31456756591797
2013-03-18,23.177379608154297
2013-03-19,23.259689331054688
2013-03-20,23.588932037353516
2013-03-21,23.431167602539062
2013-03-22,23.62322998046875
2013-03-25,23.561487197875977
2013-03-26,23.897600173950195
2013-03-27,23.84272003173828
2013-03-28,24.04850959777832
2013-04-01,24.233707427978516
2013-04-02,24.604097366333008
2013-04-03,24.322877883911133
2013-04-04,24.425769805908203
2013-04-05,23.93189239501953
2013-04-08,24.04850959777832
2013-04-09,24.15825843811035
2013-04-10,24.55609703063965
2013-04-11,24.755006790161133
2013-04-12,24.789302825927734
2013-04-15,24.240564346313477
2013-04-16,24.460063934326172
2013-04-17,24.439483642578125
2013-04-18,24.233707427978516
2013-04-19,24.281715393066406
2013-04-22,24.391464233398438
2013-04-23,24.727567672729492
2013-04-24,24.720706939697266
2013-04-25,24.88532829284668
2013-04-26,24.604097366333008
2013-04-29,24.782442092895508
2013-04-30,24.97450828552246
2013-05-01,24.899044036865234
2013-05-02,25.31060218811035
2013-05-03,25.63298988342285
2013-05-06,25.454648971557617
2013-05-07,25.434064865112305
2013-05-08,25.502662658691406
2013-05-09,25.667280197143555
2013-05-10,25.886777877807617
2013-05-13,25.74272918701172
2013-05-14,26.20230484008789
2013-05-15,26.510969161987305
2013-05-16,26.023962020874023
2013-05-17,26.421798706054688
2013-05-20,26.188587188720703
2013-05-21,26.20230484008789
2013-05-22,26.051401138305664
2013-05-23,26.030820846557617
2013-05-24,25.969085693359375
2013-05-28,26.243446350097656
2013-05-29,25.948516845703125
2013-05-30,25.900493621826172
2013-05-31,25.536954879760742
2013-06-03,25.639848709106445
2013-06-04,25.44778823852539
2013-06-05,25.145984649658203
2013-06-06,25.18714714050293
2013-06-07,25.48208236694336
2013-06-10,25.434064865112305
2013-06-11,25.200857162475586
2013-06-12,25.07738494873047
2013-06-13,25.454648971557617
2013-06-14,25.475221633911133
2013-06-17,25.955373764038086
2013-06-18,25.927936553955078
2013-06-19,25.626123428344727
2013-06-20,25.200857162475586
2013-06-21,25.495798110961914
2013-06-24,25.5438175201416
2013-06-25,25.811321258544922
2013-06-26,26.058265686035156
2013-06-27,25.104825973510742
2013-06-28,25.0430965423584
2013-07-01,25.145984649658203
2013-07-02,25.338043212890625
2013-07-03,25.488943099975586
2013-07-05,25.797611236572266
2013-07-08,26.092552185058594
2013-07-09,26.16800880432129
2013-07-10,26.39436149597168
2013-07-11,26.675594329833984
2013-07-12,27.025413513183594
2013-07-15,26.764766693115234
2013-07-16,26.79220199584961
2013-07-17,26.888229370117188
2013-07-18,26.997982025146484
2013-07-19,26.991117477416992
2013-07-22,27.025413513183594
2013-07-23,26.888229370117188
2013-07-24,26.901947021484375
2013-07-25,26.915664672851562
2013-07-26,26.936235427856445
2013-07-29,26.936235427856445
2013-07-30,26.908559799194336
2013-07-31,27.296138763427734
2013-08-01,27.988222122192383
2013-08-02,28.216615676879883
2013-08-05,28.036666870117188
2013-08-06,28.04358673095703
2013-08-07,27.912090301513672
2013-08-08,27.85672950744629
2013-08-09,27.960540771484375
2013-08-12,27.93285369873047
2013-08-13,27.89826011657715
2013-08-14,27.697547912597656
2013-08-15,27.365337371826172
2013-08-16,27.21307945251465
2013-08-19,27.24077033996582
2013-08-20,27.365337371826172
2013-08-21,27.11618423461914
2013-08-22,27.30305290222168
2013-08-23,27.20616340637207
2013-08-26,27.08157730102539
2013-08-27,26.62480354309082
2013-08-28,26.673248291015625
2013-08-29,26.707843780517578
2013-08-30,26.7701416015625
2013-09-03,26.694013595581055
2013-09-04,26.880876541137695
2013-09-05,26.957012176513672
2013-09-06,27.10926628112793
2013-09-09,27.365337371826172
2013-09-10,27.67679786682129
2013-09-11,28.022830963134766
2013-09-12,27.877483367919922
2013-09-13,27.912090301513672
2013-09-16,28.133563995361328
2013-09-17,28.182008743286133
2013-09-18,28.3204288482666
2013-09-19,28.451929092407227
2013-09-20,28.368877410888672
2013-09-23,28.147397994995117
2013-09-24,28.17508888244629
2013-09-25,28.092037200927734
2013-09-26,28.23737907409668
2013-09-27,27.925941467285156
2013-09-30,28.126638412475586
2013-10-01,27.66986846923828
2013-10-02,27.642179489135742
2013-10-03,27.351491928100586
2013-10-04,27.37225341796875
2013-10-07,27.448392868041992
2013-10-08,27.379186630249023
2013-10-09,27.28228759765625
2013-10-10,27.815200805664062
2013-10-11,28.195842742919922
2013-10-14,28.306589126586914
2013-10-15,28.182008743286133
2013-10-16,28.493459701538086
2013-10-17,28.65262794494629
2013-10-18,28.811813354492188
2013-10-21,29.247833251953125
2013-10-22,29.566179275512695
2013-10-23,29.524667739868164
2013-10-24,29.65616226196289
2013-10-25,29.759984970092773
2013-10-28,29.946853637695312
2013-10-29,29.946853637695312
2013-10-30,29.51425552368164
2013-10-31,29.493324279785156
2013-11-01,29.297956466674805
2013-11-04,29.304929733276367
2013-11-05,29.242151260375977
2013-11-06,29.242151260375977
2013-11-07,29.158405303955078
2013-11-08,29.45145606994629
2013-11-11,29.32586097717285
2013-11-12,29.444469451904297
2013-11-13,29.842187881469727
2013-11-14,30.08638572692871
2013-11-15,30.232921600341797
2013-11-18,30.302703857421875
2013-11-19,30.414325714111328
2013-11-20,30.218969345092773
2013-11-21,30.44223403930664
2013-11-22,30.351539611816406
2013-11-25,30.351539611816406
2013-11-26,30.51899528503418
2013-11-27,30.52596664428711
2013-11-29,30.51201820373535
2013-12-02,30.414325714111328
2013-12-03,30.51201820373535
2013-12-04,30.33757972717285
2013-12-05,29.779396057128906
2013-12-06,30.26083755493164
2013-12-09,30.344562530517578
2013-12-10,30.267810821533203
2013-12-11,30.002670288085938
2013-12-12,30.009639739990234
2013-12-13,29.744504928588867
2013-12-16,30.121280670166016
2013-12-17,29.93290138244629
2013-12-18,30.2259464263916
2013-12-19,31.328367233276367
2013-12-20,31.50281524658203
2013-12-23,31.733043670654297
2013-12-24,31.69817352294922
2013-12-26,31.84468650817871
2013-12-27,31.802827835083008
2013-12-30,31.865612030029297
2013-12-31,31.76793670654297
2014-01-02,31.440017700195312
2014-01-03,31.5516357421875
2014-01-06,31.279521942138672
2014-01-07,31.460941314697266
2014-01-08,31.230680465698242
2014-01-09,31.070201873779297
2014-01-10,30.958572387695312
2014-01-13,30.4073543548584
2014-01-14,30.532943725585938
2014-01-15,30.4492130279541
2014-01-16,30.665510177612305
2014-01-17,30.770172119140625
2014-01-21,30.546897888183594
2014-01-22,30.498050689697266
2014-01-23,30.205020904541016
2014-01-24,29.360746383666992
2014-01-27,29.221206665039062
2014-01-28,29.507278442382812
2014-01-29,29.318897247314453
2014-01-30,29.748085021972656
2014-01-31,29.42442512512207
2014-02-03,28.425321578979492
2014-02-04,28.727853775024414
2014-02-05,28.664531707763672
2014-02-06,28.854509353637695
2014-02-07,28.777116775512695
2014-02-10,28.657501220703125
2014-02-11,28.96709632873535
2014-02-12,29.178171157836914
2014-02-13,29.227413177490234
2014-02-14,29.26259422302246
2014-02-18,29.213348388671875
2014-02-19,29.206302642822266
2014-02-20,29.037450790405273
2014-02-21,29.093730926513672
2014-02-24,29.220380783081055
2014-02-25,29.037450790405273
2014-02-26,29.29778480529785
2014-02-27,29.234455108642578
2014-02-28,29.382211685180664
2014-03-03,28.974123001098633
2014-03-04,29.790300369262695
2014-03-05,29.579214096069336
2014-03-06,29.565147399902344
2014-03-07,30.001373291015625
2014-03-10,29.853618621826172
2014-03-11,29.769187927246094
2014-03-12,29.83250617980957
2014-03-13,29.332958221435547
2014-03-14,29.42442512512207
2014-03-17,29.71993637084961
2014-03-18,30.029525756835938
2014-03-19,29.952125549316406
2014-03-20,30.198387145996094
2014-03-21,30.142086029052734
2014-03-24,29.79732322692871
2014-03-25,29.881763458251953
2014-03-26,29.49477195739746
2014-03-27,29.91693878173828
2014-03-28,29.94508934020996
