Date,AOS
2013-12-17,22.114917755126953
2013-12-18,22.402080535888672
2013-12-19,21.94013786315918
2013-12-20,22.46866226196289
2013-12-23,22.472822189331055
2013-12-24,22.589351654052734
2013-12-26,22.539411544799805
2013-12-27,22.48114776611328
2013-12-30,22.50611686706543
2013-12-31,22.447856903076172
2014-01-02,22.189834594726562
2014-01-03,22.18567657470703
2014-01-06,22.169025421142578
2014-01-07,21.952621459960938
2014-01-08,21.702922821044922
2014-01-09,21.840261459350586
2014-01-10,21.86106300354004
2014-01-13,21.432416915893555
2014-01-14,21.85274314880371
2014-01-15,21.86522674560547
2014-01-16,21.694602966308594
2014-01-17,21.702922821044922
2014-01-21,21.51148796081543
2014-01-22,21.732057571411133
2014-01-23,21.72789192199707
2014-01-24,20.88724136352539
2014-01-27,20.46275520324707
2014-01-28,19.98417091369629
2014-01-29,19.88429069519043
2014-01-30,19.896772384643555
2014-01-31,19.651235580444336
2014-02-03,18.968732833862305
2014-02-04,19.09773826599121
2014-02-05,19.268932342529297
2014-02-06,19.15201187133789
2014-02-07,19.523624420166016
2014-02-10,19.494396209716797
2014-02-11,19.76995849609375
2014-02-12,20.06222915649414
2014-02-13,20.145732879638672
2014-02-14,20.137386322021484
2014-02-18,20.15825843811035
2014-02-19,20.32526397705078
2014-02-20,20.513166427612305
2014-02-21,20.48393440246582
2014-02-24,20.408781051635742
2014-02-25,20.028827667236328
2014-02-26,20.542388916015625
2014-02-27,20.69687271118164
2014-02-28,20.75115203857422
2014-03-03,20.400428771972656
2014-03-04,20.65093421936035
2014-03-05,20.44635772705078
2014-03-06,20.316923141479492
2014-03-07,20.508983612060547
2014-03-10,20.408781051635742
2014-03-11,20.016300201416016
2014-03-12,19.857637405395508
2014-03-13,19.40254020690918
2014-03-14,19.13948631286621
2014-03-17,19.477689743041992
2014-03-18,19.62800407409668
2014-03-19,19.364953994750977
2014-03-20,19.0643310546875
2014-03-21,18.9808292388916
2014-03-24,19.0225830078125
2014-03-25,19.419233322143555
2014-03-26,18.730314254760742
2014-03-27,18.897323608398438
2014-03-28,19.160364151000977
2014-03-31,19.214649200439453
2014-04-01,19.360782623291016
2014-04-02,19.544496536254883
2014-04-03,19.531967163085938
2014-04-04,19.252225875854492
2014-04-07,18.701095581054688
2014-04-08,18.701095581054688
2014-04-09,18.905675888061523
2014-04-10,18.65515899658203
2014-04-11,18.918203353881836
2014-04-14,18.67603874206543
2014-04-15,19.081039428710938
2014-04-16,19.185428619384766
2014-04-17,19.427589416503906
2014-04-21,19.548667907714844
2014-04-22,19.51109504699707
2014-04-23,19.736555099487305
2014-04-24,19.9035701751709
2014-04-25,19.690628051757812
2014-04-28,19.57754135131836
2014-04-29,19.598478317260742
2014-04-30,19.585918426513672
2014-05-01,19.774404525756836
2014-05-02,20.013153076171875
2014-05-05,19.849796295166016
2014-05-06,19.518898010253906
2014-05-07,19.523086547851562
2014-05-08,19.669687271118164
2014-05-09,19.740894317626953
2014-05-12,20.36081314086914
2014-05-13,20.000581741333008
2014-05-14,19.799530029296875
2014-05-15,19.80371856689453
2014-05-16,20.034099578857422
2014-05-19,20.478092193603516
2014-05-20,20.180696487426758
2014-05-21,20.22258186340332
2014-05-22,20.39850616455078
2014-05-23,20.77547836303711
2014-05-27,20.863445281982422
2014-05-28,20.829927444458008
2014-05-29,20.81317710876465
2014-05-30,20.683320999145508
2014-06-02,20.850872039794922
2014-06-03,20.49065399169922
2014-06-04,20.616308212280273
2014-06-05,20.71265411376953
2014-06-06,20.938838958740234
2014-06-09,21.391202926635742
2014-06-10,21.324180603027344
2014-06-11,21.273921966552734
2014-06-12,20.993282318115234
2014-06-13,20.913705825805664
2014-06-16,20.7922306060791
2014-06-17,20.855058670043945
2014-06-18,20.829927444458008
2014-06-19,20.855058670043945
2014-06-20,20.76290512084961
2014-06-23,20.71265411376953
2014-06-24,20.637258529663086
2014-06-25,20.733592987060547
2014-06-26,20.499027252197266
2014-06-27,20.683320999145508
2014-06-30,20.767099380493164
2014-07-01,20.84250259399414
2014-07-02,20.561861038208008
2014-07-03,20.74616241455078
2014-07-07,20.214204788208008
2014-07-08,20.268661499023438
2014-07-09,20.230958938598633
2014-07-10,19.941953659057617
2014-07-11,19.920997619628906
2014-07-14,20.11368179321289
2014-07-15,19.95451545715332
2014-07-16,19.967077255249023
2014-07-17,19.514705657958984
2014-07-18,19.648740768432617
2014-07-21,19.678070068359375
2014-07-22,21.152448654174805
2014-07-23,20.90113639831543
2014-07-24,20.721027374267578
2014-07-25,20.750347137451172
2014-07-28,20.339866638183594
2014-07-29,19.923908233642578
2014-07-30,19.923908233642578
2014-07-31,19.62139129638672
2014-08-01,19.77264976501465
2014-08-04,19.953317642211914
2014-08-05,20.062559127807617
2014-08-06,19.881887435913086
2014-08-07,19.692825317382812
2014-08-08,20.33565902709961
2014-08-11,20.222219467163086
2014-08-12,19.98693084716797
2014-08-13,20.079368591308594
2014-08-14,20.314651489257812
2014-08-15,20.251623153686523
2014-08-18,20.587753295898438
2014-08-19,20.76002311706543
2014-08-20,20.70540428161621
2014-08-21,20.57094383239746
2014-08-22,20.52473258972168
2014-08-25,20.6087646484375
2014-08-26,20.62137222290039
2014-08-27,20.63817596435547
2014-08-28,20.60456085205078
2014-08-29,20.62137222290039
2014-09-02,20.755813598632812
2014-09-03,20.739011764526367
2014-09-04,20.88186264038086
2014-09-05,20.7894344329834
2014-09-08,20.755813598632812
2014-09-09,20.587753295898438
2014-09-10,20.59615707397461
2014-09-11,20.65077781677246
2014-09-12,20.617170333862305
2014-09-15,20.5793514251709
2014-09-16,20.991104125976562
2014-09-17,20.97010612487793
2014-09-18,20.97010612487793
2014-09-19,20.6885986328125
2014-09-22,20.3986873626709
2014-09-23,20.306251525878906
2014-09-24,20.415491104125977
2014-09-25,20.344064712524414
2014-09-26,20.37767791748047
2014-09-29,20.188602447509766
2014-09-30,19.865081787109375
2014-10-01,19.638198852539062
2014-10-02,19.66761016845703
2014-10-03,19.697017669677734
2014-10-06,19.886098861694336
2014-10-07,19.65920639038086
2014-10-08,19.999530792236328
2014-10-09,19.629798889160156
2014-10-10,19.264263153076172
2014-10-13,18.986955642700195
2014-10-14,19.15922737121582
2014-10-15,19.42812156677246
2014-10-16,19.537368774414062
2014-10-17,19.856679916381836
2014-10-20,20.104568481445312
2014-10-21,20.982709884643555
2014-10-22,20.873458862304688
2014-10-23,21.3104248046875
2014-10-24,21.457483291625977
2014-10-27,21.58773422241211
2014-10-28,22.108728408813477
2014-10-29,22.06658935546875
2014-10-30,22.201427459716797
2014-10-31,22.479516983032227
2014-11-03,22.45003318786621
2014-11-04,22.10030174255371
2014-11-05,22.129796981811523
2014-11-06,22.39104652404785
2014-11-07,22.500593185424805
2014-11-10,22.55115509033203
2014-11-11,22.59750747680664
2014-11-12,22.51323699951172
2014-11-13,22.298341751098633
2014-11-14,22.4036865234375
2014-11-17,22.715490341186523
2014-11-18,22.6480770111084
2014-11-19,22.458454132080078
2014-11-20,22.500593185424805
2014-11-21,23.060993194580078
2014-11-24,23.077863693237305
2014-11-25,23.12841796875
2014-11-26,23.018869400024414
2014-11-28,22.723913192749023
2014-12-01,22.66071319580078
2014-12-02,22.568016052246094
2014-12-03,23.267471313476562
2014-12-04,23.18320083618164
2014-12-05,23.225330352783203
2014-12-08,22.803974151611328
2014-12-09,23.056791305541992
2014-12-10,22.521663665771484
2014-12-11,22.816614151000977
2014-12-12,22.54694366455078
2014-12-15,22.52587127685547
2014-12-16,22.361547470092773
2014-12-17,22.799758911132812
2014-12-18,23.187408447265625
2014-12-19,22.947235107421875
2014-12-22,23.32224464416504
2014-12-23,23.604557037353516
2014-12-24,23.67618179321289
2014-12-26,23.85736846923828
2014-12-29,23.87843894958496
2014-12-30,23.929000854492188
2014-12-31,23.768888473510742
2015-01-02,23.600341796875
2015-01-05,23.187408447265625
2015-01-06,22.997798919677734
2015-01-07,23.16634178161621
2015-01-08,23.768888473510742
2015-01-09,23.389663696289062
2015-01-12,23.482362747192383
2015-01-13,23.38123321533203
2015-01-14,23.32224464416504
2015-01-15,22.850326538085938
2015-01-16,23.031503677368164
2015-01-20,22.968305587768555
2015-01-21,23.014659881591797
2015-01-22,23.4950008392334
2015-01-23,23.406513214111328
2015-01-26,23.537137985229492
2015-01-27,25.167797088623047
2015-01-28,25.011898040771484
2015-01-29,25.011898040771484
2015-01-30,25.0329647064209
2015-02-02,25.197294235229492
2015-02-03,25.656579971313477
2015-02-04,25.829872131347656
2015-02-05,25.905956268310547
2015-02-06,25.97357940673828
2015-02-09,25.943998336791992
2015-02-10,26.252553939819336
2015-02-11,26.3075008392334
2015-02-12,26.48503303527832
2015-02-13,26.527292251586914
2015-02-17,26.40894317626953
2015-02-18,26.620281219482422
2015-02-19,26.603370666503906
2015-02-20,26.75554847717285
2015-02-23,26.856985092163086
2015-02-24,26.768220901489258
2015-02-25,26.599151611328125
2015-02-26,26.835857391357422
2015-02-27,26.641414642333984
2015-03-02,27.241622924804688
2015-03-03,26.713266372680664
2015-03-04,26.789350509643555
2015-03-05,26.814714431762695
2015-03-06,26.64565086364746
2015-03-09,26.903478622436523
2015-03-10,26.599151611328125
2015-03-11,26.696369171142578
2015-03-12,26.65410041809082
2015-03-13,26.222963333129883
2015-03-16,26.535743713378906
2015-03-17,26.679452896118164
2015-03-18,27.49099349975586
2015-03-19,27.157081604003906
2015-03-20,27.266983032226562
2015-03-23,27.042959213256836
2015-03-24,27.110586166381836
2015-03-25,26.8273983001709
2015-03-26,27.01338005065918
2015-03-27,27.406463623046875
2015-03-30,27.795331954956055
2015-03-31,27.753063201904297
2015-04-01,27.575538635253906
2015-04-02,27.62626075744629
2015-04-06,27.727697372436523
2015-04-07,27.39378547668457
2015-04-08,27.46564483642578
2015-04-09,27.364194869995117
2015-04-10,27.46564483642578
2015-04-13,27.25430679321289
2015-04-14,27.757286071777344
2015-04-15,27.774198532104492
2015-04-16,27.592445373535156
2015-04-17,27.21202850341797
2015-04-20,27.48677635192871
2015-04-21,27.65161895751953
2015-04-22,27.824918746948242
2015-04-23,27.748838424682617
2015-04-24,28.146141052246094
2015-04-27,27.92635726928711
2015-04-28,27.55333137512207
2015-04-29,27.243886947631836
2015-04-30,27.087047576904297
2015-05-01,27.790714263916016
2015-05-04,27.989948272705078
2015-05-05,27.858537673950195
2015-05-06,27.985700607299805
2015-05-07,28.435043334960938
2015-05-08,28.892841339111328
2015-05-11,28.901329040527344
2015-05-12,28.91827964782715
2015-05-13,29.240440368652344
2015-05-14,29.456626892089844
2015-05-15,29.571086883544922
2015-05-18,29.609235763549805
2015-05-19,29.727920532226562
2015-05-20,29.668577194213867
2015-05-21,29.54987335205078
2015-05-22,29.799985885620117
2015-05-26,29.795745849609375
2015-05-27,30.253549575805664
2015-05-28,30.355287551879883
2015-05-29,30.257797241210938
2015-06-01,30.44431495666504
2015-06-02,30.173015594482422
2015-06-03,30.647790908813477
2015-06-04,30.291709899902344
2015-06-05,30.295955657958984
2015-06-08,29.897483825683594
2015-06-09,29.863563537597656
2015-06-10,30.11367416381836
2015-06-11,30.919071197509766
2015-06-12,31.025062561035156
2015-06-15,30.85125160217285
2015-06-16,31.042001724243164
2015-06-17,31.097124099731445
2015-06-18,31.228519439697266
2015-06-19,31.220033645629883
2015-06-22,31.342971801757812
2015-06-23,31.35145378112793
2015-06-24,30.982662200927734
2015-06-25,31.042001724243164
2015-06-26,31.122556686401367
2015-06-29,30.342571258544922
2015-06-30,30.512130737304688
2015-07-01,31.1055965423584
2015-07-02,30.84278106689453
2015-07-06,30.732566833496094
2015-07-07,29.812698364257812
2015-07-08,27.468555450439453
2015-07-09,27.701698303222656
2015-07-10,28.129831314086914
2015-07-13,28.621551513671875
2015-07-14,28.816537857055664
2015-07-15,28.808074951171875
2015-07-16,28.867403030395508
2015-07-17,28.875896453857422
2015-07-20,29.405763626098633
2015-07-21,28.981863021850586
2015-07-22,29.041217803955078
2015-07-23,30.664731979370117
2015-07-24,30.652019500732422
2015-07-27,29.660099029541016
2015-07-28,29.872051239013672
2015-07-29,30.156829833984375
