Date,COR
2020-08-24,85.9979476928711
2020-08-25,86.623779296875
2020-08-26,86.07728576660156
2020-08-27,86.49153900146484
2020-08-28,85.9803237915039
2020-08-31,85.52201080322266
2020-09-01,83.11579895019531
2020-09-02,86.632568359375
2020-09-03,86.00678253173828
2020-09-04,85.14302062988281
2020-09-08,84.05008697509766
2020-09-09,84.79045104980469
2020-09-10,83.08934783935547
2020-09-11,82.92188262939453
2020-09-14,83.38020324707031
2020-09-15,83.64464569091797
2020-09-16,85.31047058105469
2020-09-17,85.32807159423828
2020-09-18,85.3457260131836
2020-09-21,84.45552825927734
2020-09-22,83.96195220947266
2020-09-23,82.97476959228516
2020-09-24,83.43309783935547
2020-09-25,85.31929016113281
2020-09-28,86.00678253173828
2020-09-29,85.8282699584961
2020-09-30,86.50662231445312
2020-10-01,85.11422729492188
2020-10-02,85.13209533691406
2020-10-05,86.03353881835938
2020-10-06,85.35520935058594
2020-10-07,85.31951141357422
2020-10-08,87.90794372558594
2020-10-09,86.45304107666016
2020-10-12,86.45304107666016
2020-10-13,86.81900024414062
2020-10-14,87.86328887939453
2020-10-15,88.675537109375
2020-10-16,88.82725524902344
2020-10-19,87.29205322265625
2020-10-20,87.46163940429688
2020-10-21,87.2295913696289
2020-10-22,88.11322021484375
2020-10-23,88.70230102539062
2020-10-26,87.80081939697266
2020-10-27,87.15816497802734
2020-10-28,85.41769409179688
2020-10-29,84.42694854736328
2020-10-30,85.74793243408203
2020-11-02,88.3095703125
2020-11-03,91.1746826171875
2020-11-04,93.70954132080078
2020-11-05,94.09334564208984
2020-11-06,92.78128051757812
2020-11-09,94.84310150146484
2020-11-10,98.25267028808594
2020-11-11,95.79812622070312
2020-11-12,94.70030975341797
2020-11-13,96.90511322021484
2020-11-16,97.70279693603516
2020-11-17,94.0101547241211
2020-11-18,92.71052551269531
2020-11-19,91.3302993774414
2020-11-20,90.03964233398438
2020-11-23,90.05757141113281
2020-11-24,92.40580749511719
2020-11-25,92.41476440429688
2020-11-27,92.49545288085938
2020-11-30,92.41476440429688
2020-12-01,91.59022521972656
2020-12-02,92.42373657226562
