Date,NRG
2018-12-13,35.57140350341797
2018-12-14,35.2713623046875
2018-12-17,34.18789291381836
2018-12-18,34.07954025268555
2018-12-19,33.40445327758789
2018-12-20,31.854246139526367
2018-12-21,31.012468338012695
2018-12-24,30.204025268554688
2018-12-26,31.754222869873047
2018-12-27,32.18761444091797
2018-12-28,32.18761444091797
2018-12-31,33.004390716552734
2019-01-02,31.762563705444336
2019-01-03,31.4625301361084
2019-01-04,32.53766632080078
2019-01-07,32.837711334228516
2019-01-08,33.33777618408203
2019-01-09,32.96271896362305
2019-01-10,33.67948532104492
2019-01-11,33.587806701660156
2019-01-14,33.06273651123047
2019-01-15,33.704490661621094
2019-01-16,33.912845611572266
2019-01-17,34.221229553222656
2019-01-18,33.62115478515625
2019-01-22,33.7545051574707
2019-01-23,34.45458984375
2019-01-24,34.77962875366211
2019-01-25,34.11286926269531
2019-01-28,33.45445251464844
2019-01-29,33.279422760009766
2019-01-30,33.48780059814453
2019-01-31,34.12169647216797
2019-02-01,34.02994155883789
2019-02-04,34.23012161254883
2019-02-05,33.938194274902344
2019-02-06,34.07998275756836
2019-02-07,34.67216873168945
2019-02-08,34.88903045654297
2019-02-11,35.239341735839844
2019-02-12,35.37278366088867
2019-02-13,35.48955535888672
2019-02-14,35.53960037231445
2019-02-15,35.41448974609375
2019-02-19,35.40615463256836
2019-02-20,35.080867767333984
2019-02-21,35.41448974609375
2019-02-22,35.214324951171875
2019-02-25,34.897377014160156
2019-02-26,34.5053596496582
2019-02-27,34.21343231201172
2019-02-28,34.763919830322266
2019-03-01,35.197635650634766
2019-03-04,34.7889404296875
2019-03-05,34.813968658447266
2019-03-06,34.513694763183594
2019-03-07,34.396934509277344
2019-03-08,34.58042526245117
2019-03-11,34.85566711425781
2019-03-12,35.81483840942383
2019-03-13,35.91493225097656
2019-03-14,34.91404724121094
2019-03-15,35.005802154541016
2019-03-18,34.930728912353516
2019-03-19,34.97243881225586
2019-03-20,35.4561882019043
2019-03-21,36.17348861694336
2019-03-22,35.439510345458984
2019-03-25,35.97330856323242
2019-03-26,36.16515350341797
2019-03-27,35.71475601196289
2019-03-28,35.66470718383789
2019-03-29,35.431175231933594
2019-04-01,34.84732437133789
2019-04-02,35.33108139038086
2019-04-03,35.314395904541016
2019-04-04,35.23100280761719
2019-04-05,35.089210510253906
2019-04-08,34.98912048339844
2019-04-09,35.164276123046875
2019-04-10,35.2476806640625
2019-04-11,35.37278366088867
2019-04-12,35.25601577758789
2019-04-15,35.27269744873047
2019-04-16,35.05583953857422
2019-04-17,34.346893310546875
2019-04-18,34.196754455566406
2019-04-22,34.105003356933594
2019-04-23,34.48033905029297
2019-04-24,34.488677978515625
2019-04-25,34.105003356933594
2019-04-26,34.13002014160156
2019-04-29,34.0966682434082
2019-04-30,34.36376190185547
2019-05-01,33.84625244140625
2019-05-02,33.02827453613281
2019-05-03,32.919769287109375
2019-05-06,32.009971618652344
2019-05-07,32.26038360595703
2019-05-08,30.84975242614746
2019-05-09,30.61605453491211
2019-05-10,31.141908645629883
2019-05-13,30.72456932067871
2019-05-14,30.248794555664062
2019-05-15,30.040124893188477
2019-05-16,29.881526947021484
2019-05-17,29.697904586791992
2019-05-20,29.973352432250977
2019-05-21,30.632749557495117
2019-05-22,30.46581268310547
2019-05-23,29.65616798400879
2019-05-24,29.65616798400879
2019-05-28,29.230480194091797
2019-05-29,28.61281967163086
2019-05-30,28.162092208862305
2019-05-31,28.412498474121094
2019-06-03,28.61281967163086
2019-06-04,29.11362648010254
2019-06-05,29.338985443115234
2019-06-06,29.447498321533203
2019-06-07,28.988426208496094
2019-06-10,28.54604721069336
2019-06-11,28.838178634643555
2019-06-12,28.79644775390625
2019-06-13,28.72967529296875
2019-06-14,29.03015899658203
2019-06-17,28.746370315551758
2019-06-18,28.92165184020996
2019-06-19,29.04684829711914
2019-06-20,29.247175216674805
2019-06-21,29.355684280395508
2019-06-24,29.364036560058594
2019-06-25,29.330636978149414
2019-06-26,28.128705978393555
2019-06-27,28.404146194458008
2019-06-28,29.31395149230957
2019-07-01,29.57269287109375
2019-07-02,29.414113998413086
2019-07-03,29.889883041381836
2019-07-05,30.12359619140625
2019-07-08,29.806406021118164
2019-07-09,29.706249237060547
2019-07-10,30.015079498291016
2019-07-11,30.040124893188477
2019-07-12,30.040124893188477
2019-07-15,29.747982025146484
2019-07-16,28.4542236328125
2019-07-17,29.04684829711914
2019-07-18,29.29725456237793
2019-07-19,29.330636978149414
2019-07-22,29.16371726989746
2019-07-23,28.788097381591797
2019-07-24,29.01346206665039
2019-07-25,29.105281829833984
2019-07-26,28.7630615234375
2019-07-29,28.788097381591797
2019-07-30,29.03850746154785
2019-07-31,28.520559310913086
2019-08-01,28.670921325683594
2019-08-02,29.02179718017578
2019-08-05,28.169692993164062
2019-08-06,28.345125198364258
2019-08-07,27.818817138671875
2019-08-08,29.33924674987793
2019-08-09,28.52890968322754
2019-08-12,28.353469848632812
2019-08-13,28.89649200439453
2019-08-14,28.38689422607422
2019-08-15,28.670921325683594
2019-08-16,29.631641387939453
2019-08-19,29.623291015625
2019-08-20,29.489622116088867
2019-08-21,29.890607833862305
2019-08-22,29.94908905029297
2019-08-23,29.255708694458008
2019-08-26,29.790367126464844
2019-08-27,29.548093795776367
2019-08-28,29.531387329101562
2019-08-29,29.790367126464844
2019-08-30,30.408557891845703
2019-09-03,30.74271583557129
2019-09-04,31.085229873657227
