Date,HST
2010-09-28,8.86762809753418
2010-09-29,8.752543449401855
2010-09-30,8.770711898803711
2010-10-01,8.873682975769043
2010-10-04,8.934255599975586
2010-10-05,9.273455619812012
2010-10-06,9.358257293701172
2010-10-07,9.249227523803711
2010-10-08,9.449113845825195
2010-10-11,9.400656700134277
2010-10-12,9.576311111450195
2010-10-13,9.66110897064209
2010-10-14,9.685342788696289
2010-10-15,9.758026123046875
2010-10-18,9.879166603088379
2010-10-19,9.691397666931152
2010-10-20,9.909451484680176
2010-10-21,9.72168254852295
2010-10-22,9.818596839904785
2010-10-25,9.776195526123047
2010-10-26,9.751969337463379
2010-10-27,9.630826950073242
2010-10-28,9.636884689331055
2010-10-29,9.624768257141113
2010-11-01,9.636884689331055
2010-11-02,9.703509330749512
2010-11-03,9.685342788696289
2010-11-04,10.218362808227539
2010-11-05,10.36979866027832
2010-11-08,10.25471019744873
2010-11-09,9.703509330749512
2010-11-10,9.74591064453125
2010-11-11,9.764082908630371
2010-11-12,9.59448528289795
2010-11-15,9.509683609008789
2010-11-16,9.273455619812012
2010-11-17,9.358257293701172
2010-11-18,9.60659408569336
2010-11-19,9.758026123046875
2010-11-22,9.739852905273438
2010-11-23,9.667166709899902
2010-11-24,9.945795059204102
2010-11-26,9.909451484680176
2010-11-29,9.970023155212402
2010-11-30,9.982139587402344
2010-12-01,10.085108757019043
2010-12-02,10.23047924041748
2010-12-03,10.23047924041748
2010-12-06,10.29710865020752
2010-12-07,10.381909370422363
2010-12-08,10.272878646850586
2010-12-09,10.25471019744873
2010-12-10,10.412195205688477
2010-12-13,10.442480087280273
2010-12-14,10.309220314025879
2010-12-15,10.133566856384277
2010-12-16,10.25471019744873
2010-12-17,10.448534965515137
2010-12-20,10.660538673400879
2010-12-21,10.78167724609375
2010-12-22,10.757452964782715
2010-12-23,10.636308670043945
2010-12-27,10.818021774291992
2010-12-28,10.78167724609375
2010-12-29,10.775616645812988
2010-12-30,10.793797492980957
2010-12-31,10.830163955688477
2011-01-03,11.12106990814209
2011-01-04,10.957435607910156
2011-01-05,11.181673049926758
2011-01-06,11.102884292602539
2011-01-07,11.054403305053711
2011-01-10,11.102884292602539
2011-01-11,11.127127647399902
2011-01-12,11.181673049926758
2011-01-13,11.151371955871582
2011-01-14,11.205918312072754
2011-01-18,11.248336791992188
2011-01-19,10.993800163269043
2011-01-20,10.896828651428223
2011-01-21,10.993800163269043
2011-01-24,10.951375961303711
2011-01-25,10.987735748291016
2011-01-26,10.975614547729492
2011-01-27,11.224096298217773
2011-01-28,10.836222648620605
2011-01-31,11.218039512634277
2011-02-01,11.521063804626465
2011-02-02,11.478641510009766
2011-02-03,11.490758895874023
2011-02-04,11.545307159423828
2011-02-07,11.781667709350586
2011-02-08,11.884695053100586
2011-02-09,11.811967849731445
2011-02-10,11.787728309631348
2011-02-11,11.981663703918457
2011-02-14,11.914999008178711
2011-02-15,11.436219215393066
2011-02-16,11.472580909729004
2011-02-17,11.484698295593262
2011-02-18,11.45439624786377
2011-02-22,11.036221504211426
2011-02-23,10.939252853393555
2011-02-24,10.872588157653809
2011-02-25,11.139251708984375
2011-02-28,11.151371955871582
2011-03-01,10.636226654052734
2011-03-02,10.690765380859375
2011-03-03,10.8847074508667
2011-03-04,10.708952903747559
2011-03-07,10.581679344177246
2011-03-08,10.733194351196289
2011-03-09,10.85440444946289
2011-03-10,10.618043899536133
2011-03-11,10.618043899536133
2011-03-14,10.508955001831055
2011-03-15,10.3513822555542
2011-03-16,10.236233711242676
2011-03-17,10.466530799865723
2011-03-18,10.593802452087402
2011-03-21,10.811981201171875
2011-03-22,10.684712409973145
2011-03-23,10.581679344177246
2011-03-24,10.733194351196289
2011-03-25,10.733194351196289
2011-03-28,10.42410945892334
2011-03-29,10.618269920349121
2011-03-30,10.636474609375
2011-03-31,10.685011863708496
2011-04-01,10.569729804992676
2011-04-04,10.375568389892578
2011-04-05,10.260286331176758
2011-04-06,10.314892768859863
2011-04-07,10.254215240478516
2011-04-08,10.132864952087402
2011-04-11,10.011510848999023
2011-04-12,10.181406021118164
2011-04-13,10.169267654418945
2011-04-14,10.18747329711914
2011-04-15,10.327027320861816
2011-04-18,10.248148918151855
2011-04-19,10.502985000610352
2011-04-20,10.70321273803711
2011-04-21,10.867039680480957
2011-04-25,10.806363105773926
2011-04-26,10.824566841125488
2011-04-27,10.98839282989502
2011-04-28,10.867039680480957
2011-04-29,10.794227600097656
2011-05-02,10.63040542602539
2011-05-03,10.35129451751709
2011-05-04,10.308821678161621
2011-05-05,10.4605131149292
2011-05-06,10.533323287963867
2011-05-09,10.527257919311523
2011-05-10,10.606134414672852
2011-05-11,10.320958137512207
2011-05-12,10.405899047851562
2011-05-13,10.296686172485352
2011-05-16,10.296686172485352
2011-05-17,10.205676078796387
2011-05-18,10.296686172485352
2011-05-19,10.41804027557373
2011-05-20,10.308821678161621
2011-05-23,10.254215240478516
2011-05-24,10.199605941772461
2011-05-25,10.24207878112793
2011-05-26,10.636474609375
2011-05-27,10.67287540435791
2011-05-31,10.6668119430542
2011-06-01,10.278486251831055
2011-06-02,10.266349792480469
2011-06-03,10.248148918151855
2011-06-06,10.023646354675293
2011-06-07,10.096460342407227
2011-06-08,9.98117446899414
2011-06-09,9.926565170288086
2011-06-10,9.58678150177002
2011-06-13,9.665658950805664
2011-06-14,9.78094482421875
2011-06-15,9.58678150177002
2011-06-16,9.617117881774902
2011-06-17,9.762741088867188
2011-06-20,9.89016056060791
2011-06-21,9.993311882019043
2011-06-22,9.956900596618652
2011-06-23,9.787010192871094
2011-06-24,9.793078422546387
2011-06-27,9.865890502929688
2011-06-28,10.017860412597656
2011-06-29,10.06041145324707
2011-06-30,10.303563117980957
2011-07-01,10.71692180633545
2011-07-05,10.607503890991211
2011-07-06,10.546716690063477
2011-07-07,10.668291091918945
2011-07-08,10.607503890991211
2011-07-11,10.321797370910645
2011-07-12,10.50416374206543
2011-07-13,10.479848861694336
2011-07-14,10.11512279510498
2011-07-15,10.212379455566406
2011-07-18,10.023940086364746
2011-07-19,10.036097526550293
2011-07-20,10.2974853515625
2011-07-21,10.315718650817871
2011-07-22,10.315718650817871
2011-07-25,10.151595115661621
2011-07-26,10.248851776123047
2011-07-27,9.8172607421875
2011-07-28,9.8172607421875
2011-07-29,9.634894371032715
2011-08-01,9.470767974853516
2011-08-02,9.075647354125977
2011-08-03,9.00269889831543
2011-08-04,8.32187557220459
2011-08-05,8.22461223602295
2011-08-08,7.209453105926514
2011-08-09,7.568102836608887
2011-08-10,7.294557571411133
2011-08-11,7.598498821258545
2011-08-12,7.355347156524658
2011-08-15,7.622812747955322
2011-08-16,7.495157241821289
2011-08-17,7.519474029541016
