Date,HD
2010-09-29,22.361461639404297
2010-09-30,22.270078659057617
2010-10-01,22.36849021911621
2010-10-04,22.2630558013916
2010-10-05,22.312255859375
2010-10-06,22.312255859375
2010-10-07,22.312255859375
2010-10-08,22.41770362854004
2010-10-11,22.347408294677734
2010-10-12,22.080280303955078
2010-10-13,21.792051315307617
2010-10-14,21.65849494934082
2010-10-15,21.581167221069336
2010-10-18,21.461666107177734
2010-10-19,21.377304077148438
2010-10-20,21.602256774902344
2010-10-21,22.361461639404297
2010-10-22,22.129487991333008
2010-10-25,22.0732479095459
2010-10-26,21.995920181274414
2010-10-27,21.721755981445312
2010-10-28,21.925621032714844
2010-10-29,21.721755981445312
2010-11-01,21.58819007873535
2010-11-02,22.150569915771484
2010-11-03,22.115428924560547
2010-11-04,22.452842712402344
