Date,SWK
2012-06-28,44.595218658447266
2012-06-29,46.277774810791016
2012-07-02,45.30706024169922
2012-07-03,45.58749771118164
2012-07-05,45.60906982421875
2012-07-06,44.97631072998047
2012-07-09,44.27164077758789
2012-07-10,43.27935791015625
2012-07-11,42.79759216308594
2012-07-12,42.81196975708008
2012-07-13,43.27935791015625
2012-07-16,42.603450775146484
2012-07-17,42.941410064697266
2012-07-18,45.4868278503418
2012-07-19,47.52173614501953
2012-07-20,47.78058624267578
2012-07-23,46.73077392578125
2012-07-24,46.32811737060547
2012-07-25,46.16270446777344
2012-07-26,47.478599548339844
2012-07-27,49.36247634887695
2012-07-30,49.2546272277832
2012-07-31,48.09695053100586
2012-08-01,47.938777923583984
2012-08-02,47.1406364440918
2012-08-03,48.90229797363281
2012-08-06,48.363014221191406
2012-08-07,49.42720031738281
2012-08-08,49.21867370605469
2012-08-09,48.729705810546875
2012-08-10,49.175537109375
2012-08-13,48.83757781982422
2012-08-14,48.010677337646484
2012-08-15,48.18324279785156
2012-08-16,48.73693084716797
2012-08-17,49.1683464050293
2012-08-20,47.9603385925293
2012-08-21,48.578739166259766
2012-08-22,48.75129699707031
2012-08-23,47.98910140991211
2012-08-24,48.506813049316406
2012-08-27,48.32706832885742
2012-08-28,47.622398376464844
2012-08-29,47.79496765136719
2012-08-30,47.2197265625
2012-08-31,47.29882049560547
2012-09-04,47.41387939453125
2012-09-05,47.85576629638672
2012-09-06,51.70972442626953
2012-09-07,52.071937561035156
2012-09-10,51.97776412963867
2012-09-11,52.289268493652344
2012-09-12,52.80362319946289
2012-09-13,53.26726150512695
2012-09-14,55.563697814941406
2012-09-17,54.6654052734375
2012-09-18,54.824771881103516
2012-09-19,55.41156768798828
2012-09-20,55.295650482177734
2012-09-21,56.68655776977539
2012-09-24,56.31708526611328
2012-09-25,54.955196380615234
2012-09-26,54.24520492553711
2012-09-27,55.092803955078125
2012-09-28,55.23768997192383
2012-10-01,55.11455154418945
2012-10-02,55.41156768798828
2012-10-03,54.107566833496094
2012-10-04,54.12932586669922
2012-10-05,54.35390090942383
2012-10-08,53.774349212646484
2012-10-09,52.332759857177734
2012-10-10,52.08643341064453
2012-10-11,51.9632682800293
2012-10-12,50.753482818603516
2012-10-15,51.69521713256836
2012-10-16,52.390708923339844
2012-10-17,50.072532653808594
2012-10-18,50.8476448059082
2012-10-19,50.905609130859375
2012-10-22,50.16671371459961
2012-10-23,50.63032913208008
2012-10-24,50.029048919677734
2012-10-25,49.51471710205078
2012-10-26,48.92792510986328
2012-10-31,50.20293045043945
2012-11-01,50.804195404052734
2012-11-02,50.61585235595703
2012-11-05,51.02876663208008
2012-11-06,51.86911392211914
2012-11-07,50.25362777709961
2012-11-08,49.782752990722656
2012-11-09,49.78998947143555
2012-11-12,49.74652862548828
2012-11-13,50.24638366699219
2012-11-14,48.688865661621094
2012-11-15,48.370113372802734
2012-11-16,48.83375930786133
2012-11-19,50.608612060546875
2012-11-20,50.753482818603516
2012-11-21,50.73174285888672
2012-11-23,51.71696472167969
2012-11-26,51.738712310791016
2012-11-27,50.97080993652344
2012-11-28,52.49934387207031
2012-11-29,53.10063934326172
2012-11-30,52.09367752075195
2012-12-03,51.27508544921875
2012-12-04,50.71726989746094
2012-12-05,51.563533782958984
2012-12-06,51.833457946777344
2012-12-07,51.935604095458984
2012-12-10,52.4097785949707
2012-12-11,52.75265121459961
2012-12-12,53.24873733520508
2012-12-13,52.51921463012695
2012-12-14,52.023136138916016
2012-12-17,52.63595199584961
2012-12-18,54.35763931274414
2012-12-19,53.94910430908203
2012-12-20,54.27738571166992
2012-12-21,53.57703399658203
2012-12-24,53.56975555419922
2012-12-26,53.080970764160156
2012-12-27,53.01529312133789
2012-12-28,52.570281982421875
2012-12-31,53.96369934082031
2013-01-02,55.03611755371094
2013-01-03,54.02205276489258
2013-01-04,54.5400276184082
2013-01-07,54.780784606933594
2013-01-08,55.021514892578125
2013-01-09,54.79536056518555
2013-01-10,55.32062530517578
2013-01-11,54.868324279785156
2013-01-14,54.92668151855469
2013-01-15,55.54677963256836
2013-01-16,55.48111343383789
2013-01-17,56.37846755981445
2013-01-18,56.13772964477539
2013-01-22,56.82347869873047
2013-01-23,56.874549865722656
2013-01-24,56.334678649902344
2013-01-25,56.07936096191406
2013-01-28,55.86778259277344
2013-01-29,56.072052001953125
2013-01-30,56.210670471191406
2013-01-31,56.050167083740234
