Date,DOC
2010-09-29,15.022282600402832
2010-09-30,15.038999557495117
2010-10-01,14.98466968536377
2010-10-04,14.942865371704102
2010-10-05,15.143500328063965
2010-10-06,15.227086067199707
2010-10-07,15.172758102416992
2010-10-08,15.172758102416992
2010-10-11,15.101703643798828
2010-10-12,15.1936616897583
2010-10-13,15.348310470581055
2010-10-14,15.189478874206543
2010-10-15,15.168574333190918
2010-10-18,15.398468971252441
2010-10-19,15.323230743408203
2010-10-20,15.574019432067871
2010-10-21,15.540579795837402
2010-10-22,15.202013969421387
2010-10-25,15.507147789001465
2010-10-26,15.419366836547852
2010-10-27,15.07662296295166
2010-10-28,15.026459693908691
2010-10-29,15.051541328430176
2010-11-01,15.185296058654785
2010-11-02,15.339950561523438
2010-11-03,15.047364234924316
