Date,BKR
2010-09-29,21.496604919433594
2010-09-30,21.746746063232422
2010-10-01,22.22149085998535
2010-10-04,21.859054565429688
2010-10-05,22.395061492919922
2010-10-06,22.624784469604492
2010-10-07,22.338909149169922
2010-10-08,22.74730110168457
2010-10-11,22.70646095275879
2010-10-12,22.834075927734375
2010-10-13,23.104631423950195
2010-10-14,22.895343780517578
2010-10-15,23.288419723510742
2010-10-18,23.033174514770508
2010-10-19,22.56862449645996
2010-10-20,23.06890869140625
2010-10-21,23.022964477539062
2010-10-22,23.773380279541016
2010-10-25,23.778478622436523
2010-10-26,23.95204734802246
2010-10-27,23.72743034362793
2010-10-28,23.553308486938477
2010-10-29,23.773523330688477
2010-11-01,24.772193908691406
2010-11-02,25.238239288330078
2010-11-03,25.248489379882812
