Date,MTCH
2012-06-19,12.206872940063477
2012-06-20,12.0653657913208
2012-06-21,11.995949745178223
2012-06-22,12.148134231567383
2012-06-25,11.851773262023926
2012-06-26,12.126775741577148
2012-06-27,12.18017292022705
2012-06-28,11.838422775268555
2012-06-29,12.174833297729492
2012-07-02,12.134784698486328
2012-07-03,12.447165489196777
2012-07-05,12.580659866333008
2012-07-06,12.436485290527344
2012-07-09,12.634058952331543
2012-07-10,12.67143726348877
2012-07-11,12.57532024383545
2012-07-12,12.212210655212402
2012-07-13,12.428475379943848
2012-07-16,12.7328462600708
2012-07-17,12.796924591064453
2012-07-18,13.055906295776367
2012-07-19,12.94911003112793
2012-07-20,12.965128898620605
2012-07-23,12.85566234588623
2012-07-24,12.895712852478027
2012-07-25,13.664648056030273
2012-07-26,14.182613372802734
2012-07-27,14.3801851272583
2012-07-30,14.217321395874023
2012-07-31,14.046445846557617
2012-08-01,14.00906753540039
2012-08-02,13.803483963012695
2012-08-03,14.177270889282227
2012-08-06,14.217321395874023
2012-08-07,14.046445846557617
2012-08-08,13.838191986083984
2012-08-09,13.74207592010498
2012-08-10,13.974358558654785
2012-08-13,13.85688304901123
2012-08-14,13.80882453918457
2012-08-15,14.00906753540039
2012-08-16,14.01440715789795
2012-08-17,13.971689224243164
2012-08-20,13.966347694396973
2012-08-21,13.85688304901123
2012-08-22,13.800813674926758
2012-08-23,13.696687698364258
2012-08-24,13.750085830688477
2012-08-27,13.862221717834473
2012-08-28,13.931639671325684
2012-08-29,13.944990158081055
2012-08-30,13.854212760925293
2012-08-31,13.840862274169922
2012-09-04,13.90226936340332
2012-09-05,13.744746208190918
2012-09-06,13.899601936340332
2012-09-07,13.723386764526367
2012-09-10,13.712706565856934
2012-09-11,13.931639671325684
2012-09-12,13.734066009521484
2012-09-13,13.918291091918945
2012-09-14,14.057126998901367
2012-09-17,13.862221717834473
2012-09-18,13.830183029174805
2012-09-19,14.067806243896484
2012-09-20,14.420235633850098
2012-09-21,14.209311485290527
2012-09-24,13.936979293823242
2012-09-25,14.067806243896484
2012-09-26,13.776784896850586
2012-09-27,13.891592025756836
2012-09-28,13.899601936340332
2012-10-01,14.038436889648438
2012-10-02,14.089164733886719
2012-10-03,14.310769081115723
2012-10-04,14.34814739227295
2012-10-05,14.39620590209961
2012-10-08,14.332128524780273
2012-10-09,14.158583641052246
2012-10-10,14.078484535217285
2012-10-11,14.324117660522461
2012-10-12,14.297418594360352
2012-10-15,14.649849891662598
2012-10-16,14.684557914733887
