Date,FAST
2010-09-17,3.6015284061431885
2010-09-20,3.648345708847046
2010-09-21,3.633671998977661
2010-09-22,3.646249294281006
2010-09-23,3.6294775009155273
2010-09-24,3.7321996688842773
2010-09-27,3.6937663555145264
2010-09-28,3.759453058242798
2010-09-29,3.7489702701568604
2010-09-30,3.7168242931365967
2010-10-01,3.730103015899658
2010-10-04,3.678394317626953
2010-10-05,3.7727291584014893
2010-10-06,3.7706329822540283
2010-10-07,3.751765727996826
2010-10-08,3.809765338897705
2010-10-11,3.825835943222046
2010-10-12,3.6364660263061523
2010-10-13,3.6860809326171875
2010-10-14,3.6832849979400635
2010-10-15,3.640657901763916
2010-10-18,3.6259844303131104
2010-10-19,3.6106114387512207
2010-10-20,3.661621570587158
2010-10-21,3.6965630054473877
2010-10-22,3.6965630054473877
