Date,LEN
2012-08-10,26.782136917114258
2012-08-13,26.807893753051758
2012-08-14,26.850811004638672
2012-08-15,26.893726348876953
2012-08-16,27.820810317993164
2012-08-17,28.10407829284668
2012-08-20,27.365856170654297
2012-08-21,26.764968872070312
2012-08-22,27.769296646118164
2012-08-23,27.49460792541504
2012-08-24,28.009654998779297
2012-08-27,27.477441787719727
2012-08-28,27.700624465942383
2012-08-29,27.65770149230957
2012-08-30,27.554697036743164
2012-08-31,27.837974548339844
2012-09-04,28.20708465576172
2012-09-05,28.224252700805664
2012-09-06,29.254331588745117
2012-09-07,29.125572204589844
2012-09-10,28.4903564453125
2012-09-11,28.395925521850586
2012-09-12,29.632028579711914
2012-09-13,30.147064208984375
2012-09-14,31.305917739868164
2012-09-17,30.850954055786133
2012-09-18,30.550519943237305
2012-09-19,31.12565040588379
2012-09-20,31.417512893676758
2012-09-21,32.19865036010742
2012-09-24,31.726520538330078
2012-09-25,31.12565040588379
2012-09-26,29.73503303527832
2012-09-27,30.267244338989258
2012-09-28,29.84662628173828
2012-10-01,29.743619918823242
2012-10-02,30.035480499267578
2012-10-03,32.11280059814453
2012-10-04,32.19865036010742
2012-10-05,32.550575256347656
2012-10-08,32.28449249267578
2012-10-09,31.623525619506836
2012-10-10,31.57202911376953
2012-10-11,30.695499420166016
2012-10-12,30.729860305786133
2012-10-15,31.838422775268555
2012-10-16,32.07044219970703
2012-10-17,32.7664909362793
2012-10-18,33.23912811279297
2012-10-19,33.2820930480957
2012-10-22,32.80946731567383
2012-10-23,32.439964294433594
2012-10-24,32.82665252685547
2012-10-25,32.23370361328125
2012-10-26,31.812637329101562
2012-10-31,32.1993293762207
2012-11-01,32.90398025512695
2012-11-02,32.06183624267578
2012-11-05,33.18755340576172
2012-11-06,33.419593811035156
2012-11-07,33.55708312988281
2012-11-08,33.007110595703125
2012-11-09,32.74931335449219
2012-11-12,31.262649536132812
2012-11-13,31.116567611694336
2012-11-14,30.08536148071289
2012-11-15,29.990835189819336
2012-11-16,31.047813415527344
2012-11-19,31.632164001464844
2012-11-20,32.74071502685547
2012-11-21,32.92976379394531
2012-11-23,33.23912811279297
2012-11-26,33.118831634521484
2012-11-27,33.27351379394531
2012-11-28,32.9813117980957
2012-11-29,32.852420806884766
2012-11-30,32.68916320800781
2012-12-03,32.49150848388672
2012-12-04,32.46573257446289
2012-12-05,31.297019958496094
2012-12-06,31.185317993164062
2012-12-07,31.529056549072266
2012-12-10,31.45171356201172
2012-12-11,31.288440704345703
2012-12-12,32.543060302734375
2012-12-13,31.96729850769043
2012-12-14,32.06183624267578
2012-12-17,33.34224319458008
2012-12-18,34.124237060546875
2012-12-19,33.74614334106445
2012-12-20,33.763336181640625
2012-12-21,33.050079345703125
2012-12-24,32.89541244506836
2012-12-26,32.66337585449219
2012-12-27,32.723514556884766
2012-12-28,32.3282356262207
2012-12-31,33.23053741455078
2013-01-02,34.27034378051758
2013-01-03,34.29612350463867
2013-01-04,34.571102142333984
2013-01-07,35.421852111816406
2013-01-08,35.37887191772461
2013-01-09,35.84292984008789
2013-01-10,35.249969482421875
2013-01-11,35.189823150634766
2013-01-14,35.249969482421875
2013-01-15,34.95781707763672
2013-01-16,34.8203125
2013-01-17,36.040565490722656
2013-01-18,36.160884857177734
2013-01-22,36.15228271484375
2013-01-23,36.6163215637207
2013-01-24,36.34991455078125
2013-01-25,37.011619567871094
2013-01-28,36.0147819519043
2013-01-29,36.67647933959961
2013-01-30,35.78194046020508
2013-01-31,35.730308532714844
2013-02-01,35.326045989990234
2013-02-04,34.8787841796875
2013-02-05,35.24003982543945
2013-02-06,35.00780487060547
2013-02-07,34.5089225769043
2013-02-08,34.37129211425781
2013-02-11,33.77779769897461
2013-02-12,35.154022216796875
2013-02-13,35.119625091552734
2013-02-14,34.95619583129883
2013-02-15,34.57773971557617
2013-02-19,34.32829284667969
2013-02-20,31.9801025390625
2013-02-21,32.41876983642578
2013-02-22,32.582210540771484
2013-02-25,31.53282356262207
2013-02-26,32.69401931762695
2013-02-27,33.49394607543945
2013-02-28,33.192909240722656
2013-03-01,33.407928466796875
2013-03-04,34.28527069091797
2013-03-05,34.99917984008789
2013-03-06,35.480873107910156
2013-03-07,35.627113342285156
2013-03-08,35.8851318359375
2013-03-11,35.96256637573242
2013-03-12,35.25724411010742
2013-03-13,35.42066192626953
2013-03-14,36.074378967285156
2013-03-15,35.928157806396484
2013-03-18,35.76472854614258
2013-03-19,35.627113342285156
2013-03-20,37.33017349243164
2013-03-21,36.461429595947266
2013-03-22,36.22921371459961
2013-03-25,35.74752426147461
2013-03-26,35.8851318359375
2013-03-27,35.945350646972656
2013-03-28,35.6786994934082
2013-04-01,34.930381774902344
2013-04-02,34.43151092529297
2013-04-03,33.48534393310547
2013-04-04,33.36492919921875
2013-04-05,33.83802032470703
2013-04-08,34.784175872802734
2013-04-09,34.182064056396484
2013-04-10,33.98422622680664
2013-04-11,33.597164154052734
2013-04-12,34.81856918334961
2013-04-15,32.496185302734375
2013-04-16,33.28750991821289
2013-04-17,32.934844970703125
2013-04-18,32.02311706542969
2013-04-19,32.831642150878906
2013-04-22,33.399932861328125
2013-04-23,35.6903190612793
2013-04-24,35.65586853027344
2013-04-25,36.10361099243164
2013-04-26,36.422183990478516
2013-04-29,35.664493560791016
2013-04-30,35.49226379394531
2013-05-01,34.760379791259766
2013-05-02,36.095001220703125
2013-05-03,36.258602142333984
2013-05-06,36.2672119140625
2013-05-07,36.33610153198242
2013-05-08,36.379154205322266
2013-05-09,36.50830841064453
2013-05-10,36.749393463134766
2013-05-13,37.231590270996094
2013-05-14,37.782649993896484
2013-05-15,37.627662658691406
2013-05-16,36.97327423095703
2013-05-17,37.73098373413086
2013-05-20,37.21435546875
2013-05-21,36.56857681274414
2013-05-22,36.41360092163086
2013-05-23,37.36933517456055
2013-05-24,36.844112396240234
2013-05-28,36.34469223022461
2013-05-29,34.75177001953125
2013-05-30,34.56234359741211
2013-05-31,33.856292724609375
2013-06-03,33.778778076171875
2013-06-04,32.754150390625
2013-06-05,32.24613952636719
