Date,AEE
2012-07-03,21.6260929107666
2012-07-05,21.362043380737305
2012-07-06,21.523052215576172
2012-07-09,21.33628273010254
2012-07-10,21.38780403137207
2012-07-11,21.40713119506836
2012-07-12,21.40069580078125
2012-07-13,21.684053421020508
2012-07-16,21.658302307128906
2012-07-17,21.767784118652344
2012-07-18,21.729143142700195
2012-07-19,21.729143142700195
2012-07-20,21.787113189697266
2012-07-23,21.574573516845703
2012-07-24,21.465097427368164
2012-07-25,21.484411239624023
2012-07-26,21.793542861938477
2012-07-27,22.167064666748047
2012-07-30,22.334518432617188
2012-07-31,22.03182029724121
2012-08-01,21.851505279541016
2012-08-02,21.684053421020508
2012-08-03,22.115550994873047
2012-08-06,22.282987594604492
2012-08-07,22.167064666748047
2012-08-08,22.1863956451416
2012-08-09,22.17350959777832
2012-08-10,22.347394943237305
2012-08-13,22.353836059570312
2012-08-14,22.31519317626953
2012-08-15,22.115550994873047
2012-08-16,21.780654907226562
2012-08-17,21.6260929107666
2012-08-20,21.690502166748047
2012-08-21,21.574573516845703
2012-08-22,21.561695098876953
2012-08-23,21.35561180114746
2012-08-24,21.381370544433594
2012-08-27,21.36849594116211
2012-08-28,21.3298397064209
2012-08-29,21.2525634765625
2012-08-30,21.2525634765625
2012-08-31,21.07224464416504
2012-09-04,21.07224464416504
2012-09-05,21.271886825561523
2012-09-06,21.36849594116211
2012-09-07,21.3298397064209
2012-09-10,21.21902847290039
2012-09-11,21.186429977416992
2012-09-12,21.062580108642578
2012-09-13,21.408077239990234
2012-09-14,21.297252655029297
2012-09-17,21.245100021362305
2012-09-18,21.186429977416992
2012-09-19,21.23858642578125
2012-09-20,21.395042419433594
2012-09-21,21.277700424194336
2012-09-24,21.368959426879883
2012-09-25,21.36244010925293
2012-09-26,21.434146881103516
2012-09-27,21.25814437866211
2012-09-28,21.297252655029297
2012-10-01,21.186429977416992
2012-10-02,21.414594650268555
2012-10-03,21.46022605895996
2012-10-04,21.486297607421875
2012-10-05,21.434146881103516
2012-10-08,21.381996154785156
2012-10-09,21.388517379760742
2012-10-10,21.323331832885742
2012-10-11,21.381996154785156
2012-10-12,21.251625061035156
2012-10-15,21.290739059448242
2012-10-16,21.303781509399414
2012-10-17,21.531932830810547
2012-10-18,21.597118377685547
2012-10-19,21.486297607421875
2012-10-22,21.388517379760742
2012-10-23,21.173391342163086
2012-10-24,21.07561683654785
2012-10-25,21.245100021362305
2012-10-26,21.07561683654785
2012-10-31,21.434146881103516
2012-11-01,21.414594650268555
2012-11-02,21.303781509399414
2012-11-05,21.02346420288086
2012-11-06,20.925674438476562
2012-11-07,20.46283531188965
2012-11-08,20.53453826904297
2012-11-09,19.791385650634766
2012-11-12,19.465438842773438
2012-11-13,19.354618072509766
2012-11-14,19.16556739807129
2012-11-15,18.917848587036133
2012-11-16,19.139497756958008
2012-11-19,18.956966400146484
2012-11-20,18.83310890197754
2012-11-21,18.7222900390625
2012-11-23,18.61147117614746
2012-11-26,18.807037353515625
2012-11-27,18.741840362548828
2012-11-28,19.100378036499023
2012-11-29,19.302465438842773
2012-11-30,19.537151336669922
2012-12-03,19.282913208007812
2012-12-04,19.198169708251953
2012-12-05,19.53063201904297
2012-12-06,19.426332473754883
2012-12-07,19.387222290039062
2012-12-10,19.671350479125977
2012-12-11,19.66474151611328
2012-12-12,19.677961349487305
2012-12-13,19.644922256469727
2012-12-14,19.440082550048828
2012-12-17,19.81011199951172
2012-12-18,20.001737594604492
2012-12-19,19.85635757446289
2012-12-20,20.596437454223633
2012-12-21,20.517141342163086
2012-12-24,20.411426544189453
2012-12-26,20.292476654052734
2012-12-27,20.21318817138672
2012-12-28,20.0347843170166
2012-12-31,20.299087524414062
2013-01-02,20.695554733276367
2013-01-03,20.609657287597656
2013-01-04,20.609657287597656
2013-01-07,20.351947784423828
2013-01-08,20.444461822509766
2013-01-09,20.536972045898438
2013-01-10,20.801279067993164
2013-01-11,20.788063049316406
2013-01-14,20.794675827026367
2013-01-15,20.94003677368164
2013-01-16,20.728591918945312
2013-01-17,20.728591918945312
2013-01-18,20.946653366088867
2013-01-22,21.184534072875977
2013-01-23,21.045764923095703
2013-01-24,21.125059127807617
2013-01-25,21.257219314575195
2013-01-28,21.138273239135742
2013-01-29,21.422407150268555
2013-01-30,21.42902183532715
2013-01-31,21.435630798339844
2013-02-01,21.594223022460938
2013-02-04,21.48849105834961
2013-02-05,21.554569244384766
2013-02-06,21.660293579101562
2013-02-07,21.63386344909668
2013-02-08,21.547964096069336
2013-02-11,21.6999454498291
2013-02-12,21.904775619506836
2013-02-13,21.990680694580078
2013-02-14,21.89816665649414
2013-02-15,21.891557693481445
2013-02-19,21.964248657226562
2013-02-20,22.109615325927734
2013-02-21,21.92460823059082
2013-02-22,22.188913345336914
2013-02-25,21.884946823120117
2013-02-26,22.036930084228516
2013-02-27,22.116230010986328
2013-02-28,22.327674865722656
2013-03-01,22.39375877380371
2013-03-04,22.525909423828125
2013-03-05,22.658069610595703
2013-03-06,22.50609016418457
2013-03-07,22.499475479125977
2013-03-08,22.39375877380371
2013-03-11,22.687971115112305
2013-03-12,22.614418029785156
2013-03-13,22.734773635864258
2013-03-14,22.881877899169922
2013-03-15,22.995553970336914
2013-03-18,22.835084915161133
2013-03-19,22.93537712097168
2013-03-20,23.082483291625977
2013-03-21,22.875200271606445
2013-03-22,22.915315628051758
2013-03-25,22.8952579498291
2013-03-26,23.13597297668457
2013-03-27,23.142667770385742
2013-03-28,23.416818618774414
2013-04-01,23.356637954711914
2013-04-02,23.510438919067383
2013-04-03,23.27640724182129
2013-04-04,23.289775848388672
2013-04-05,23.26302719116211
2013-04-08,23.456939697265625
2013-04-09,23.356637954711914
2013-04-10,23.503746032714844
2013-04-11,23.630802154541016
2013-04-12,23.731098175048828
2013-04-15,23.109233856201172
2013-04-16,23.450252532958984
2013-04-17,23.229597091674805
2013-04-18,23.436880111694336
2013-04-19,23.951744079589844
2013-04-22,23.831382751464844
2013-04-23,24.011947631835938
2013-04-24,24.15904998779297
2013-04-25,24.138986587524414
2013-04-26,24.072113037109375
2013-04-29,24.17241859436035
2013-04-30,24.239288330078125
2013-05-01,24.011947631835938
2013-05-02,24.052059173583984
2013-05-03,24.439884185791016
2013-05-06,24.10555076599121
2013-05-07,24.138986587524414
2013-05-08,23.918325424194336
2013-05-09,23.684282302856445
2013-05-10,23.75115203857422
2013-05-13,23.831382751464844
2013-05-14,23.98518943786621
2013-05-15,24.212541580200195
2013-05-16,24.018613815307617
2013-05-17,24.25934410095215
2013-05-20,24.199159622192383
2013-05-21,24.17241859436035
2013-05-22,23.664222717285156
2013-05-23,23.343273162841797
2013-05-24,23.08917999267578
2013-05-28,22.988866806030273
2013-05-29,22.554237365722656
2013-05-30,22.888568878173828
2013-05-31,22.761524200439453
2013-06-03,22.654541015625
2013-06-04,22.748151779174805
2013-06-05,22.768203735351562
2013-06-06,22.868511199951172
2013-06-07,23.343273162841797
2013-06-10,23.174158096313477
2013-06-11,22.8832950592041
2013-06-12,22.443632125854492
2013-06-13,22.923891067504883
2013-06-14,23.065933227539062
2013-06-17,23.12681007385254
2013-06-18,23.37708854675293
2013-06-19,22.815658569335938
2013-06-20,22.105424880981445
2013-06-21,22.436857223510742
2013-06-24,22.179819107055664
2013-06-25,22.599205017089844
2013-06-26,22.89006996154785
2013-06-27,23.25533103942871
2013-06-28,23.29591178894043
2013-07-01,22.964473724365234
2013-07-02,23.04564666748047
2013-07-03,22.923891067504883
2013-07-05,22.768314361572266
2013-07-08,23.201215744018555
2013-07-09,23.24180030822754
2013-07-10,23.539424896240234
2013-07-11,23.877635955810547
2013-07-12,24.006160736083984
2013-07-15,24.391721725463867
2013-07-16,24.344369888305664
2013-07-17,24.31731605529785
2013-07-18,24.560823440551758
2013-07-19,24.418773651123047
2013-07-22,24.330839157104492
2013-07-23,24.222612380981445
2013-07-24,24.067035675048828
2013-07-25,24.1617488861084
2013-07-26,24.31731605529785
2013-07-29,24.425539016723633
2013-07-30,24.425539016723633
2013-07-31,24.222612380981445
2013-08-01,24.554058074951172
2013-08-02,24.8043270111084
2013-08-05,24.635229110717773
2013-08-06,24.303783416748047
2013-08-07,24.04674530029297
2013-08-08,24.242916107177734
2013-08-09,23.952043533325195
2013-08-12,23.8032283782959
2013-08-13,23.70853042602539
2013-08-14,23.451486587524414
2013-08-15,23.04564666748047
2013-08-16,22.748023986816406
2013-08-19,22.55185317993164
2013-08-20,22.829185485839844
2013-08-21,22.612733840942383
2013-08-22,22.734485626220703
2013-08-23,22.903593063354492
2013-08-26,22.748023986816406
2013-08-27,22.680370330810547
2013-08-28,22.70067024230957
2013-08-29,22.734485626220703
2013-08-30,22.86977195739746
2013-09-03,22.477445602416992
2013-09-04,22.342164993286133
2013-09-05,22.213640213012695
2013-09-06,22.42333221435547
2013-09-09,22.64927864074707
2013-09-10,22.779367446899414
2013-09-11,22.539730072021484
2013-09-12,22.41648292541504
2013-09-13,22.4986515045166
2013-09-16,22.868377685546875
2013-09-17,23.01900863647461
2013-09-18,23.854318618774414
2013-09-19,23.806396484375
2013-09-20,23.689992904663086
2013-09-23,23.98440170288086
2013-09-24,24.230892181396484
2013-09-25,24.26512336730957
2013-09-26,24.07341766357422
2013-09-27,23.970714569091797
2013-09-30,23.854318618774414
2013-10-01,23.874860763549805
2013-10-02,23.92278289794922
2013-10-03,23.64207649230957
2013-10-04,23.64891815185547
2013-10-07,23.436664581298828
2013-10-08,23.546213150024414
2013-10-09,23.758464813232422
2013-10-10,24.20351219177246
2013-10-11,24.33359718322754
2013-10-14,24.32674789428711
2013-10-15,24.02549171447754
2013-10-16,24.059724807739258
2013-10-17,24.53900718688965
2013-10-18,24.566394805908203
2013-10-21,24.456850051879883
2013-10-22,24.621164321899414
2013-10-23,24.730709075927734
2013-10-24,24.655397415161133
2013-10-25,24.97719955444336
2013-10-28,25.00458335876465
2013-10-29,25.045665740966797
2013-10-30,24.799179077148438
2013-10-31,24.77178955078125
2013-11-01,24.97719955444336
2013-11-04,25.038818359375
2013-11-05,24.77863311767578
2013-11-06,25.079898834228516
2013-11-07,24.826576232910156
2013-11-08,24.92927360534668
2013-11-11,24.895036697387695
2013-11-12,24.628013610839844
2013-11-13,24.77178955078125
2013-11-14,25.107284545898438
2013-11-15,25.298995971679688
2013-11-18,25.353771209716797
2013-11-19,25.31268882751465
2013-11-20,25.107284545898438
2013-11-21,25.155223846435547
2013-11-22,25.107284545898438
2013-11-25,25.052507400512695
2013-11-26,24.799179077148438
2013-11-27,24.628013610839844
2013-11-29,24.545854568481445
2013-12-02,24.68963050842285
2013-12-03,24.86080551147461
2013-12-04,25.02512550354004
2013-12-05,24.710172653198242
2013-12-06,24.949813842773438
2013-12-09,24.72829246520996
2013-12-10,24.3959903717041
2013-12-11,24.098308563232422
2013-12-12,24.312910079956055
2013-12-13,24.24368667602539
2013-12-16,24.402912139892578
2013-12-17,24.402912139892578
2013-12-18,24.852886199951172
2013-12-19,24.776742935180664
2013-12-20,25.025972366333008
2013-12-23,24.8252010345459
2013-12-24,24.949806213378906
2013-12-26,24.887510299682617
2013-12-27,24.922117233276367
2013-12-30,25.0190372467041
2013-12-31,25.032886505126953
2014-01-02,24.59674835205078
2014-01-03,24.50675392150879
2014-01-06,24.755971908569336
2014-01-07,25.074420928955078
2014-01-08,24.880586624145508
2014-01-09,24.949806213378906
2014-01-10,25.282102584838867
2014-01-13,25.081340789794922
2014-01-14,25.13673210144043
2014-01-15,24.887510299682617
2014-01-16,25.039806365966797
2014-01-17,25.025972366333008
2014-01-21,25.365177154541016
2014-01-22,25.35826301574707
2014-01-23,25.247501373291016
2014-01-24,24.85982894897461
2014-01-27,25.09519386291504
2014-01-28,25.28902816772461
2014-01-29,25.351341247558594
2014-01-30,25.794395446777344
2014-01-31,26.195911407470703
2014-02-03,26.071304321289062
2014-02-04,25.766708374023438
2014-02-05,25.565942764282227
2014-02-06,25.732088088989258
2014-02-07,25.91899871826172
2014-02-10,26.07823371887207
2014-02-11,26.40359115600586
2014-02-12,26.33437728881836
2014-02-13,26.576671600341797
2014-02-14,26.742820739746094
2014-02-18,26.922815322875977
2014-02-19,26.493589401245117
2014-02-20,26.867427825927734
2014-02-21,28.300451278686523
2014-02-24,28.314300537109375
2014-02-25,28.030467987060547
2014-02-26,27.995849609375
2014-02-27,27.79508399963379
2014-02-28,27.97508430480957
2014-03-03,27.94046401977539
2014-03-04,28.314300537109375
2014-03-05,28.09969139099121
2014-03-06,27.8989315032959
2014-03-07,27.615095138549805
2014-03-10,27.726978302001953
2014-03-11,27.726978302001953
2014-03-12,28.104604721069336
2014-03-13,28.559146881103516
2014-03-14,28.768922805786133
2014-03-17,28.768922805786133
2014-03-18,28.74094581604004
2014-03-19,28.314388275146484
2014-03-20,28.062646865844727
2014-03-21,28.307405471801758
2014-03-24,28.356346130371094
2014-03-25,28.3283748626709
2014-03-26,28.153554916381836
2014-03-27,28.3283748626709
2014-03-28,28.531177520751953
2014-03-31,28.81088638305664
2014-04-01,28.50319480895996
2014-04-02,28.370330810546875
2014-04-03,28.384321212768555
2014-04-04,28.251445770263672
2014-04-07,27.80390167236328
2014-04-08,28.16753387451172
2014-04-09,27.992704391479492
2014-04-10,28.090606689453125
2014-04-11,28.321378707885742
2014-04-14,28.650041580200195
2014-04-15,29.195505142211914
2014-04-16,29.300384521484375
2014-04-17,28.664037704467773
2014-04-21,28.43327522277832
2014-04-22,28.447256088256836
2014-04-23,28.692007064819336
2014-04-24,28.754953384399414
2014-04-25,29.034664154052734
2014-04-28,28.873825073242188
2014-04-29,28.85982322692871
2014-04-30,28.887807846069336
2014-05-01,28.873825073242188
2014-05-02,28.11158561706543
2014-05-05,28.405298233032227
2014-05-06,28.202503204345703
2014-05-07,28.657039642333984
2014-05-08,28.181516647338867
2014-05-09,27.489221572875977
2014-05-12,27.097623825073242
2014-05-13,27.13958168029785
2014-05-14,27.461244583129883
2014-05-15,27.531187057495117
2014-05-16,27.426288604736328
2014-05-19,26.950767517089844
2014-05-20,26.873842239379883
2014-05-21,26.60810089111328
2014-05-22,27.083635330200195
2014-05-23,27.02069854736328
2014-05-27,27.20950698852539
2014-05-28,27.398311614990234
2014-05-29,27.20950698852539
2014-05-30,27.517194747924805
2014-06-02,27.3004150390625
