Date,SNA
2016-06-03,127.28565979003906
2016-06-06,127.20559692382812
2016-06-07,127.60562896728516
2016-06-08,127.7256088256836
2016-06-09,128.28567504882812
2016-06-10,124.72544860839844
2016-06-13,123.13343811035156
2016-06-14,122.81336975097656
2016-06-15,122.44538879394531
2016-06-16,122.79740905761719
2016-06-17,122.38141632080078
2016-06-20,123.36542510986328
2016-06-21,123.6214599609375
2016-06-22,121.89338684082031
2016-06-23,124.50145721435547
2016-06-24,120.10930633544922
2016-06-27,118.4292221069336
2016-06-28,121.01335906982422
2016-06-29,123.3734359741211
2016-06-30,126.26158142089844
2016-07-01,126.40559387207031
2016-07-05,124.0374526977539
2016-07-06,125.07750701904297
2016-07-07,125.80554962158203
2016-07-08,128.13363647460938
2016-07-11,129.1256866455078
2016-07-12,130.16574096679688
2016-07-13,129.9257049560547
2016-07-14,130.16574096679688
2016-07-15,129.93373107910156
2016-07-18,129.05368041992188
2016-07-19,128.06167602539062
2016-07-20,129.30169677734375
2016-07-21,124.83746337890625
2016-07-22,126.62955474853516
2016-07-25,126.52559661865234
2016-07-26,126.2375259399414
2016-07-27,124.76547241210938
2016-07-28,124.36544799804688
2016-07-29,125.74151611328125
2016-08-01,125.66954803466797
2016-08-02,123.43742370605469
2016-08-03,123.44546508789062
2016-08-04,122.75735473632812
2016-08-05,125.12553405761719
2016-08-08,124.1094741821289
2016-08-09,124.8615493774414
2016-08-10,124.65350341796875
2016-08-11,125.44554138183594
2016-08-12,122.8213882446289
2016-08-15,122.91741180419922
2016-08-16,121.62134552001953
2016-08-17,122.77003479003906
2016-08-18,123.30818176269531
2016-08-19,123.63751983642578
2016-08-22,123.0591812133789
2016-08-23,124.30422973632812
2016-08-24,124.52110290527344
2016-08-25,124.77819061279297
2016-08-26,123.78211975097656
2016-08-29,124.60950469970703
2016-08-30,124.15967559814453
2016-08-31,123.13147735595703
2016-09-01,123.05116271972656
2016-09-02,123.44476318359375
2016-09-06,122.71380615234375
2016-09-07,121.54906463623047
2016-09-08,121.51693725585938
2016-09-09,118.49665832519531
2016-09-12,118.7055435180664
2016-09-13,117.88618469238281
2016-09-14,118.2878189086914
2016-09-15,119.28387451171875
2016-09-16,118.8742446899414
2016-09-19,119.97469329833984
2016-09-20,120.07108306884766
2016-09-21,120.40843963623047
2016-09-22,122.73789978027344
2016-09-23,121.9266357421875
2016-09-26,121.27592468261719
2016-09-27,121.24382019042969
2016-09-28,121.20367431640625
2016-09-29,119.84612274169922
2016-09-30,122.0631332397461
2016-10-03,121.02693939208984
2016-10-04,120.83415985107422
2016-10-05,121.4285888671875
2016-10-06,122.82623291015625
2016-10-07,120.72174835205078
2016-10-10,119.91041564941406
2016-10-11,117.83798217773438
2016-10-12,118.38420867919922
2016-10-13,117.2516098022461
2016-10-14,118.34405517578125
2016-10-17,119.82205200195312
2016-10-18,120.13533020019531
2016-10-19,119.77384948730469
2016-10-20,127.76624298095703
2016-10-21,127.3726577758789
2016-10-24,128.29641723632812
2016-10-25,125.91881561279297
2016-10-26,124.489013671875
2016-10-27,123.48491668701172
2016-10-28,123.06724548339844
2016-10-31,123.78211975097656
2016-11-01,122.17557525634766
2016-11-02,122.38448333740234
2016-11-03,122.69773864746094
2016-11-04,123.60542297363281
2016-11-07,126.7220687866211
2016-11-08,126.97105407714844
2016-11-09,128.86676025390625
2016-11-10,133.85501098632812
2016-11-11,133.71839904785156
2016-11-14,134.63417053222656
2016-11-15,135.35707092285156
2016-11-16,134.3970947265625
2016-11-17,135.15541076660156
2016-11-18,135.33285522460938
2016-11-21,135.9620819091797
2016-11-22,137.76084899902344
2016-11-23,136.47024536132812
2016-11-25,137.599609375
2016-11-28,135.82493591308594
2016-11-29,135.3651123046875
2016-11-30,134.873046875
2016-12-01,134.96182250976562
2016-12-02,134.92958068847656
2016-12-05,136.34927368164062
2016-12-06,136.81712341308594
2016-12-07,139.47100830078125
2016-12-08,139.7211151123047
2016-12-09,142.1330108642578
2016-12-12,141.07627868652344
2016-12-13,139.8017578125
2016-12-14,138.42239379882812
2016-12-15,140.69712829589844
2016-12-16,138.72894287109375
2016-12-19,138.98704528808594
2016-12-20,140.6890411376953
2016-12-21,140.05186462402344
2016-12-22,139.42259216308594
2016-12-23,139.8824462890625
2016-12-27,140.34217834472656
2016-12-28,138.53530883789062
2016-12-29,138.8660125732422
2016-12-30,138.15618896484375
2017-01-03,138.05941772460938
2017-01-04,139.36614990234375
2017-01-05,138.50302124023438
2017-01-06,139.7049560546875
2017-01-09,140.3502960205078
2017-01-10,142.1894073486328
2017-01-11,143.1090545654297
2017-01-12,143.157470703125
2017-01-13,142.88319396972656
2017-01-17,140.69712829589844
2017-01-18,141.3263702392578
2017-01-19,141.06016540527344
2017-01-20,141.0359344482422
2017-01-23,140.0760040283203
2017-01-24,143.08482360839844
2017-01-25,144.39968872070312
2017-01-26,145.21441650390625
2017-01-27,145.69032287597656
2017-01-30,146.39215087890625
2017-01-31,146.4324493408203
2017-02-01,145.4403076171875
2017-02-02,134.6956329345703
2017-02-03,136.9542236328125
2017-02-06,135.39744567871094
2017-02-07,134.56649780273438
2017-02-08,134.3970947265625
2017-02-09,136.08311462402344
2017-02-10,137.04298400878906
2017-02-13,138.63214111328125
2017-02-14,139.48715209960938
2017-02-15,141.44735717773438
2017-02-16,139.8017578125
2017-02-17,139.2048797607422
2017-02-21,139.0596160888672
2017-02-22,138.50071716308594
2017-02-23,138.5331268310547
2017-02-24,138.80039978027344
2017-02-27,138.58985900878906
2017-02-28,137.43148803710938
2017-03-01,140.00733947753906
2017-03-02,138.57363891601562
2017-03-03,138.09573364257812
2017-03-06,136.89700317382812
2017-03-07,136.45144653320312
2017-03-08,136.89700317382812
2017-03-09,136.354248046875
2017-03-10,137.56922912597656
2017-03-13,138.3144073486328
2017-03-14,137.25331115722656
2017-03-15,139.52134704589844
2017-03-16,140.03970336914062
2017-03-17,140.03163146972656
2017-03-20,139.10824584960938
2017-03-21,137.33433532714844
2017-03-22,135.41470336914062
2017-03-23,134.75045776367188
2017-03-24,134.07005310058594
2017-03-27,133.5759735107422
2017-03-28,135.8764190673828
2017-03-29,135.48756408691406
2017-03-30,136.32994079589844
2017-03-31,136.6215057373047
2017-04-03,135.44708251953125
2017-04-04,133.43829345703125
2017-04-05,132.14230346679688
2017-04-06,133.1709747314453
2017-04-07,133.14669799804688
2017-04-10,133.13858032226562
2017-04-11,133.80276489257812
2017-04-12,131.7292022705078
2017-04-13,130.7248077392578
2017-04-17,132.44198608398438
2017-04-18,132.27992248535156
2017-04-19,132.6525421142578
2017-04-20,140.234130859375
2017-04-21,141.91891479492188
2017-04-24,141.95941162109375
2017-04-25,141.6678009033203
2017-04-26,137.8851318359375
2017-04-27,137.9580535888672
2017-04-28,135.69818115234375
2017-05-01,135.66578674316406
2017-05-02,136.76736450195312
2017-05-03,135.46327209472656
2017-05-04,137.5044403076172
2017-05-05,138.0633544921875
2017-05-08,138.1038360595703
2017-05-09,138.25778198242188
2017-05-10,138.37924194335938
2017-05-11,138.76805114746094
2017-05-12,137.69888305664062
2017-05-15,138.44403076171875
2017-05-16,138.24960327148438
2017-05-17,133.5320587158203
2017-05-18,133.65406799316406
2017-05-19,134.78465270996094
2017-05-22,133.3124237060547
2017-05-23,132.751220703125
2017-05-24,131.90524291992188
2017-05-25,130.3029022216797
2017-05-26,130.71778869628906
2017-05-30,129.8555908203125
2017-05-31,131.49049377441406
2017-06-01,132.9383087158203
2017-06-02,132.3770294189453
2017-06-05,132.62921142578125
2017-06-06,132.07611083984375
