Date,STZ
2016-12-20,132.04530334472656
2016-12-21,133.15115356445312
2016-12-22,130.5445098876953
2016-12-23,132.34373474121094
2016-12-27,132.65086364746094
2016-12-28,133.74794006347656
2016-12-29,134.9327850341797
2016-12-30,134.55543518066406
2017-01-03,135.81932067871094
2017-01-04,138.66294860839844
2017-01-05,128.7979278564453
2017-01-06,131.15884399414062
2017-01-09,131.88723754882812
2017-01-10,130.9833221435547
2017-01-11,130.77268981933594
2017-01-12,129.48248291015625
2017-01-13,131.01840209960938
2017-01-17,134.92401123046875
2017-01-18,132.0716094970703
2017-01-19,131.2904815673828
2017-01-20,131.7205352783203
2017-01-23,133.01071166992188
2017-01-24,134.3272705078125
2017-01-25,135.24000549316406
2017-01-26,131.62400817871094
2017-01-27,130.70249938964844
2017-01-30,130.19342041015625
2017-01-31,131.43966674804688
2017-02-01,131.51869201660156
2017-02-02,131.00965881347656
2017-02-03,130.8341064453125
2017-02-06,131.44850158691406
2017-02-07,133.762939453125
2017-02-08,136.03335571289062
2017-02-09,137.04541015625
2017-02-10,136.7989959716797
2017-02-13,136.8341827392578
2017-02-14,137.18618774414062
2017-02-15,137.46780395507812
2017-02-16,139.49183654785156
2017-02-17,141.96466064453125
2017-02-21,140.8822479248047
2017-02-22,140.9790802001953
2017-02-23,135.17098999023438
2017-02-24,139.79107666015625
2017-02-27,138.86705017089844
2017-02-28,139.75588989257812
2017-03-01,140.4598846435547
2017-03-02,139.4214630126953
2017-03-03,139.7118377685547
2017-03-06,138.86705017089844
2017-03-07,138.3478240966797
2017-03-08,137.61740112304688
2017-03-09,137.09820556640625
2017-03-10,138.65585327148438
2017-03-13,139.38629150390625
2017-03-14,140.02867126464844
2017-03-15,142.66871643066406
2017-03-16,142.59829711914062
2017-03-17,142.34312438964844
2017-03-20,143.04713439941406
2017-03-21,144.85997009277344
2017-03-22,144.49916076660156
2017-03-23,143.19674682617188
2017-03-24,144.3759765625
2017-03-27,144.04153442382812
2017-03-28,142.9415283203125
2017-03-29,144.0503387451172
2017-03-30,142.95033264160156
2017-03-31,142.6247100830078
2017-04-03,142.26393127441406
2017-04-04,142.13192749023438
2017-04-05,142.03517150878906
2017-04-06,151.16090393066406
2017-04-07,149.9289093017578
2017-04-10,150.72088623046875
2017-04-11,149.91131591796875
2017-04-12,149.5680389404297
2017-04-13,148.67922973632812
2017-04-17,149.70887756347656
2017-04-18,151.54815673828125
2017-04-19,151.31051635742188
2017-04-20,152.1992950439453
2017-04-21,151.44248962402344
2017-04-24,152.26974487304688
2017-04-25,151.8385009765625
2017-04-26,150.02569580078125
2017-04-27,150.53607177734375
2017-04-28,151.8385009765625
2017-05-01,151.4249267578125
2017-05-02,153.6337127685547
2017-05-03,152.8945770263672
2017-05-04,155.93939208984375
2017-05-05,157.09226989746094
2017-05-08,158.442626953125
2017-05-09,156.8980712890625
2017-05-10,156.72152709960938
2017-05-11,157.35702514648438
2017-05-12,157.6041259765625
2017-05-15,159.11338806152344
2017-05-16,160.81678771972656
2017-05-17,159.4663543701172
2017-05-18,159.6075897216797
2017-05-19,161.46109008789062
2017-05-22,162.5201873779297
2017-05-23,159.62525939941406
2017-05-24,157.83360290527344
2017-05-25,158.98980712890625
2017-05-26,159.68707275390625
2017-05-30,159.31639099121094
2017-05-31,161.2933807373047
2017-06-01,163.005615234375
2017-06-02,163.07618713378906
2017-06-05,162.84669494628906
2017-06-06,164.0117645263672
2017-06-07,162.87318420410156
2017-06-08,161.91116333007812
2017-06-09,159.74887084960938
2017-06-12,158.10719299316406
2017-06-13,158.4690704345703
2017-06-14,158.77798461914062
2017-06-15,159.13104248046875
2017-06-16,159.64295959472656
2017-06-19,161.76109313964844
2017-06-20,162.88201904296875
2017-06-21,162.837890625
2017-06-22,162.49366760253906
2017-06-23,162.89971923828125
2017-06-26,161.04624938964844
2017-06-27,160.87855529785156
2017-06-28,162.1141815185547
2017-06-29,170.15455627441406
2017-06-30,170.98419189453125
2017-07-03,169.21900939941406
2017-07-05,171.15191650390625
2017-07-06,171.01071166992188
2017-07-07,170.79885864257812
2017-07-10,171.0636749267578
2017-07-11,171.12545776367188
2017-07-12,173.9585723876953
2017-07-13,173.20831298828125
2017-07-14,175.03529357910156
2017-07-17,173.51719665527344
2017-07-18,174.02915954589844
2017-07-19,175.0176239013672
2017-07-20,174.85879516601562
2017-07-21,175.2118377685547
2017-07-24,172.9877166748047
2017-07-25,170.93125915527344
2017-07-26,170.67530822753906
2017-07-27,171.6284942626953
2017-07-28,171.74327087402344
2017-07-31,170.64883422851562
2017-08-01,171.88442993164062
2017-08-02,170.79000854492188
2017-08-03,170.375244140625
2017-08-04,171.0636749267578
2017-08-07,172.5415496826172
2017-08-08,172.284912109375
2017-08-09,172.91322326660156
2017-08-10,172.29380798339844
2017-08-11,173.1432647705078
2017-08-14,174.5061798095703
2017-08-15,175.84239196777344
2017-08-16,175.72738647460938
2017-08-17,174.40879821777344
2017-08-18,175.11679077148438
2017-08-21,175.32916259765625
2017-08-22,174.10791015625
2017-08-23,174.09909057617188
2017-08-24,174.2318115234375
2017-08-25,175.50616455078125
2017-08-28,175.11679077148438
2017-08-29,175.5769805908203
2017-08-30,176.58583068847656
2017-08-31,177.0814208984375
2017-09-01,177.19644165039062
2017-09-05,177.95751953125
