Date,CTRA
2017-12-05,20.98702049255371
2017-12-06,20.779592514038086
2017-12-07,20.579578399658203
2017-12-08,20.55735206604004
2017-12-11,20.98702049255371
2017-12-12,20.44623374938965
2017-12-13,20.564756393432617
2017-12-14,20.194360733032227
2017-12-15,19.73505973815918
2017-12-18,20.06842041015625
2017-12-19,19.868406295776367
2017-12-20,19.979524612426758
2017-12-21,20.53512191772461
2017-12-22,20.438819885253906
2017-12-26,20.81663703918457
2017-12-27,20.8388614654541
2017-12-28,21.142589569091797
2017-12-29,21.18703842163086
2018-01-02,21.40927505493164
2018-01-03,21.505582809448242
2018-01-04,21.416685104370117
2018-01-05,21.305570602416992
2018-01-08,21.416685104370117
2018-01-09,21.57225799560547
2018-01-10,20.71291732788086
2018-01-11,21.038869857788086
2018-01-12,21.39446258544922
2018-01-16,20.764781951904297
2018-01-17,20.727737426757812
2018-01-18,20.42401123046875
2018-01-19,20.379558563232422
2018-01-22,20.82404327392578
2018-01-23,21.054182052612305
2018-01-24,20.86858558654785
2018-01-25,20.50481414794922
2018-01-26,20.66071891784668
2018-01-29,20.089075088500977
2018-01-30,19.814393997192383
2018-01-31,19.561981201171875
2018-02-01,19.45062255859375
2018-02-02,18.7008056640625
2018-02-05,17.876752853393555
2018-02-06,18.262794494628906
2018-02-07,17.349655151367188
2018-02-08,17.082399368286133
2018-02-09,17.55010414123535
2018-02-12,17.69858169555664
2018-02-13,17.616914749145508
2018-02-14,17.817365646362305
2018-02-15,17.854476928710938
2018-02-16,17.735698699951172
2018-02-20,17.757972717285156
2018-02-21,17.260570526123047
2018-02-22,17.72827911376953
2018-02-23,18.158864974975586
2018-02-26,18.515207290649414
2018-02-27,17.995534896850586
2018-02-28,17.936141967773438
2018-03-01,18.50035858154297
2018-03-02,18.752775192260742
2018-03-05,18.789892196655273
2018-03-06,18.7008056640625
2018-03-07,18.864133834838867
2018-03-08,18.522634506225586
2018-03-09,18.945796966552734
2018-03-12,18.945796966552734
2018-03-13,19.034881591796875
2018-03-14,18.982913970947266
2018-03-15,18.596874237060547
2018-03-16,18.552324295043945
2018-03-19,18.12173843383789
2018-03-20,17.869325637817383
2018-03-21,18.10689353942871
2018-03-22,17.78766632080078
2018-03-23,17.453590393066406
2018-03-26,17.795089721679688
2018-03-27,17.661460876464844
2018-03-28,17.609495162963867
2018-03-29,17.802515029907227
2018-04-02,17.186330795288086
2018-04-03,17.475866317749023
2018-04-04,17.602067947387695
2018-04-05,17.77281951904297
2018-04-06,17.201181411743164
2018-04-09,17.037857055664062
2018-04-10,17.48328399658203
2018-04-11,17.446165084838867
2018-04-12,17.490713119506836
2018-04-13,17.572368621826172
2018-04-16,17.78766632080078
2018-04-17,17.69858169555664
2018-04-18,17.847055435180664
2018-04-19,17.490713119506836
2018-04-20,17.13435935974121
2018-04-23,17.31254005432129
2018-04-24,17.267993927001953
2018-04-25,17.201181411743164
2018-04-26,17.423891067504883
2018-04-27,17.535249710083008
2018-04-30,17.750553131103516
2018-05-01,17.795089721679688
2018-05-02,17.676307678222656
2018-05-03,17.13435935974121
2018-05-04,17.394195556640625
2018-05-07,17.089820861816406
2018-05-08,17.3273868560791
2018-05-09,17.149211883544922
2018-05-10,17.045276641845703
2018-05-11,16.82997703552246
2018-05-14,17.275421142578125
2018-05-15,17.267974853515625
2018-05-16,17.327518463134766
2018-05-17,17.379621505737305
2018-05-18,17.327518463134766
2018-05-21,17.42427635192871
2018-05-22,16.96280860900879
2018-05-23,16.955364227294922
2018-05-24,16.65764045715332
2018-05-25,16.74695587158203
2018-05-29,16.337589263916016
2018-05-30,16.888376235961914
2018-05-31,17.007463455200195
2018-06-01,17.141443252563477
2018-06-04,16.709747314453125
2018-06-05,16.79905891418457
2018-06-06,17.11911392211914
2018-06-07,17.409391403198242
2018-06-08,17.521038055419922
2018-06-11,17.521038055419922
2018-06-12,17.558256149291992
2018-06-13,17.751773834228516
2018-06-14,17.573143005371094
2018-06-15,17.49126625061035
2018-06-18,17.655014038085938
2018-06-19,17.82620620727539
2018-06-20,17.982513427734375
2018-06-21,17.982513427734375
2018-06-22,17.20098304748535
2018-06-25,17.282859802246094
2018-06-26,17.498708724975586
2018-06-27,17.409391403198242
2018-06-28,17.6103572845459
2018-06-29,17.714555740356445
2018-07-02,17.506153106689453
2018-07-03,17.409391403198242
2018-07-05,17.446611404418945
2018-07-06,17.550813674926758
2018-07-09,17.655014038085938
2018-07-10,17.6029109954834
2018-07-11,17.6029109954834
2018-07-12,17.320072174072266
2018-07-13,17.454055786132812
2018-07-16,17.640134811401367
2018-07-17,17.6103572845459
2018-07-18,17.818758010864258
2018-07-19,18.176025390625
2018-07-20,18.042051315307617
2018-07-23,18.08670997619629
2018-07-24,18.06438636779785
2018-07-25,18.585399627685547
2018-07-26,18.399324417114258
2018-07-27,16.977691650390625
2018-07-30,16.918149948120117
2018-07-31,17.49126625061035
2018-08-01,17.334962844848633
2018-08-02,17.17865562438965
2018-08-03,17.454055786132812
2018-08-06,17.521038055419922
2018-08-07,17.699676513671875
2018-08-08,17.460891723632812
2018-08-09,17.565359115600586
2018-08-10,17.63997459411621
2018-08-13,17.43104362487793
2018-08-14,17.699674606323242
2018-08-15,17.147493362426758
2018-08-16,17.535511016845703
2018-08-17,17.610130310058594
2018-08-20,17.901145935058594
2018-08-21,18.28170394897461
2018-08-22,18.25185203552246
2018-08-23,18.095155715942383
2018-08-24,18.02053451538086
2018-08-27,17.8936824798584
2018-08-28,17.8936824798584
2018-08-29,17.998149871826172
2018-08-30,18.02053451538086
2018-08-31,17.781755447387695
2018-09-04,17.169878005981445
2018-09-05,16.774396896362305
2018-09-06,16.34906768798828
2018-09-07,16.296833038330078
2018-09-10,16.311756134033203
2018-09-11,16.371450424194336
2018-09-12,16.460996627807617
2018-09-13,16.468454360961914
2018-09-14,16.35652732849121
2018-09-17,16.09535789489746
2018-09-18,16.199827194213867
2018-09-19,16.610231399536133
2018-09-20,17.087791442871094
2018-09-21,17.31911849975586
2018-09-24,17.311649322509766
2018-09-25,17.341503143310547
2018-09-26,16.759475708007812
2018-09-27,17.140031814575195
2018-09-28,16.804244995117188
2018-10-01,16.64008140563965
2018-10-02,17.05048370361328
2018-10-03,17.229570388793945
2018-10-04,17.751909255981445
2018-10-05,17.841449737548828
2018-10-08,18.169780731201172
2018-10-09,18.21454429626465
2018-10-10,17.908611297607422
2018-10-11,17.3041934967041
2018-10-12,17.445972442626953
2018-10-15,17.833986282348633
2018-10-16,17.833986282348633
2018-10-17,17.759368896484375
2018-10-18,17.602670669555664
2018-10-19,17.886219024658203
2018-10-22,17.281808853149414
2018-10-23,16.968408584594727
2018-10-24,15.80434513092041
2018-10-25,15.968506813049316
2018-10-26,17.10272216796875
2018-10-29,17.132568359375
2018-10-30,18.11008071899414
2018-10-31,18.080232620239258
2018-11-01,18.169780731201172
2018-11-02,18.31901741027832
2018-11-05,19.393524169921875
2018-11-06,19.296266555786133
2018-11-07,19.056838989257812
