Date,EXR
2010-09-28,9.684891700744629
2010-09-29,9.655183792114258
2010-09-30,9.53040885925293
2010-10-01,9.607651710510254
2010-10-04,9.643301963806152
2010-10-05,9.940384864807129
2010-10-06,9.595765113830566
2010-10-07,9.494759559631348
2010-10-08,9.536348342895508
2010-10-11,9.506638526916504
2010-10-12,9.53040885925293
2010-10-13,9.73242473602295
2010-10-14,9.673009872436523
2010-10-15,9.506638526916504
2010-10-18,9.631418228149414
2010-10-19,9.470992088317871
2010-10-20,9.607651710510254
2010-10-21,9.572002410888672
2010-10-22,9.57794189453125
2010-10-25,9.643301963806152
2010-10-26,9.595765113830566
2010-10-27,9.411580085754395
2010-10-28,9.399693489074707
2010-10-29,9.625476837158203
2010-11-01,9.869086265563965
2010-11-02,10.017622947692871
2010-11-03,9.981971740722656
