Date,D
2010-09-29,23.574905395507812
2010-09-30,23.41935157775879
2010-10-01,23.617815017700195
2010-10-04,23.5427188873291
2010-10-05,23.9128475189209
2010-10-06,23.864566802978516
2010-10-07,23.875289916992188
2010-10-08,23.966487884521484
2010-10-11,23.971834182739258
2010-10-12,23.77337646484375
2010-10-13,23.89673614501953
2010-10-14,23.939655303955078
2010-10-15,23.891380310058594
2010-10-18,24.095212936401367
2010-10-19,23.869937896728516
2010-10-20,23.97720718383789
2010-10-21,23.9986572265625
2010-10-22,23.875289916992188
2010-10-25,23.848474502563477
2010-10-26,23.62318992614746
2010-10-27,23.50516700744629
2010-10-28,23.574905395507812
2010-10-29,23.312068939208984
2010-11-01,22.791759490966797
2010-11-02,22.968774795532227
2010-11-03,22.995590209960938
2010-11-04,23.3496150970459
