Date,BF-B
2010-09-29,12.584924697875977
2010-09-30,12.615622520446777
2010-10-01,12.705679893493652
2010-10-04,12.638138771057129
2010-10-05,12.726147651672363
2010-10-06,12.644277572631836
2010-10-07,12.494876861572266
2010-10-08,12.507147789001465
2010-10-11,12.537854194641113
2010-10-12,12.576736450195312
2010-10-13,12.703631401062012
2010-10-14,12.746612548828125
2010-10-15,12.746612548828125
2010-10-18,12.808011054992676
2010-10-19,12.697492599487305
2010-10-20,12.8673677444458
2010-10-21,12.803918838500977
2010-10-22,12.674981117248535
2010-10-25,12.566502571105957
2010-10-26,12.363885879516602
2010-10-27,12.20833969116211
2010-10-28,12.292250633239746
2010-10-29,12.44575023651123
2010-11-01,12.478499412536621
2010-11-02,12.52966594696045
2010-11-03,12.613579750061035
