Date,EOG
2010-09-29,33.769222259521484
2010-09-30,33.46328353881836
2010-10-01,34.615081787109375
2010-10-04,34.45310974121094
2010-10-05,35.03260040283203
2010-10-06,35.46091842651367
2010-10-07,35.47533416748047
2010-10-08,35.79926681518555
2010-10-11,35.83526611328125
2010-10-12,35.6013069152832
2010-10-13,35.59950256347656
2010-10-14,35.693233489990234
2010-10-15,36.06454849243164
2010-10-18,36.52958679199219
2010-10-19,35.86266326904297
2010-10-20,36.0933837890625
2010-10-21,35.61751937866211
2010-10-22,35.08037567138672
2010-10-25,35.13445281982422
2010-10-26,34.51800537109375
2010-10-27,34.52159118652344
2010-10-28,34.225982666015625
2010-10-29,34.50716781616211
2010-11-01,34.633365631103516
2010-11-02,35.235382080078125
2010-11-03,31.95482063293457
