Date,WEC
2010-09-29,17.688194274902344
2010-09-30,17.648500442504883
2010-10-01,17.78895378112793
2010-10-04,17.67597770690918
2010-10-05,17.883609771728516
2010-10-06,17.764524459838867
2010-10-07,17.755373001098633
2010-10-08,17.776748657226562
2010-10-11,17.770641326904297
2010-10-12,17.70041275024414
2010-10-13,17.746212005615234
2010-10-14,17.724834442138672
2010-10-15,17.883609771728516
2010-10-18,17.932466506958008
2010-10-19,17.914142608642578
2010-10-20,18.18589973449707
2010-10-21,18.18589973449707
2010-10-22,18.164522171020508
2010-10-25,18.18589973449707
2010-10-26,18.198108673095703
2010-10-27,18.09124183654785
2010-10-28,18.225597381591797
2010-10-29,18.179794311523438
2010-11-01,18.20726776123047
2010-11-02,18.283607482910156
2010-11-03,18.167579650878906
2010-11-04,18.32024383544922
2010-11-05,18.469863891601562
2010-11-08,18.286657333374023
2010-11-09,18.123741149902344
2010-11-10,18.172924041748047
2010-11-11,18.255916595458984
2010-11-12,18.166770935058594
2010-11-15,18.249773025512695
2010-11-16,18.028451919555664
2010-11-17,18.077627182006836
2010-11-18,18.22518539428711
2010-11-19,18.39731788635254
2010-11-22,18.52642059326172
2010-11-23,18.3481388092041
2010-11-24,18.53872299194336
2010-11-26,18.504905700683594
2010-11-29,18.443422317504883
2010-11-30,18.511056900024414
2010-12-01,18.52642059326172
2010-12-02,18.468019485473633
2010-12-03,18.53564453125
2010-12-06,18.415761947631836
2010-12-07,18.255916595458984
2010-12-08,18.034591674804688
2010-12-09,18.04381561279297
2010-12-10,18.09914779663086
2010-12-13,18.1790771484375
2010-12-14,18.209808349609375
2010-12-15,17.951597213745117
2010-12-16,18.07148551940918
2010-12-17,18.176002502441406
2010-12-20,18.249773025512695
2010-12-21,18.30510139465332
2010-12-22,18.212886810302734
2010-12-23,18.16370391845703
2010-12-27,18.16985321044922
2010-12-28,18.2651424407959
2010-12-29,18.203662872314453
2010-12-30,18.145263671875
2010-12-31,18.093006134033203
2011-01-03,18.074556350708008
2011-01-04,17.847091674804688
2011-01-05,17.74871826171875
2011-01-06,17.810203552246094
2011-01-07,17.945453643798828
2011-01-10,17.994638442993164
2011-01-11,18.04381561279297
