Date,SCHW
2015-08-24,26.085283279418945
2015-08-25,25.423221588134766
2015-08-26,26.25301170349121
2015-08-27,26.80031394958496
2015-08-28,27.10045623779297
2015-08-31,26.817974090576172
2015-09-01,25.679218292236328
2015-09-02,25.9528751373291
2015-09-03,26.27066421508789
2015-09-04,25.68804931640625
2015-09-08,27.45355224609375
2015-09-09,26.994518280029297
2015-09-10,27.012178421020508
2015-09-11,26.915077209472656
2015-09-14,26.68555450439453
2015-09-15,27.20637321472168
2015-09-16,27.462379455566406
2015-09-17,26.288314819335938
2015-09-18,25.1142635345459
2015-09-21,25.643917083740234
2015-09-22,25.008333206176758
2015-09-23,25.14073944091797
2015-09-24,24.6110897064209
2015-09-25,25.08778190612793
2015-09-28,24.081436157226562
2015-09-29,24.34626579284668
2015-09-30,25.21137046813965
2015-10-01,25.20253562927246
2015-10-02,24.363927841186523
2015-10-05,25.043643951416016
2015-10-06,24.41689109802246
2015-10-07,24.83177947998047
2015-10-08,25.008333206176758
2015-10-09,24.91123390197754
2015-10-12,25.06129264831543
2015-10-13,24.79646873474121
2015-10-14,24.522823333740234
2015-10-15,25.24667739868164
2015-10-16,25.317296981811523
2015-10-19,25.158397674560547
2015-10-20,25.908737182617188
2015-10-21,25.47618865966797
2015-10-22,25.997013092041016
2015-10-23,26.862110137939453
2015-10-26,26.8797664642334
2015-10-27,26.350112915039062
2015-10-28,27.312313079833984
2015-10-29,27.365272521972656
2015-10-30,26.941556930541992
2015-11-02,27.691898345947266
2015-11-03,27.797821044921875
2015-11-04,27.806665420532227
2015-11-05,27.921649932861328
2015-11-06,29.6374454498291
2015-11-09,29.619762420654297
2015-11-10,29.478254318237305
2015-11-11,29.65513801574707
2015-11-12,29.000652313232422
2015-11-13,28.576128005981445
2015-11-16,28.82377052307129
2015-11-17,29.01834487915039
2015-11-18,29.540172576904297
2015-11-19,29.221771240234375
2015-11-20,29.48709487915039
2015-11-23,29.44287872314453
2015-11-24,29.62860107421875
2015-11-25,29.796649932861328
2015-11-27,29.84087371826172
2015-11-30,29.814340591430664
2015-12-01,30.088520050048828
2015-12-02,29.708202362060547
2015-12-03,29.168699264526367
2015-12-04,30.521886825561523
2015-12-07,30.14158058166504
2015-12-08,29.94700050354004
2015-12-09,29.159852981567383
2015-12-10,29.416336059570312
2015-12-11,28.098526000976562
2015-12-14,28.52305793762207
2015-12-15,29.345584869384766
2015-12-16,29.90277671813965
2015-12-17,29.372116088867188
2015-12-18,28.22235679626465
2015-12-21,28.487682342529297
2015-12-22,29.097949981689453
2015-12-23,29.239452362060547
2015-12-24,29.230609893798828
2015-12-28,29.283679962158203
2015-12-29,29.68167495727539
2015-12-30,29.407495498657227
2015-12-31,29.124481201171875
2016-01-04,28.284257888793945
2016-01-05,28.195823669433594
2016-01-06,27.231788635253906
2016-01-07,25.807846069335938
2016-01-08,25.64864730834961
2016-01-11,25.418689727783203
2016-01-12,25.86090850830078
2016-01-13,24.507719039916992
2016-01-14,24.87034034729004
2016-01-15,23.897459030151367
2016-01-19,23.446399688720703
2016-01-20,22.34970474243164
2016-01-21,21.56254768371582
2016-01-22,22.84498405456543
2016-01-25,22.261260986328125
2016-01-26,22.508893966674805
2016-01-27,22.332006454467773
2016-01-28,21.951702117919922
2016-01-29,22.579648971557617
2016-02-01,22.358543395996094
2016-02-02,21.32375144958496
2016-02-03,21.56254768371582
2016-02-04,22.084367752075195
2016-02-05,21.544857025146484
2016-02-08,20.88153076171875
2016-02-09,20.642730712890625
2016-02-10,20.12843894958496
2016-02-11,19.702816009521484
2016-02-12,20.234844207763672
2016-02-16,20.90875244140625
2016-02-17,21.7067928314209
2016-02-18,21.42304801940918
2016-02-19,21.671335220336914
2016-02-22,21.760000228881836
2016-02-23,21.396446228027344
2016-02-24,20.99742317199707
2016-02-25,21.36097526550293
2016-02-26,22.575775146484375
2016-02-29,22.21221923828125
2016-03-01,23.400428771972656
2016-03-02,23.710771560668945
2016-03-03,24.038860321044922
2016-03-04,24.074325561523438
2016-03-07,24.411279678344727
2016-03-08,23.648698806762695
2016-03-09,23.542295455932617
2016-03-10,23.62210464477539
2016-03-11,25.0053768157959
2016-03-14,24.686159133911133
2016-03-15,24.597484588623047
2016-03-16,23.870380401611328
2016-03-17,24.535419464111328
2016-03-18,25.15612030029297
2016-03-21,25.076313018798828
2016-03-22,25.19158935546875
2016-03-23,24.854637145996094
2016-03-24,24.907838821411133
2016-03-28,24.907838821411133
2016-03-29,24.845773696899414
2016-03-30,24.978776931762695
2016-03-31,24.845773696899414
2016-04-01,25.164987564086914
2016-04-04,24.819164276123047
2016-04-05,24.28713607788086
2016-04-06,24.677297592163086
2016-04-07,23.400428771972656
2016-04-08,23.595497131347656
2016-04-11,23.976787567138672
2016-04-12,24.340343475341797
2016-04-13,25.377796173095703
2016-04-14,25.484201431274414
2016-04-15,25.29799461364746
2016-04-18,25.58173942565918
2016-04-19,25.510807037353516
2016-04-20,25.7945556640625
2016-04-21,25.830026626586914
2016-04-22,26.353179931640625
2016-04-25,26.27338409423828
2016-04-26,26.477325439453125
2016-04-27,26.51279067993164
2016-04-28,25.69701385498047
2016-04-29,25.19158935546875
2016-05-02,25.528541564941406
2016-05-03,24.828039169311523
2016-05-04,24.42014503479004
2016-05-05,24.42014503479004
2016-05-06,24.216196060180664
2016-05-09,24.18073844909668
2016-05-10,24.836896896362305
2016-05-11,24.703554153442383
2016-05-12,24.836898803710938
2016-05-13,24.472436904907227
2016-05-16,24.61466407775879
2016-05-17,24.819120407104492
2016-05-18,26.036962509155273
2016-05-19,25.74361228942871
2016-05-20,26.170303344726562
2016-05-23,26.028078079223633
2016-05-24,26.86367416381836
2016-05-25,27.237028121948242
2016-05-26,26.801450729370117
2016-05-27,27.228137969970703
2016-05-31,27.183692932128906
2016-06-01,27.388151168823242
2016-06-02,27.414817810058594
2016-06-03,25.974740982055664
2016-06-06,26.490327835083008
2016-06-07,26.223644256591797
2016-06-08,26.179203033447266
2016-06-09,25.85917854309082
2016-06-10,25.29025650024414
2016-06-13,25.014684677124023
2016-06-14,24.87246322631836
2016-06-15,25.299144744873047
2016-06-16,25.343597412109375
2016-06-17,25.2280330657959
2016-06-20,25.468040466308594
2016-06-21,25.2280330657959
2016-06-22,25.192476272583008
2016-06-23,26.392541885375977
2016-06-24,23.245698928833008
2016-06-27,21.378929138183594
2016-06-28,21.832294464111328
2016-06-29,22.490102767944336
2016-06-30,22.498998641967773
2016-07-01,22.32120704650879
2016-07-05,21.636728286743164
2016-07-06,21.93007469177246
2016-07-07,22.454547882080078
2016-07-08,22.87234878540039
2016-07-11,22.916793823242188
2016-07-12,23.78795051574707
2016-07-13,23.494606018066406
2016-07-14,23.930179595947266
2016-07-15,24.02796745300293
2016-07-18,24.090190887451172
2016-07-19,24.4279842376709
2016-07-20,24.819120407104492
2016-07-21,24.76578140258789
2016-07-22,25.050249099731445
2016-07-25,25.12136459350586
2016-07-26,25.468040466308594
2016-07-27,25.521381378173828
2016-07-28,25.521381378173828
2016-07-29,25.263593673706055
2016-08-01,25.192476272583008
2016-08-02,24.828014373779297
2016-08-03,25.236921310424805
2016-08-04,25.32581329345703
2016-08-05,26.605880737304688
2016-08-08,26.721450805664062
2016-08-09,26.74812126159668
2016-08-10,26.3382511138916
2016-08-11,26.659013748168945
2016-08-12,26.462989807128906
2016-08-15,26.917404174804688
2016-08-16,26.85503387451172
2016-08-17,26.82830810546875
2016-08-18,26.899587631225586
2016-08-19,27.131250381469727
2016-08-22,26.89067840576172
2016-08-23,27.104515075683594
2016-08-24,26.93522834777832
2016-08-25,27.166894912719727
2016-08-26,27.57675552368164
2016-08-29,27.66585350036621
2016-08-30,28.164813995361328
2016-08-31,28.031171798706055
2016-09-01,27.603487014770508
2016-09-02,27.861881256103516
2016-09-06,27.380727767944336
2016-09-07,27.416366577148438
2016-09-08,27.550024032592773
2016-09-09,27.309452056884766
2016-09-12,27.50547218322754
2016-09-13,27.12234115600586
2016-09-14,26.917404174804688
2016-09-15,27.55893898010254
2016-09-16,27.202531814575195
2016-09-19,27.52329444885254
2016-09-20,27.39855194091797
2016-09-21,27.737140655517578
2016-09-22,27.835145950317383
2016-09-23,27.327272415161133
2016-09-26,27.14016342163086
2016-09-27,27.380727767944336
2016-09-28,27.67476463317871
2016-09-29,27.345094680786133
2016-09-30,28.129179000854492
2016-10-03,28.048988342285156
2016-10-04,28.378664016723633
2016-10-05,29.055831909179688
2016-10-06,28.89545249938965
2016-10-07,28.868722915649414
2016-10-10,28.913267135620117
2016-10-11,28.4232177734375
