Date,ERIE
2011-05-12,48.73320770263672
2011-05-13,48.192840576171875
2011-05-16,47.96995162963867
2011-05-17,47.67950439453125
2011-05-18,48.26715087890625
2011-05-19,48.69266891479492
2011-05-20,48.571102142333984
2011-05-23,48.057769775390625
2011-05-24,46.902748107910156
2011-05-25,47.5444221496582
2011-05-26,47.88216018676758
2011-05-27,47.875396728515625
2011-05-31,48.10504913330078
2011-06-01,47.21345520019531
2011-06-02,47.517398834228516
2011-06-03,46.85547637939453
2011-06-06,46.55154037475586
2011-06-07,46.92301559448242
2011-06-08,46.64609146118164
2011-06-09,46.74739456176758
2011-06-10,46.38267517089844
2011-06-13,45.93009948730469
2011-06-14,46.43671417236328
2011-06-15,45.761253356933594
2011-06-16,45.74775695800781
2011-06-17,45.39651107788086
2011-06-20,45.43705368041992
2011-06-21,45.79502868652344
2011-06-22,45.7139778137207
2011-06-23,45.349246978759766
2011-06-24,45.4708137512207
2011-06-27,46.37590789794922
2011-06-28,46.79467010498047
2011-06-29,47.503902435302734
2011-06-30,47.76732635498047
2011-07-01,48.09733200073242
2011-07-05,48.1857795715332
2011-07-06,48.55998229980469
2011-07-07,50.48551559448242
2011-07-08,50.11808776855469
2011-07-11,49.64861297607422
2011-07-12,49.51252746582031
2011-07-13,49.87316131591797
2011-07-14,50.043243408203125
2011-07-15,50.206539154052734
2011-07-18,49.87995910644531
2011-07-19,50.315406799316406
2011-07-20,50.111289978027344
2011-07-21,50.84613037109375
2011-07-22,50.81890106201172
2011-07-25,50.791690826416016
2011-07-26,50.580780029296875
2011-07-27,49.85274124145508
2011-07-28,49.99562454223633
2011-07-29,50.14530944824219
2011-08-01,49.69625473022461
2011-08-02,48.845767974853516
2011-08-03,48.41030502319336
2011-08-04,47.29444122314453
2011-08-05,45.96766662597656
2011-08-08,42.87866973876953
2011-08-09,46.87258529663086
2011-08-10,45.00151443481445
2011-08-11,47.913597106933594
2011-08-12,47.3760871887207
2011-08-15,48.866180419921875
2011-08-16,48.369483947753906
2011-08-17,48.60080337524414
2011-08-18,47.46456527709961
2011-08-19,47.4237174987793
2011-08-22,47.58021926879883
2011-08-23,48.60080337524414
2011-08-24,49.61460494995117
2011-08-25,48.2810173034668
2011-08-26,48.83894729614258
2011-08-29,50.240570068359375
2011-08-30,49.99562454223633
2011-08-31,50.02965545654297
2011-09-01,49.39687728881836
2011-09-02,48.52594757080078
2011-09-06,48.008872985839844
2011-09-07,50.42426681518555
2011-09-08,50.022823333740234
2011-09-09,48.825347900390625
