Date,TXT
2010-09-29,20.096651077270508
2010-09-30,19.98003387451172
2010-10-01,20.164682388305664
2010-10-04,20.10637664794922
2010-10-05,20.912961959838867
2010-10-06,20.97127342224121
2010-10-07,20.611703872680664
2010-10-08,21.010133743286133
2010-10-11,20.893526077270508
2010-10-12,20.864362716674805
2010-10-13,21.02958106994629
2010-10-14,20.728317260742188
2010-10-15,20.903247833251953
2010-10-18,20.660293579101562
2010-10-19,20.34932518005371
2010-10-20,20.19384002685547
2010-10-21,20.368757247924805
2010-10-22,20.35903549194336
2010-10-25,20.242429733276367
2010-10-26,20.086936950683594
2010-10-27,20.17439842224121
2010-10-28,20.077219009399414
2010-10-29,20.23270606994629
2010-11-01,20.19384002685547
2010-11-02,20.82550048828125
2010-11-03,21.010133743286133
