Date,NEM
2015-07-13,17.656566619873047
2015-07-14,17.381906509399414
2015-07-15,17.107240676879883
2015-07-16,16.77765655517578
2015-07-17,16.236190795898438
2015-07-20,14.250811576843262
2015-07-21,14.705960273742676
2015-07-22,14.533317565917969
2015-07-23,13.811356544494629
2015-07-24,13.968301773071289
2015-07-27,13.51315689086914
2015-07-28,13.84274673461914
2015-07-29,13.866291046142578
2015-07-30,13.56808853149414
2015-07-31,13.473917961120605
2015-08-03,12.885366439819336
2015-08-04,12.869672775268555
2015-08-05,12.830436706542969
2015-08-06,12.83828353881836
2015-08-07,12.665642738342285
2015-08-10,13.30128288269043
2015-08-11,13.364059448242188
2015-08-12,14.235111236572266
2015-08-13,13.725037574768066
2015-08-14,13.6151704788208
2015-08-17,14.007536888122559
2015-08-18,13.764270782470703
2015-08-19,14.070317268371582
2015-08-20,14.556851387023926
2015-08-21,14.235111236572266
2015-08-24,13.254193305969238
2015-08-25,12.689184188842773
2015-08-26,12.406679153442383
2015-08-27,13.105095863342285
2015-08-28,13.473917961120605
2015-08-31,13.39544677734375
2015-09-01,13.128633499145508
2015-09-02,12.720571517944336
2015-09-03,12.704879760742188
2015-09-04,12.320357322692871
2015-09-08,12.544364929199219
2015-09-09,12.277128219604492
2015-09-10,12.229969024658203
2015-09-11,12.764440536499023
2015-09-14,12.48934555053711
2015-09-15,12.55222225189209
2015-09-16,13.314631462097168
2015-09-17,13.550426483154297
2015-09-18,13.346071243286133
2015-09-21,13.070969581604004
2015-09-22,12.253546714782715
2015-09-23,12.2221097946167
2015-09-24,13.188871383666992
2015-09-25,13.039534568786621
2015-09-28,12.59152603149414
2015-09-29,12.434324264526367
2015-09-30,12.630819320678711
2015-10-01,12.450043678283691
2015-10-02,13.416810989379883
2015-10-05,14.108480453491211
2015-10-06,14.422874450683594
2015-10-07,14.886603355407715
2015-10-08,14.666532516479492
2015-10-09,14.878748893737793
2015-10-12,14.501471519470215
2015-10-13,14.43859577178955
2015-10-14,15.303180694580078
2015-10-15,15.169563293457031
2015-10-16,14.925909042358398
2015-10-19,14.580070495605469
2015-10-20,14.808009147644043
2015-10-21,14.47789478302002
2015-10-22,14.95734691619873
2015-10-23,15.366052627563477
2015-10-26,14.776567459106445
2015-10-27,14.75299072265625
2015-10-28,15.051661491394043
2015-10-29,15.633294105529785
2015-10-30,15.295321464538574
2015-11-02,15.428937911987305
2015-11-03,15.106682777404785
2015-11-04,14.941629409790039
2015-11-05,13.75478458404541
2015-11-06,13.786225318908691
2015-11-09,14.037741661071777
2015-11-10,13.723344802856445
2015-11-11,13.982721328735352
2015-11-12,13.621166229248047
2015-11-13,13.75478458404541
2015-11-16,13.856961250305176
2015-11-17,13.267467498779297
2015-11-18,13.856961250305176
2015-11-19,14.187074661254883
2015-11-20,13.896262168884277
2015-11-23,13.80194091796875
2015-11-24,14.147780418395996
2015-11-25,14.077044486999512
2015-11-27,13.668323516845703
2015-11-30,14.470036506652832
2015-12-01,14.454313278198242
2015-12-02,14.029876708984375
2015-12-03,14.721549987792969
2015-12-04,16.08130645751953
2015-12-07,15.523255348205566
2015-12-08,15.232447624206543
2015-12-09,15.42525577545166
2015-12-10,15.291468620300293
2015-12-11,15.055364608764648
2015-12-14,14.441502571105957
2015-12-15,14.480851173400879
2015-12-16,15.016018867492676
2015-12-17,13.859122276306152
2015-12-18,13.937819480895996
2015-12-21,13.89060115814209
2015-12-22,14.008648872375488
2015-12-23,14.27623176574707
2015-12-24,14.59103775024414
2015-12-28,14.095222473144531
2015-12-29,14.18966293334961
2015-12-30,13.985041618347168
2015-12-31,14.158181190490723
2016-01-04,14.512332916259766
2016-01-05,14.496597290039062
2016-01-06,14.606770515441895
2016-01-07,14.842876434326172
2016-01-08,14.173921585083008
2016-01-11,13.386922836303711
2016-01-12,13.386922836303711
2016-01-13,13.75680923461914
2016-01-14,13.59154224395752
2016-01-15,13.929953575134277
2016-01-19,12.836015701293945
2016-01-20,13.032766342163086
2016-01-21,13.135077476501465
2016-01-22,13.127208709716797
2016-01-25,13.906343460083008
2016-01-26,14.559555053710938
2016-01-27,15.299334526062012
2016-01-28,15.370162010192871
2016-01-29,15.708577156066895
2016-02-01,16.172910690307617
2016-02-02,15.795146942138672
2016-02-03,17.581642150878906
2016-02-04,18.400131225585938
2016-02-05,19.210739135742188
2016-02-08,19.82460594177246
2016-02-09,19.124168395996094
2016-02-10,19.132034301757812
2016-02-11,19.706554412841797
2016-02-12,20.288930892944336
2016-02-16,19.328786849975586
2016-02-17,19.549150466918945
2016-02-18,19.730165481567383
2016-02-19,19.549150466918945
2016-02-22,19.769508361816406
2016-02-23,19.98200035095215
2016-02-24,20.13153648376465
2016-02-25,20.344030380249023
2016-02-26,19.950519561767578
2016-02-29,20.32828712463379
2016-03-01,19.98200035095215
2016-03-02,20.650955200195312
2016-03-03,21.1074161529541
2016-03-04,20.548646926879883
2016-03-07,20.87919044494629
2016-03-08,20.394723892211914
2016-03-09,20.59166145324707
2016-03-10,21.54483413696289
2016-03-11,21.017044067382812
2016-03-14,20.583784103393555
2016-03-15,20.772838592529297
2016-03-16,21.702377319335938
2016-03-17,21.631481170654297
2016-03-18,21.891433715820312
2016-03-21,21.891433715820312
2016-03-22,21.576339721679688
2016-03-23,19.677873611450195
2016-03-24,20.008726119995117
2016-03-28,20.245052337646484
2016-03-29,21.229736328125
2016-03-30,21.072181701660156
2016-03-31,20.938268661499023
2016-04-01,20.96977996826172
2016-04-04,20.717695236206055
2016-04-05,21.50543975830078
2016-04-06,21.852048873901367
2016-04-07,22.025352478027344
2016-04-08,22.92338752746582
2016-04-11,24.506752014160156
2016-04-12,24.128637313842773
2016-04-13,23.22272491455078
2016-04-14,22.592527389526367
2016-04-15,23.136077880859375
2016-04-18,23.20697784423828
2016-04-19,24.34920310974121
2016-04-20,23.98683738708496
2016-04-21,25.35751724243164
2016-04-22,24.601285934448242
2016-04-25,24.506752014160156
2016-04-26,25.184219360351562
2016-04-27,25.286624908447266
2016-04-28,25.987716674804688
2016-04-29,27.54745864868164
2016-05-02,27.051164627075195
2016-05-03,26.649429321289062
2016-05-04,25.483556747436523
2016-05-05,25.88530921936035
2016-05-06,26.885746002197266
2016-05-09,25.073930740356445
2016-05-10,26.01922607421875
2016-05-11,26.688812255859375
2016-05-12,26.161020278930664
2016-05-13,26.838476181030273
2016-05-16,27.90193748474121
2016-05-17,28.004335403442383
2016-05-18,26.405221939086914
2016-05-19,26.89362144470215
2016-05-20,26.570653915405273
2016-05-23,26.649429321289062
2016-05-24,25.003032684326172
2016-05-25,25.507192611694336
2016-05-26,25.562332153320312
2016-05-27,25.17633819580078
2016-05-31,25.530818939208984
2016-06-01,25.727758407592773
2016-06-02,25.483556747436523
2016-06-03,27.886184692382812
2016-06-06,27.909812927246094
2016-06-07,27.551137924194336
2016-06-08,27.890098571777344
2016-06-09,28.300016403198242
2016-06-10,28.21331787109375
2016-06-13,28.292131423950195
2016-06-14,27.708805084228516
2016-06-15,28.568052291870117
2016-06-16,28.071422576904297
2016-06-17,28.102947235107422
2016-06-20,27.850692749023438
2016-06-21,27.4565372467041
2016-06-22,28.15812110900879
2016-06-23,27.89798927307129
2016-06-24,29.31693458557129
2016-06-27,29.711082458496094
2016-06-28,29.301170349121094
2016-06-29,29.711082458496094
2016-06-30,30.838348388671875
2016-07-01,31.800081253051758
2016-07-05,31.831602096557617
2016-07-06,32.65144348144531
2016-07-07,32.28883743286133
2016-07-08,32.43071365356445
2016-07-11,32.36764907836914
2016-07-12,31.500520706176758
2016-07-13,32.22574996948242
2016-07-14,32.8090934753418
2016-07-15,32.58049392700195
2016-07-18,32.816993713378906
2016-07-19,32.6277961730957
2016-07-20,30.972366333007812
2016-07-21,31.94198226928711
2016-07-22,32.53319549560547
2016-07-25,31.63453483581543
2016-07-26,32.42283248901367
2016-07-27,33.360923767089844
2016-07-28,33.63682174682617
2016-07-29,34.685264587402344
2016-08-01,34.81138610839844
2016-08-02,36.15150833129883
2016-08-03,35.48933410644531
2016-08-04,35.402610778808594
2016-08-05,35.02423095703125
2016-08-08,35.197669982910156
2016-08-09,35.47356414794922
2016-08-10,35.922889709472656
2016-08-11,35.812538146972656
2016-08-12,35.607566833496094
2016-08-15,35.410499572753906
2016-08-16,34.91386032104492
2016-08-17,34.685264587402344
2016-08-18,35.02423095703125
2016-08-19,34.81928253173828
2016-08-22,34.14921569824219
2016-08-23,34.01521301269531
2016-08-24,31.41381072998047
2016-08-25,31.658187866210938
2016-08-26,31.476871490478516
2016-08-29,32.24940872192383
2016-08-30,30.428430557250977
2016-08-31,30.144643783569336
2016-09-01,31.082719802856445
2016-09-02,31.94198226928711
2016-09-06,33.10865783691406
2016-09-07,33.17960739135742
2016-09-08,32.78547286987305
2016-09-09,30.98024559020996
2016-09-12,31.815845489501953
2016-09-13,30.778581619262695
2016-09-14,30.44729232788086
2016-09-15,30.920564651489258
2016-09-16,30.179109573364258
2016-09-19,30.31319808959961
2016-09-20,30.092336654663086
2016-09-21,32.36405944824219
2016-09-22,32.15896987915039
2016-09-23,31.204532623291016
2016-09-26,30.96788787841797
