Date,EXPE
2010-09-29,37.5321044921875
2010-09-30,37.29431915283203
2010-10-01,36.60734176635742
2010-10-04,35.89396286010742
2010-10-05,37.38679885864258
2010-10-06,36.59413146972656
2010-10-07,37.33395767211914
2010-10-08,37.37358093261719
2010-10-11,37.6510124206543
2010-10-12,36.871578216552734
2010-10-13,37.37358093261719
2010-10-14,36.59413146972656
2010-10-15,36.752662658691406
2010-10-18,36.26386260986328
2010-10-19,35.471214294433594
2010-10-20,35.88075637817383
2010-10-21,36.84514236450195
2010-10-22,37.3603630065918
2010-10-25,37.7698974609375
2010-10-26,37.37358093261719
2010-10-27,38.311553955078125
2010-10-28,38.49650573730469
2010-10-29,38.2454948425293
2010-11-01,37.703853607177734
2010-11-02,37.90202713012695
2010-11-03,37.88880920410156
