Date,STX
2010-09-28,6.089748382568359
2010-09-29,6.256448268890381
2010-09-30,6.136631011962891
2010-10-01,6.089748382568359
2010-10-04,5.980352878570557
2010-10-05,6.214772701263428
2010-10-06,5.98555850982666
2010-10-07,6.183517932891846
2010-10-08,6.3554253578186035
2010-10-11,6.407519817352295
2010-10-12,6.542962551116943
2010-10-13,6.64193868637085
2010-10-14,6.610683441162109
2010-10-15,8.079726219177246
2010-10-18,8.293309211730957
2010-10-19,7.9442830085754395
2010-10-20,7.923441410064697
2010-10-21,7.933862209320068
2010-10-22,7.9078145027160645
2010-10-25,7.715071201324463
2010-10-26,7.991164684295654
2010-10-27,7.928653717041016
2010-10-28,7.261852741241455
2010-10-29,7.662977695465088
2010-11-01,7.579624652862549
2010-11-02,7.704651832580566
2010-11-03,7.647347927093506
