Date,EFX
2020-07-17,160.55282592773438
2020-07-20,161.51541137695312
2020-07-21,160.10043334960938
2020-07-22,161.71749877929688
2020-07-23,170.0242919921875
2020-07-24,160.89935302734375
2020-07-27,159.16673278808594
2020-07-28,156.2984161376953
2020-07-29,159.42666625976562
2020-07-30,157.3090362548828
2020-07-31,156.4716339111328
2020-08-03,156.7603759765625
2020-08-04,154.7294158935547
2020-08-05,156.52932739257812
2020-08-06,156.68336486816406
2020-08-07,160.3988037109375
2020-08-10,158.50262451171875
2020-08-11,158.33895874023438
2020-08-12,160.6105499267578
2020-08-13,160.49505615234375
2020-08-14,158.57000732421875
2020-08-17,158.21383666992188
2020-08-18,158.62771606445312
2020-08-19,155.75933837890625
2020-08-20,155.41281127929688
2020-08-21,153.36256408691406
2020-08-24,153.78713989257812
2020-08-25,154.55908203125
2020-08-26,155.61083984375
2020-08-27,160.3582000732422
2020-08-28,162.461669921875
2020-08-31,162.36520385742188
2020-09-01,162.77044677734375
2020-09-02,168.0195770263672
2020-09-03,162.9248504638672
2020-09-04,160.55117797851562
2020-09-08,158.07131958007812
2020-09-09,161.81520080566406
2020-09-10,156.01608276367188
2020-09-11,156.845947265625
2020-09-14,157.58892822265625
2020-09-15,154.60733032226562
2020-09-16,153.53628540039062
2020-09-17,153.57485961914062
2020-09-18,150.4485626220703
2020-09-21,149.65737915039062
2020-09-22,150.6126251220703
2020-09-23,146.82052612304688
2020-09-24,146.6082305908203
2020-09-25,150.92138671875
2020-09-28,152.5617218017578
2020-09-29,152.3011932373047
2020-09-30,151.3941650390625
2020-10-01,152.46522521972656
2020-10-02,153.3819122314453
2020-10-05,154.2599639892578
2020-10-06,151.75119018554688
2020-10-07,155.4178466796875
2020-10-08,156.11257934570312
2020-10-09,158.51519775390625
2020-10-12,158.7853546142578
2020-10-13,159.1038055419922
2020-10-14,158.40907287597656
2020-10-15,156.6819305419922
2020-10-16,157.60813903808594
2020-10-19,153.0152130126953
2020-10-20,154.10556030273438
2020-10-21,156.65292358398438
2020-10-22,150.42926025390625
2020-10-23,147.5828094482422
2020-10-26,145.61439514160156
2020-10-27,142.6231689453125
2020-10-28,135.9459686279297
2020-10-29,134.66268920898438
2020-10-30,131.80650329589844
2020-11-02,136.87229919433594
2020-11-03,144.73631286621094
2020-11-04,146.61788940429688
2020-11-05,146.3284149169922
2020-11-06,144.80386352539062
2020-11-09,146.5696258544922
2020-11-10,149.1845245361328
2020-11-11,153.60379028320312
2020-11-12,156.81695556640625
2020-11-13,159.2967529296875
2020-11-16,165.49148559570312
2020-11-17,165.91603088378906
2020-11-18,165.91603088378906
2020-11-19,167.51776123046875
2020-11-20,165.616943359375
2020-11-23,166.912841796875
2020-11-24,160.34622192382812
2020-11-25,160.53964233398438
2020-11-27,159.32107543945312
2020-11-30,161.4100341796875
2020-12-01,161.44871520996094
2020-12-02,159.1953582763672
2020-12-03,159.81430053710938
2020-12-04,161.023193359375
2020-12-07,165.21072387695312
2020-12-08,178.16995239257812
2020-12-09,174.05978393554688
2020-12-10,177.3576202392578
2020-12-11,181.9513397216797
2020-12-14,182.89910888671875
2020-12-15,187.21241760253906
2020-12-16,186.89328002929688
2020-12-17,187.37681579589844
2020-12-18,188.7501220703125
2020-12-21,188.15048217773438
2020-12-22,187.64761352539062
2020-12-23,186.52577209472656
2020-12-24,187.5799102783203
2020-12-28,187.28976440429688
2020-12-29,184.47549438476562
2020-12-30,184.8817138671875
2020-12-31,186.49671936035156
2021-01-04,181.7772674560547
2021-01-05,183.63412475585938
2021-01-06,175.9746551513672
2021-01-07,175.32666015625
2021-01-08,179.93980407714844
2021-01-11,178.61485290527344
2021-01-12,177.86048889160156
2021-01-13,176.15841674804688
2021-01-14,171.7870635986328
2021-01-15,171.17779541015625
2021-01-19,170.23004150390625
2021-01-20,172.2803192138672
2021-01-21,172.6187744140625
2021-01-22,172.86058044433594
2021-01-25,172.8702392578125
2021-01-26,174.55299377441406
2021-01-27,172.83152770996094
2021-01-28,175.18161010742188
2021-01-29,171.2841796875
2021-02-01,174.37892150878906
2021-02-02,174.5239715576172
2021-02-03,172.9088897705078
2021-02-04,174.9398193359375
2021-02-05,172.76382446289062
2021-02-08,173.50848388671875
2021-02-09,177.1835174560547
2021-02-10,176.9804229736328
2021-02-11,171.12945556640625
2021-02-12,171.361572265625
2021-02-16,169.0791778564453
2021-02-17,170.78126525878906
2021-02-18,171.7193603515625
2021-02-19,171.10873413085938
2021-02-22,164.70211791992188
2021-02-23,166.5823974609375
2021-02-24,165.4484100341797
2021-02-25,158.4699249267578
2021-02-26,156.89976501464844
2021-03-01,161.4842529296875
2021-03-02,160.98023986816406
2021-03-03,161.9010009765625
2021-03-04,158.789794921875
2021-03-05,164.52761840820312
2021-03-08,167.81336975097656
2021-03-09,169.51919555664062
2021-03-10,167.24151611328125
2021-03-11,165.46780395507812
2021-03-12,165.2836456298828
2021-03-15,168.3076629638672
2021-03-16,167.26089477539062
2021-03-17,166.69873046875
2021-03-18,167.3868865966797
2021-03-19,168.82135009765625
2021-03-22,169.74212646484375
2021-03-23,170.08135986328125
2021-03-24,169.04428100585938
2021-03-25,171.55458068847656
2021-03-26,176.8853759765625
2021-03-29,178.0387725830078
2021-03-30,177.64141845703125
2021-03-31,175.55755615234375
2021-04-01,176.99200439453125
2021-04-05,180.99496459960938
2021-04-06,179.32786560058594
2021-04-07,176.00338745117188
2021-04-08,178.0872802734375
2021-04-09,180.0935516357422
2021-04-12,181.46018981933594
2021-04-13,182.2064971923828
2021-04-14,179.8221435546875
2021-04-15,182.55543518066406
2021-04-16,185.10446166992188
2021-04-19,183.7572784423828
2021-04-20,186.28695678710938
2021-04-21,186.70375061035156
2021-04-22,214.59832763671875
2021-04-23,222.6527099609375
2021-04-26,218.591552734375
2021-04-27,227.1304931640625
2021-04-28,220.3070831298828
2021-04-29,220.98556518554688
2021-04-30,222.177734375
2021-05-03,226.69436645507812
2021-05-04,229.71836853027344
2021-05-05,232.47100830078125
2021-05-06,229.86378479003906
2021-05-07,232.18992614746094
2021-05-10,231.81192016601562
2021-05-11,231.25946044921875
2021-05-12,226.04498291015625
2021-05-13,229.7281036376953
2021-05-14,232.0446014404297
2021-05-17,230.37742614746094
2021-05-18,226.47145080566406
2021-05-19,226.24850463867188
2021-05-20,226.1322479248047
2021-05-21,229.83473205566406
2021-05-24,230.57254028320312
2021-05-25,228.07749938964844
2021-05-26,226.41738891601562
2021-05-27,228.64056396484375
2021-05-28,228.184326171875
2021-06-01,226.30087280273438
2021-06-02,224.7960662841797
2021-06-03,222.301025390625
2021-06-04,226.5921173095703
2021-06-07,222.04861450195312
2021-06-08,223.0291748046875
2021-06-09,221.97093200683594
2021-06-10,222.33013916015625
2021-06-11,224.2233123779297
2021-06-14,222.17483520507812
2021-06-15,224.6796112060547
