Date,NXPI
2012-03-01,21.68177032470703
2012-03-02,21.056930541992188
2012-03-05,20.574918746948242
2012-03-06,20.128602981567383
2012-03-07,20.949811935424805
2012-03-08,22.288753509521484
2012-03-09,22.886802673339844
2012-03-12,21.94062614440918
2012-03-13,22.199485778808594
2012-03-14,22.90465545654297
2012-03-15,22.86894989013672
2012-03-16,23.449159622192383
2012-03-19,23.502714157104492
2012-03-20,23.08318519592285
2012-03-21,23.25278091430664
2012-03-22,23.449159622192383
2012-03-23,24.07398796081543
2012-03-26,23.984722137451172
2012-03-27,24.02043342590332
2012-03-28,24.002582550048828
2012-03-29,23.75264549255371
2012-03-30,23.75264549255371
2012-04-02,23.315265655517578
2012-04-03,22.67257308959961
2012-04-04,22.7618350982666
2012-04-05,22.993921279907227
2012-04-09,22.458343505859375
2012-04-10,21.164043426513672
2012-04-11,21.297943115234375
2012-04-12,22.137006759643555
2012-04-13,21.556795120239258
2012-04-16,22.083446502685547
2012-04-17,22.279823303222656
2012-04-18,22.33338737487793
2012-04-19,21.50324058532715
2012-04-20,20.69988441467285
2012-04-23,20.914112091064453
2012-04-24,21.333642959594727
2012-04-25,21.485393524169922
2012-04-26,22.33338737487793
2012-04-27,23.493785858154297
2012-04-30,23.07425880432129
2012-05-01,22.993921279907227
2012-05-02,23.20815086364746
2012-05-03,22.619016647338867
2012-05-04,21.753177642822266
2012-05-07,21.369348526000977
2012-05-08,21.512163162231445
2012-05-09,21.003374099731445
2012-05-10,21.003374099731445
2012-05-11,21.50324058532715
2012-05-14,20.88733673095703
2012-05-15,20.485654830932617
2012-05-16,19.200279235839844
2012-05-17,18.263025283813477
2012-05-18,17.540000915527344
2012-05-21,18.816450119018555
2012-05-22,18.861085891723633
2012-05-23,19.468067169189453
2012-05-24,18.968202590942383
2012-05-25,19.494844436645508
2012-05-29,19.86081886291504
2012-05-30,19.218137741088867
2012-05-31,18.843231201171875
2012-06-01,17.325777053833008
2012-06-04,16.790205001831055
2012-06-05,17.307926177978516
2012-06-06,18.013093948364258
2012-06-07,17.74530601501465
2012-06-08,18.075578689575195
2012-06-11,17.65604591369629
2012-06-12,18.066654205322266
2012-06-13,17.807790756225586
2012-06-14,18.013093948364258
2012-06-15,18.209470748901367
2012-06-18,18.40584373474121
2012-06-19,18.816450119018555
2012-06-20,19.25383758544922
2012-06-21,18.03095054626465
2012-06-22,19.03067970275879
2012-06-25,18.47726058959961
2012-06-26,18.75397491455078
2012-06-27,19.03960609436035
2012-06-28,19.17350196838379
2012-06-29,20.7355899810791
2012-07-02,20.62847900390625
2012-07-03,21.039079666137695
2012-07-05,20.655250549316406
2012-07-06,19.941150665283203
2012-07-09,19.753707885742188
2012-07-10,18.88786506652832
2012-07-11,18.727188110351562
2012-07-12,18.048795700073242
2012-07-13,18.191617965698242
2012-07-16,18.182695388793945
2012-07-17,17.879201889038086
2012-07-18,19.512697219848633
2012-07-19,20.47672462463379
2012-07-20,20.003639221191406
2012-07-23,19.61981201171875
2012-07-24,20.19109344482422
