Date,TKO
2019-09-23,66.20476531982422
2019-09-24,63.791778564453125
2019-09-25,65.65007019042969
2019-09-26,65.63154602050781
2019-09-27,65.82572174072266
2019-09-30,65.77950286865234
2019-10-01,65.78872680664062
2019-10-02,61.36952590942383
2019-10-03,63.5514030456543
2019-10-04,64.94742584228516
2019-10-07,64.11534118652344
2019-10-08,62.58990478515625
2019-10-09,61.60065460205078
2019-10-10,62.515933990478516
2019-10-11,64.73477935791016
2019-10-14,64.36497497558594
2019-10-15,64.24478912353516
2019-10-16,64.86421203613281
2019-10-17,64.95665740966797
2019-10-18,61.9427375793457
2019-10-21,63.82875061035156
2019-10-22,61.71160125732422
2019-10-23,61.59142303466797
2019-10-24,61.878013610839844
2019-10-25,63.20933532714844
2019-10-28,63.70858383178711
2019-10-29,63.01519775390625
2019-10-30,61.42499923706055
2019-10-31,51.81000900268555
2019-11-01,51.736053466796875
2019-11-04,49.147403717041016
2019-11-05,51.56039810180664
2019-11-06,51.236820220947266
2019-11-07,50.469451904296875
2019-11-08,50.58964538574219
2019-11-11,51.68058776855469
2019-11-12,51.05191421508789
2019-11-13,50.27531433105469
2019-11-14,52.02265548706055
2019-11-15,53.307735443115234
2019-11-18,54.26923751831055
2019-11-19,55.887142181396484
2019-11-20,55.71147918701172
2019-11-21,54.62979507446289
2019-11-22,55.70223617553711
2019-11-25,55.94260787963867
2019-11-26,56.395626068115234
2019-11-27,57.745418548583984
2019-11-29,57.33863830566406
2019-12-02,56.87637710571289
2019-12-03,57.20920944213867
2019-12-04,57.07976531982422
2019-12-05,57.560516357421875
2019-12-06,58.438804626464844
2019-12-09,57.95805740356445
2019-12-10,57.00580978393555
2019-12-11,58.115234375
2019-12-12,56.744327545166016
2019-12-13,58.22638702392578
2019-12-16,58.995201110839844
2019-12-17,59.37498092651367
2019-12-18,59.282352447509766
2019-12-19,59.81034469604492
2019-12-20,60.16231155395508
2019-12-23,60.3753662109375
2019-12-24,60.13452911376953
2019-12-26,60.61619186401367
2019-12-27,60.13452911376953
2019-12-30,59.44908905029297
2019-12-31,60.08823013305664
2020-01-02,59.48613739013672
2020-01-03,59.98633575439453
2020-01-06,60.338314056396484
2020-01-07,61.50543975830078
2020-01-08,58.1985969543457
2020-01-09,58.97667694091797
2020-01-10,56.21633529663086
2020-01-13,56.87400817871094
2020-01-14,58.059654235839844
2020-01-15,57.513145446777344
2020-01-16,59.09709548950195
2020-01-17,58.217124938964844
2020-01-21,57.36493682861328
2020-01-22,58.272705078125
2020-01-23,57.85586929321289
2020-01-24,55.262271881103516
2020-01-27,54.73427963256836
2020-01-28,55.97551345825195
2020-01-29,56.447906494140625
2020-01-30,57.707664489746094
2020-01-31,45.276885986328125
2020-02-03,42.683292388916016
2020-02-04,43.86894226074219
2020-02-05,45.38805389404297
2020-02-06,41.219764709472656
2020-02-07,39.39497375488281
2020-02-10,38.95035934448242
2020-02-11,39.589500427246094
2020-02-12,39.126346588134766
2020-02-13,40.5343017578125
2020-02-14,41.618064880371094
2020-02-18,42.5721321105957
2020-02-19,43.090850830078125
2020-02-20,44.220924377441406
2020-02-21,46.52738571166992
2020-02-24,45.13794708251953
2020-02-25,45.21206283569336
2020-02-26,44.8415412902832
2020-02-27,42.479515075683594
2020-02-28,43.32242965698242
2020-03-02,42.94266128540039
2020-03-03,41.868160247802734
2020-03-04,41.66436767578125
2020-03-05,41.59953689575195
2020-03-06,39.55244064331055
2020-03-09,38.12595748901367
2020-03-10,38.15373992919922
2020-03-11,35.865821838378906
2020-03-12,30.08641242980957
2020-03-13,33.31990051269531
2020-03-16,28.283823013305664
2020-03-17,30.43020248413086
2020-03-18,31.53590202331543
2020-03-19,33.477867126464844
2020-03-20,33.91457748413086
2020-03-23,35.04815673828125
2020-03-24,36.274658203125
2020-03-25,31.94474220275879
2020-03-26,32.474365234375
2020-03-27,31.40582275390625
2020-03-30,31.071321487426758
2020-03-31,31.52661895751953
2020-04-01,31.21999168395996
2020-04-02,32.19561767578125
2020-04-03,31.712451934814453
2020-04-06,32.59516143798828
2020-04-07,33.384952545166016
2020-04-08,33.700870513916016
2020-04-09,34.769412994384766
2020-04-13,34.80657196044922
2020-04-14,35.65211868286133
2020-04-15,36.14458084106445
2020-04-16,36.86002731323242
2020-04-17,37.66840362548828
2020-04-20,37.69628143310547
2020-04-21,36.72993850708008
2020-04-22,36.68349075317383
2020-04-23,36.302528381347656
2020-04-24,41.61736297607422
2020-04-27,40.95765686035156
2020-04-28,41.22711181640625
2020-04-29,41.979740142822266
2020-04-30,41.320030212402344
2020-05-01,40.80898666381836
2020-05-04,40.883323669433594
2020-05-05,41.17136764526367
2020-05-06,40.428035736083984
2020-05-07,40.70677947998047
2020-05-08,42.79740905761719
2020-05-11,41.28286361694336
2020-05-12,39.99132537841797
2020-05-13,38.532535552978516
2020-05-14,39.062164306640625
2020-05-15,38.690486907958984
2020-05-18,40.47449493408203
2020-05-19,40.40015411376953
2020-05-20,42.50936508178711
2020-05-21,41.59878921508789
2020-05-22,41.35719299316406
2020-05-26,41.79389953613281
2020-05-27,42.620853424072266
2020-05-28,41.840370178222656
2020-05-29,42.99252700805664
2020-06-01,43.81019973754883
2020-06-02,44.033203125
2020-06-03,44.34910583496094
2020-06-04,43.689395904541016
2020-06-05,44.77652359008789
2020-06-08,45.30614471435547
2020-06-09,43.382789611816406
2020-06-10,43.39207077026367
2020-06-11,40.827571868896484
2020-06-12,41.433189392089844
2020-06-15,42.159912109375
2020-06-16,41.56363296508789
2020-06-17,41.77791976928711
2020-06-18,42.159912109375
2020-06-19,42.12264633178711
2020-06-22,41.77791976928711
2020-06-23,41.684757232666016
2020-06-24,40.85552215576172
2020-06-25,40.08219909667969
2020-06-26,38.535560607910156
2020-06-29,40.613277435302734
2020-06-30,40.48283767700195
2020-07-01,41.75928497314453
2020-07-02,42.402164459228516
2020-07-06,43.21276092529297
2020-07-07,41.92699432373047
2020-07-08,42.7282600402832
2020-07-09,42.08538055419922
2020-07-10,43.09162902832031
2020-07-13,41.4425048828125
2020-07-14,42.45806884765625
2020-07-15,43.902217864990234
2020-07-16,43.53886032104492
2020-07-17,42.914615631103516
2020-07-20,43.100948333740234
2020-07-21,42.70962905883789
2020-07-22,42.793487548828125
2020-07-23,42.44875717163086
2020-07-24,41.66611862182617
2020-07-27,41.8431396484375
2020-07-28,41.83382034301758
2020-07-29,41.51704025268555
2020-07-30,42.32762908935547
2020-07-31,43.42704772949219
2020-08-03,41.15366744995117
2020-08-04,41.284114837646484
2020-08-05,42.16923522949219
2020-08-06,42.31831359863281
2020-08-07,40.71577072143555
2020-08-10,41.079139709472656
2020-08-11,42.308990478515625
2020-08-12,42.402164459228516
2020-08-13,42.70030975341797
2020-08-14,42.27172088623047
2020-08-17,41.824501037597656
2020-08-18,41.712703704833984
2020-08-19,41.62884521484375
2020-08-20,41.02323913574219
2020-08-21,39.812007904052734
2020-08-24,41.90835952758789
2020-08-25,41.461143493652344
2020-08-26,42.3555793762207
2020-08-27,42.05743408203125
2020-08-28,41.852447509765625
2020-08-31,41.06051254272461
2020-09-01,40.557373046875
2020-09-02,41.330692291259766
2020-09-03,39.61634826660156
2020-09-04,40.13811492919922
2020-09-08,39.802696228027344
2020-09-09,39.37409973144531
2020-09-10,39.560447692871094
2020-09-11,38.57283401489258
2020-09-14,38.423316955566406
2020-09-15,38.45136260986328
2020-09-16,38.38595199584961
2020-09-17,38.05891418457031
2020-09-18,37.52629089355469
2020-09-21,36.77874755859375
2020-09-22,36.63859176635742
2020-09-23,35.83498764038086
2020-09-24,36.27416229248047
2020-09-25,36.58252716064453
2020-09-28,37.25529861450195
2020-09-29,37.404815673828125
2020-09-30,37.815956115722656
2020-10-01,37.722511291503906
2020-10-02,37.52629089355469
2020-10-05,36.64793395996094
2020-10-06,37.15251159667969
2020-10-07,37.4515380859375
2020-10-08,37.23661804199219
2020-10-09,37.52629089355469
2020-10-12,37.4515380859375
2020-10-13,37.90938949584961
2020-10-14,38.91857147216797
2020-10-15,38.27381896972656
2020-10-16,37.17121124267578
2020-10-19,36.11531448364258
2020-10-20,36.17137145996094
2020-10-21,36.433013916015625
2020-10-22,36.06859588623047
2020-10-23,35.76957702636719
2020-10-26,35.18089294433594
2020-10-27,35.02204132080078
2020-10-28,34.24647521972656
2020-10-29,34.88187789916992
2020-10-30,33.97548294067383
2020-11-02,35.891048431396484
2020-11-03,35.97514343261719
2020-11-04,36.535797119140625
2020-11-05,35.302371978759766
2020-11-06,36.36760330200195
2020-11-09,37.59169387817383
2020-11-10,37.87202072143555
2020-11-11,38.41398620605469
2020-11-12,37.6571044921875
2020-11-13,38.19906997680664
2020-11-16,39.48857116699219
2020-11-17,39.46052551269531
2020-11-18,38.750370025634766
2020-11-19,39.19890213012695
2020-11-20,38.28316879272461
2020-11-23,38.59151840209961
2020-11-24,39.27364730834961
2020-11-25,39.21758270263672
2020-11-27,39.05873107910156
2020-11-30,40.21741485595703
2020-12-01,41.91805648803711
2020-12-02,41.5629768371582
2020-12-03,41.226585388183594
2020-12-04,42.02083969116211
2020-12-07,41.39478302001953
2020-12-08,40.89954376220703
2020-12-09,40.94625473022461
2020-12-10,41.52560043334961
2020-12-11,41.348060607910156
2020-12-14,41.79780960083008
2020-12-15,42.800350189208984
2020-12-16,42.65980529785156
2020-12-17,44.496246337890625
2020-12-18,43.50307083129883
2020-12-21,43.278202056884766
2020-12-22,44.16831588745117
2020-12-23,44.749229431152344
2020-12-24,44.33696365356445
2020-12-28,44.89914321899414
2020-12-29,45.13337326049805
2020-12-30,45.330142974853516
2020-12-31,45.02094268798828
2021-01-04,44.243263244628906
2021-01-05,44.992835998535156
2021-01-06,45.44257736206055
2021-01-07,45.37699508666992
2021-01-08,45.198978424072266
2021-01-11,44.27137756347656
2021-01-12,45.63933181762695
2021-01-13,47.01667404174805
2021-01-14,48.422115325927734
2021-01-15,47.625694274902344
2021-01-19,48.79690170288086
2021-01-20,48.30030059814453
2021-01-21,49.27474594116211
2021-01-22,52.020042419433594
2021-01-25,50.55838394165039
2021-01-26,53.837745666503906
2021-01-27,53.81899642944336
2021-01-28,52.928890228271484
2021-01-29,52.77898406982422
2021-02-01,53.95018005371094
2021-02-02,53.55664825439453
2021-02-03,52.9476318359375
2021-02-04,52.46978759765625
2021-02-05,46.12656021118164
2021-02-08,44.43065643310547
2021-02-09,44.26200866699219
2021-02-10,43.737308502197266
2021-02-11,44.093353271484375
