Date,ZBH
2010-09-29,45.172916412353516
2010-09-30,45.328834533691406
2010-10-01,45.60600662231445
2010-10-04,44.376007080078125
2010-10-05,45.40678024291992
2010-10-06,45.69264221191406
2010-10-07,45.12959671020508
2010-10-08,45.00832748413086
2010-10-11,44.713829040527344
2010-10-12,44.159446716308594
2010-10-13,43.74367141723633
2010-10-14,43.579071044921875
2010-10-15,44.367347717285156
2010-10-18,45.24221420288086
2010-10-19,43.88227081298828
2010-10-20,43.89958190917969
2010-10-21,44.50593185424805
2010-10-22,44.427978515625
2010-10-25,44.66184997558594
2010-10-26,44.94770431518555
2010-10-27,44.94770431518555
2010-10-28,42.79948043823242
2010-10-29,41.09306335449219
2010-11-01,41.664764404296875
2010-11-02,42.435699462890625
2010-11-03,42.96407699584961
