Date,VTRS
2010-09-29,15.545722007751465
2010-09-30,15.553991317749023
2010-10-01,15.628413200378418
2010-10-04,15.446496963500977
2010-10-05,15.587067604064941
2010-10-06,15.537453651428223
2010-10-07,15.396879196166992
2010-10-08,15.38034725189209
2010-10-11,15.214966773986816
2010-10-12,15.487839698791504
2010-10-13,15.65322208404541
2010-10-14,15.66148853302002
2010-10-15,15.967443466186523
2010-10-18,15.66148853302002
2010-10-19,15.570530891418457
2010-10-20,15.694564819335938
2010-10-21,15.851675033569336
2010-10-22,16.02532196044922
2010-10-25,16.24858856201172
2010-10-26,16.207244873046875
2010-10-27,16.74472999572754
2010-10-28,16.951454162597656
2010-10-29,16.8026123046875
2010-11-01,16.686847686767578
2010-11-02,16.67030906677246
2010-11-03,16.67030906677246
