Date,SYK
2010-09-29,41.67192077636719
2010-09-30,41.51432800292969
2010-10-01,41.481136322021484
2010-10-04,40.95028305053711
2010-10-05,41.94562911987305
2010-10-06,41.84611129760742
2010-10-07,41.29035186767578
2010-10-08,41.20741271972656
2010-10-11,41.29865264892578
2010-10-12,40.684844970703125
2010-10-13,40.88393783569336
2010-10-14,40.502376556396484
2010-10-15,40.67656326293945
2010-10-18,41.8958740234375
2010-10-19,41.53090286254883
2010-10-20,41.94562911987305
2010-10-21,42.567726135253906
2010-10-22,41.962223052978516
2010-10-25,42.52626419067383
2010-10-26,42.493072509765625
2010-10-27,42.2193717956543
2010-10-28,41.63874053955078
2010-10-29,41.049827575683594
2010-11-01,40.90052032470703
2010-11-02,41.3899040222168
2010-11-03,42.5096549987793
2010-11-04,42.93269348144531
2010-11-05,43.488426208496094
2010-11-08,43.206424713134766
2010-11-09,43.27275848388672
2010-11-10,43.231292724609375
2010-11-11,43.28935241699219
2010-11-12,42.79167175292969
2010-11-15,42.65067672729492
2010-11-16,42.0534782409668
2010-11-17,41.94562911987305
2010-11-18,42.62579345703125
2010-11-19,42.83315658569336
2010-11-22,42.62579345703125
2010-11-23,42.2027702331543
2010-11-24,42.551124572753906
2010-11-26,42.6838493347168
2010-11-29,42.11152648925781
2010-11-30,41.547489166259766
2010-12-01,42.26082992553711
2010-12-02,42.63408660888672
2010-12-03,43.22299575805664
2010-12-06,42.74189376831055
2010-12-07,42.534549713134766
2010-12-08,43.206424713134766
2010-12-09,43.96121597290039
2010-12-10,43.96121597290039
2010-12-13,44.027584075927734
2010-12-14,44.83214569091797
2010-12-15,44.41740417480469
2010-12-16,45.10585403442383
2010-12-17,45.23028564453125
2010-12-20,45.45425796508789
2010-12-21,44.93998336791992
2010-12-22,45.10585403442383
2010-12-23,44.541831970214844
2010-12-27,44.79896926879883
2010-12-28,44.83214569091797
2010-12-29,45.02356719970703
2010-12-30,45.00691223144531
2010-12-31,44.69065856933594
2011-01-03,45.42302322387695
2011-01-04,45.239933013916016
2011-01-05,45.489601135253906
2011-01-06,45.47297286987305
2011-01-07,45.206642150878906
2011-01-10,45.52289581298828
2011-01-11,48.26926040649414
2011-01-12,48.11112594604492
2011-01-13,47.97797393798828
2011-01-14,48.11943435668945
2011-01-18,48.59381866455078
2011-01-19,47.91971969604492
2011-01-20,47.60345458984375
2011-01-21,47.97797393798828
2011-01-24,47.93634796142578
2011-01-25,48.57716751098633
2011-01-26,47.728302001953125
2011-01-27,48.36079025268555
2011-01-28,47.60345458984375
2011-01-31,47.903072357177734
2011-02-01,48.71865463256836
2011-02-02,48.4356689453125
2011-02-03,48.610477447509766
2011-02-04,48.69367980957031
2011-02-07,49.50094223022461
2011-02-08,49.684024810791016
2011-02-09,49.76726531982422
2011-02-10,49.89211654663086
2011-02-11,50.116790771484375
2011-02-14,50.341495513916016
2011-02-15,50.15007400512695
2011-02-16,50.790897369384766
2011-02-17,50.58283996582031
2011-02-18,52.43039321899414
2011-02-22,51.53158950805664
2011-02-23,51.39842987060547
2011-02-24,51.23198318481445
2011-02-25,52.480323791503906
2011-02-28,52.646766662597656
2011-03-01,51.989322662353516
2011-03-02,52.480323791503906
2011-03-03,53.728660583496094
2011-03-04,52.987972259521484
2011-03-07,52.68838882446289
2011-03-08,54.1530876159668
2011-03-09,53.56222152709961
2011-03-10,52.36381149291992
2011-03-11,52.44702911376953
2011-03-14,51.88112258911133
2011-03-15,51.10715103149414
2011-03-16,50.21665954589844
2011-03-17,50.424713134765625
2011-03-18,51.19869613647461
2011-03-21,51.62312316894531
2011-03-22,51.381778717041016
2011-03-23,51.057212829589844
2011-03-24,50.92405700683594
2011-03-25,50.865787506103516
2011-03-28,50.52458572387695
2011-03-29,50.992027282714844
2011-03-30,50.71657943725586
2011-03-31,50.74997329711914
2011-04-01,50.833431243896484
2011-04-04,51.325897216796875
2011-04-05,50.516231536865234
2011-04-06,50.299217224121094
2011-04-07,49.956993103027344
2011-04-08,49.84013366699219
2011-04-11,50.08219909667969
2011-04-12,49.82343292236328
2011-04-13,49.948646545410156
2011-04-14,49.97367858886719
2011-04-15,50.6664924621582
2011-04-18,50.09054183959961
2011-04-19,51.0003547668457
2011-04-20,48.755027770996094
2011-04-21,48.83848190307617
2011-04-25,48.429473876953125
2011-04-26,48.68824768066406
2011-04-27,48.738319396972656
2011-04-28,49.397743225097656
2011-04-29,49.24750518798828
2011-05-02,49.44783020019531
2011-05-03,49.53961944580078
2011-05-04,49.63979721069336
2011-05-05,49.84013366699219
2011-05-06,49.82343292236328
2011-05-09,50.174007415771484
2011-05-10,50.91690444946289
2011-05-11,51.6180419921875
2011-05-12,52.719852447509766
2011-05-13,52.82001876831055
2011-05-16,53.22066879272461
2011-05-17,53.254066467285156
2011-05-18,53.42101287841797
2011-05-19,53.42101287841797
2011-05-20,52.93688201904297
2011-05-23,52.62803649902344
2011-05-24,52.36928176879883
2011-05-25,51.99367141723633
2011-05-26,51.92688751220703
2011-05-27,51.885154724121094
2011-05-31,52.085472106933594
2011-06-01,51.16730499267578
2011-06-02,50.92523956298828
2011-06-03,50.2491340637207
2011-06-06,48.89689636230469
2011-06-07,49.481201171875
2011-06-08,48.94700241088867
2011-06-09,49.23080062866211
2011-06-10,48.5546875
2011-06-13,48.86353302001953
2011-06-14,49.147335052490234
2011-06-15,48.4044303894043
2011-06-16,48.412803649902344
2011-06-17,48.17072677612305
2011-06-20,48.412803649902344
2011-06-21,48.64650344848633
2011-06-22,48.74666213989258
2011-06-23,48.60476303100586
2011-06-24,47.895263671875
2011-06-27,48.362693786621094
2011-06-28,49.12464141845703
2011-06-29,48.67250061035156
2011-06-30,49.14140319824219
2011-07-01,50.47272491455078
2011-07-05,49.96195602416992
2011-07-06,50.112674713134766
2011-07-07,50.74065017700195
2011-07-08,50.35548782348633
2011-07-11,49.032554626464844
2011-07-12,49.509803771972656
2011-07-13,49.66890335083008
2011-07-14,49.099552154541016
2011-07-15,48.92369842529297
2011-07-18,48.781349182128906
2011-07-19,49.5349235534668
2011-07-20,47.651004791259766
2011-07-21,48.25385665893555
2011-07-22,47.62588119506836
2011-07-25,47.0732421875
2011-07-26,46.1522216796875
2011-07-27,45.6163330078125
2011-07-28,45.25630569458008
2011-07-29,45.49912643432617
2011-08-01,44.46086502075195
2011-08-02,43.26350784301758
2011-08-03,43.59843444824219
2011-08-04,41.57216262817383
2011-08-05,41.898712158203125
2011-08-08,39.713356018066406
2011-08-09,41.03628921508789
2011-08-10,38.549495697021484
2011-08-11,39.83894729614258
2011-08-12,40.64276885986328
2011-08-15,41.153507232666016
2011-08-16,40.54228210449219
2011-08-17,39.83058166503906
2011-08-18,37.31866455078125
2011-08-19,36.67392349243164
2011-08-22,36.74091720581055
2011-08-23,38.63322448730469
2011-08-24,39.370033264160156
2011-08-25,38.624855041503906
2011-08-26,38.65834045410156
2011-08-29,40.224117279052734
2011-08-30,39.931053161621094
2011-08-31,40.89395523071289
2011-09-01,40.39158630371094
2011-09-02,39.57938766479492
2011-09-06,40.01477813720703
2011-09-07,41.68100357055664
2011-09-08,40.75998306274414
2011-09-09,39.25283432006836
2011-09-12,39.24446105957031
2011-09-13,39.889183044433594
2011-09-14,40.785099029541016
2011-09-15,41.53866958618164
2011-09-16,41.31261444091797
2011-09-19,40.60926055908203
2011-09-20,40.600894927978516
2011-09-21,39.5458869934082
2011-09-22,38.70021438598633
2011-09-23,38.64997100830078
2011-09-26,39.57938766479492
2011-09-27,41.16187286376953
2011-09-28,40.75010299682617
2011-09-29,40.523197174072266
2011-09-30,39.60719299316406
2011-10-03,38.11130905151367
2011-10-04,39.30464172363281
2011-10-05,40.02736282348633
2011-10-06,40.18704605102539
2011-10-07,40.23747634887695
2011-10-10,41.50643539428711
2011-10-11,42.103118896484375
2011-10-12,42.153533935546875
2011-10-13,42.170352935791016
2011-10-14,42.035892486572266
2011-10-17,40.79212951660156
2011-10-18,41.2207145690918
2011-10-19,41.52324676513672
2011-10-20,40.57362747192383
2011-10-21,41.321556091308594
2011-10-24,42.01906967163086
2011-10-25,40.540016174316406
2011-10-26,40.61565017700195
2011-10-27,41.47282791137695
2011-10-28,41.95183563232422
2011-10-31,40.262672424316406
2011-11-01,39.49793243408203
2011-11-02,40.13661193847656
2011-11-03,40.943389892578125
2011-11-04,40.808921813964844
2011-11-07,41.229122161865234
2011-11-08,41.85939407348633
2011-11-09,39.91812515258789
2011-11-10,40.56521224975586
2011-11-11,41.58208465576172
2011-11-14,41.128273010253906
2011-11-15,41.64930725097656
2011-11-16,40.993797302246094
2011-11-17,40.262672424316406
2011-11-18,40.178646087646484
2011-11-21,38.85083770751953
2011-11-22,38.9600944519043
2011-11-23,38.212154388427734
2011-11-25,38.2541618347168
2011-11-28,39.46430969238281
2011-11-29,39.1785888671875
2011-11-30,41.03582763671875
2011-12-01,41.62409210205078
2011-12-02,40.01898193359375
2011-12-05,41.25434112548828
2011-12-06,40.78371047973633
2011-12-07,40.56521224975586
2011-12-08,39.598777770996094
2011-12-09,40.21225357055664
2011-12-12,39.55674362182617
2011-12-13,39.37187576293945
2011-12-14,39.30464172363281
2011-12-15,39.18699264526367
2011-12-16,38.83403778076172
2011-12-19,38.472652435302734
2011-12-20,40.13661193847656
2011-12-21,40.842529296875
2011-12-22,41.78376388549805
2011-12-23,42.02748489379883
2011-12-27,42.072208404541016
2011-12-28,41.616458892822266
2011-12-29,41.85276794433594
2011-12-30,41.954044342041016
2012-01-03,43.10185241699219
2012-01-04,43.25377655029297
2012-01-05,43.20315170288086
2012-01-06,43.464759826660156
2012-01-09,43.71796798706055
2012-01-10,44.106197357177734
2012-01-11,44.747623443603516
2012-01-12,44.300315856933594
2012-01-13,43.65889358520508
