Date,ALL
2010-09-29,22.560022354125977
2010-09-30,22.560022354125977
2010-10-01,22.574321746826172
2010-10-04,22.667278289794922
2010-10-05,23.15351676940918
2010-10-06,22.96759796142578
2010-10-07,23.024803161621094
2010-10-08,23.182119369506836
2010-10-11,23.189268112182617
2010-10-12,23.253618240356445
2010-10-13,23.553945541381836
2010-10-14,23.360889434814453
2010-10-15,23.189268112182617
2010-10-18,23.282228469848633
2010-10-19,23.024803161621094
2010-10-20,23.310834884643555
2010-10-21,23.282228469848633
2010-10-22,23.446687698364258
2010-10-25,23.675508499145508
2010-10-26,23.360889434814453
2010-10-27,23.225027084350586
2010-10-28,21.7591609954834
2010-10-29,21.80205726623535
2010-11-01,21.580392837524414
2010-11-02,21.673357009887695
2010-11-03,21.430225372314453
