Date,TFC
2010-09-29,14.227532386779785
2010-09-30,14.127789497375488
2010-10-01,14.297929763793945
2010-10-04,14.121922492980957
2010-10-05,14.251004219055176
2010-10-06,14.256869316101074
2010-10-07,14.121922492980957
2010-10-08,13.834440231323242
2010-10-11,13.787503242492676
2010-10-12,13.975250244140625
2010-10-13,13.80402660369873
2010-10-14,13.50881290435791
2010-10-15,13.36711597442627
2010-10-18,13.656421661376953
2010-10-19,13.53243350982666
2010-10-20,13.53243350982666
2010-10-21,13.355304718017578
2010-10-22,13.355304718017578
2010-10-25,13.178180694580078
2010-10-26,13.284456253051758
2010-10-27,13.308073043823242
2010-10-28,13.69775104522705
2010-10-29,13.821739196777344
2010-11-01,13.426158905029297
2010-11-02,13.526527404785156
2010-11-03,13.609185218811035
