Date,SWKS
2010-09-29,16.910608291625977
2010-09-30,16.700544357299805
2010-10-01,16.684385299682617
2010-10-04,16.40159797668457
2010-10-05,16.918691635131836
2010-10-06,16.29656410217285
2010-10-07,16.223846435546875
2010-10-08,16.563188552856445
2010-10-11,16.571271896362305
2010-10-12,17.136842727661133
2010-10-13,17.16915512084961
2010-10-14,17.225717544555664
2010-10-15,17.629697799682617
2010-10-18,17.47618293762207
2010-10-19,17.185317993164062
2010-10-20,17.379234313964844
2010-10-21,16.732864379882812
2010-10-22,17.354991912841797
2010-10-25,17.750886917114258
2010-10-26,17.500423431396484
2010-10-27,18.461898803710938
2010-10-28,18.324546813964844
2010-10-29,18.518455505371094
2010-11-01,18.267986297607422
2010-11-02,18.5992431640625
2010-11-03,18.389183044433594
