Date,CSCO
2010-09-29,14.312638282775879
2010-09-30,14.332276344299316
2010-10-01,14.338818550109863
2010-10-04,14.240654945373535
2010-10-05,14.391173362731934
2010-10-06,14.594050407409668
2010-10-07,14.652948379516602
2010-10-08,14.711849212646484
2010-10-11,14.705309867858887
2010-10-12,14.80348014831543
2010-10-13,15.169960021972656
2010-10-14,15.097970008850098
2010-10-15,15.287763595581055
2010-10-18,15.24849796295166
2010-10-19,15.032529830932617
2010-10-20,15.313939094543457
2010-10-21,15.222314834594727
2010-10-22,15.366287231445312
2010-10-25,15.451374053955078
2010-10-26,15.313939094543457
2010-10-27,15.241944313049316
2010-10-28,15.176502227783203
2010-10-29,14.960537910461426
2010-11-01,14.999807357788086
2010-11-02,15.163410186767578
2010-11-03,15.516807556152344
2010-11-04,15.844032287597656
