Date,KIM
2011-08-11,8.865345001220703
2011-08-12,8.746034622192383
2011-08-15,9.19215202331543
2011-08-16,8.97428035736084
2011-08-17,8.958718299865723
2011-08-18,8.476287841796875
2011-08-19,8.40366268157959
2011-08-22,8.43478775024414
2011-08-23,8.538535118103027
2011-08-24,8.66303539276123
2011-08-25,8.61115837097168
2011-08-26,8.626723289489746
2011-08-29,8.948347091674805
2011-08-30,8.97428035736084
2011-08-31,9.181778907775879
2011-09-01,8.97428035736084
2011-09-02,8.626723289489746
2011-09-06,8.460721015930176
2011-09-07,8.886092185974121
2011-09-08,8.75640869140625
2011-09-09,8.398476600646973
2011-09-12,8.43478775024414
2011-09-13,8.465912818908691
2011-09-14,8.517786026000977
2011-09-15,8.688971519470215
2011-09-16,8.782344818115234
2011-09-19,8.605972290039062
2011-09-20,8.61115837097168
2011-09-21,7.993856906890869
2011-09-22,7.692981719970703
2011-09-23,7.895289897918701
2011-09-26,8.102787971496582
2011-09-27,8.206539154052734
2011-09-28,7.973103046417236
2011-09-29,8.123539924621582
2011-09-30,7.796731472015381
2011-10-03,7.408209323883057
2011-10-04,7.770479202270508
2011-10-05,7.681227684020996
2011-10-06,7.901734352111816
2011-10-07,7.654972553253174
2011-10-10,7.917486667633057
2011-10-11,7.696972846984863
2011-10-12,7.922737121582031
2011-10-13,7.906991004943848
2011-10-14,8.132753372192383
2011-10-17,7.817732334136963
2011-10-18,8.1432523727417
2011-10-19,7.938490390777588
2011-10-20,8.174753189086914
2011-10-21,8.568528175354004
2011-10-24,8.804790496826172
2011-10-25,8.773290634155273
2011-10-26,8.841546058654785
2011-10-27,9.277324676513672
2011-10-28,9.398078918457031
2011-10-31,9.172317504882812
2011-11-01,8.726041793823242
2011-11-02,9.109310150146484
2011-11-03,9.156566619873047
2011-11-04,9.093562126159668
2011-11-07,9.041055679321289
2011-11-08,9.077812194824219
2011-11-09,8.573779106140137
2011-11-10,8.442523002624512
2011-11-11,8.558025360107422
2011-11-14,8.405767440795898
2011-11-15,8.463521003723145
2011-11-16,8.358518600463867
2011-11-17,8.201005935668945
2011-11-18,8.27451229095459
2011-11-21,8.032997131347656
2011-11-22,8.011994361877441
2011-11-23,7.665470123291016
2011-11-25,7.728477954864502
2011-11-28,7.922737121582031
2011-11-29,7.817732334136963
2011-11-30,8.279763221740723
2011-12-01,8.185253143310547
2011-12-02,8.185253143310547
2011-12-05,8.27451229095459
2011-12-06,8.300761222839355
2011-12-07,8.463521003723145
2011-12-08,8.206257820129395
2011-12-09,8.421520233154297
2011-12-12,8.206257820129395
2011-12-13,8.106501579284668
2011-12-14,8.1380033493042
2011-12-15,8.264008522033691
2011-12-16,8.468771934509277
2011-12-19,8.405767440795898
2011-12-20,8.699789047241211
2011-12-21,8.663034439086914
2011-12-22,8.867799758911133
2011-12-23,8.873046875
2011-12-27,8.741789817810059
2011-12-28,8.657785415649414
2011-12-29,8.67353630065918
2011-12-30,8.625731468200684
2012-01-03,8.82756519317627
2012-01-04,8.689471244812012
2012-01-05,8.838188171386719
2012-01-06,8.737273216247559
2012-01-09,8.641666412353516
2012-01-10,8.832878112792969
2012-01-11,9.077200889587402
2012-01-12,9.109070777893066
2012-01-13,9.146249771118164
2012-01-17,9.225922584533691
2012-01-18,9.305590629577637
2012-01-19,9.390575408935547
2012-01-20,9.624279975891113
2012-01-23,9.703949928283691
2012-01-24,9.82611083984375
2012-01-25,9.985454559326172
2012-01-26,9.937650680541992
2012-01-27,9.751752853393555
2012-01-30,9.71457576751709
2012-01-31,9.693326950073242
2012-02-01,9.703949928283691
2012-02-02,9.836735725402832
2012-02-03,10.033255577087402
2012-02-06,9.964208602905273
2012-02-07,9.879225730895996
2012-02-08,10.017322540283203
2012-02-09,9.905780792236328
2012-02-10,9.767685890197754
2012-02-13,10.001383781433105
2012-02-14,9.847358703613281
2012-02-15,9.794244766235352
2012-02-16,9.974828720092773
2012-02-17,9.969520568847656
2012-02-21,9.86860179901123
2012-02-22,9.82611083984375
2012-02-23,9.948270797729492
2012-02-24,9.93233871459961
2012-02-27,9.889850616455078
2012-02-28,9.788932800292969
2012-02-29,9.778307914733887
2012-03-01,9.93233871459961
2012-03-02,9.969520568847656
2012-03-05,10.02263355255127
2012-03-06,9.688014030456543
2012-03-07,9.751752853393555
2012-03-08,9.656147956848145
2012-03-09,9.650833129882812
2012-03-12,9.730508804321289
2012-03-13,10.086369514465332
2012-03-14,10.229776382446289
2012-03-15,10.336004257202148
2012-03-16,10.415678977966309
2012-03-19,10.495348930358887
2012-03-20,10.336004257202148
2012-03-21,10.362563133239746
2012-03-22,10.181976318359375
2012-03-23,10.197909355163574
2012-03-26,10.325382232666016
2012-03-27,10.367877006530762
2012-03-28,10.346627235412598
2012-03-29,10.24040412902832
2012-03-30,10.229776382446289
2012-04-02,10.315605163574219
2012-04-03,10.224411010742188
2012-04-04,10.036662101745605
2012-04-05,9.865005493164062
2012-04-09,9.763081550598145
2012-04-10,9.543145179748535
2012-04-11,9.65579891204834
2012-04-12,9.832818984985352
2012-04-13,9.714802742004395
2012-04-16,9.891827583312988
2012-04-17,10.025934219360352
2012-04-18,9.95083236694336
2012-04-19,9.961562156677246
2012-04-20,10.084942817687988
2012-04-23,9.929373741149902
2012-04-24,10.133219718933105
2012-04-25,10.337066650390625
2012-04-26,10.379981994628906
2012-04-27,10.379981994628906
2012-04-30,10.412168502807617
2012-05-01,10.5999174118042
2012-05-02,10.578462600708008
2012-05-03,10.514087677001953
2012-05-04,10.45508098602295
2012-05-07,10.626736640930176
2012-05-08,10.578462600708008
2012-05-09,10.48189926147461
2012-05-10,10.471175193786621
2012-05-11,10.519452095031738
2012-05-14,10.320978164672852
2012-05-15,10.304878234863281
2012-05-16,10.095670700073242
2012-05-17,9.725529670715332
2012-05-18,9.543145179748535
2012-05-21,9.704075813293457
2012-05-22,9.736259460449219
2012-05-23,9.714802742004395
2012-05-24,9.752354621887207
2012-05-25,9.704075813293457
2012-05-29,9.875731468200684
2012-05-30,9.559237480163574
2012-05-31,9.628973960876465
2012-06-01,9.360756874084473
2012-06-04,9.317842483520508
2012-06-05,9.516321182250977
2012-06-06,9.811365127563477
2012-06-07,9.773813247680664
2012-06-08,9.89719009399414
2012-06-11,9.575326919555664
2012-06-12,9.752354621887207
2012-06-13,9.709442138671875
2012-06-14,9.907916069030762
2012-06-15,9.993748664855957
2012-06-18,9.993748664855957
2012-06-19,10.052756309509277
2012-06-20,10.063484191894531
2012-06-21,9.934741973876953
2012-06-22,9.891827583312988
2012-06-25,9.773813247680664
2012-06-26,9.795269012451172
2012-06-27,9.78990364074707
2012-06-28,9.89719009399414
2012-06-29,10.208324432373047
2012-07-02,10.284178733825684
2012-07-03,10.3329496383667
2012-07-05,10.295016288757324
2012-07-06,10.430477142333984
2012-07-09,10.446735382080078
2012-07-10,10.316689491271973
2012-07-11,10.425065040588379
2012-07-12,10.354619979858398
2012-07-13,10.446735382080078
2012-07-16,10.528008460998535
2012-07-17,10.598447799682617
