Date,DUK
2011-12-23,36.79851150512695
2011-12-27,36.966609954833984
2011-12-28,36.832122802734375
2011-12-29,37.08430099487305
2011-12-30,36.98342514038086
2012-01-03,36.34461975097656
2012-01-04,36.176509857177734
2012-01-05,36.15969467163086
2012-01-06,36.15969467163086
2012-01-09,36.09246063232422
2012-01-10,36.09246063232422
2012-01-11,35.974769592285156
2012-01-12,35.77305221557617
2012-01-13,35.823486328125
2012-01-17,35.84029006958008
2012-01-18,35.84029006958008
2012-01-19,35.705814361572266
2012-01-20,35.806678771972656
2012-01-23,35.75624084472656
2012-01-24,35.53770446777344
2012-01-25,35.90754318237305
2012-01-26,36.09246063232422
2012-01-27,35.604957580566406
2012-01-30,35.52090072631836
2012-01-31,35.823486328125
2012-02-01,36.075653076171875
2012-02-02,35.92436218261719
2012-02-03,35.974769592285156
2012-02-06,35.75624084472656
2012-02-07,36.10927963256836
2012-02-08,35.941158294677734
2012-02-09,36.075653076171875
2012-02-10,36.10927963256836
2012-02-13,36.04203414916992
2012-02-14,36.142887115478516
2012-02-15,35.496578216552734
2012-02-16,35.88776397705078
2012-02-17,35.547603607177734
2012-02-21,35.47955322265625
2012-02-22,35.598628997802734
2012-02-23,35.53058624267578
2012-02-24,35.88776397705078
2012-02-27,35.83673858642578
2012-02-28,35.73468780517578
2012-02-29,35.58160400390625
2012-03-01,35.70067596435547
2012-03-02,35.78571319580078
2012-03-05,35.87076187133789
2012-03-06,35.7516975402832
2012-03-07,35.768707275390625
2012-03-08,35.97281265258789
2012-03-09,35.97281265258789
2012-03-12,36.34700393676758
2012-03-13,36.44904708862305
2012-03-14,35.97281265258789
2012-03-15,35.93879318237305
2012-03-16,35.83673858642578
2012-03-19,35.615623474121094
2012-03-20,35.53058624267578
2012-03-21,35.44554138183594
2012-03-22,35.496578216552734
2012-03-23,35.36050033569336
2012-03-26,35.66666030883789
2012-03-27,35.81972885131836
2012-03-28,35.564598083496094
2012-03-29,35.564598083496094
2012-03-30,35.73468780517578
2012-04-02,35.88776397705078
2012-04-03,35.9557991027832
2012-04-04,36.04084396362305
2012-04-05,35.30948257446289
2012-04-09,35.054351806640625
2012-04-10,34.64614486694336
2012-04-11,34.61212921142578
2012-04-12,34.66315460205078
2012-04-13,34.71419906616211
2012-04-16,35.088375091552734
2012-04-17,35.411529541015625
2012-04-18,35.7516975402832
2012-04-19,35.496578216552734
2012-04-20,35.73468780517578
2012-04-23,35.598628997802734
2012-04-24,36.023826599121094
2012-04-25,36.2109260559082
2012-04-26,36.363990783691406
2012-04-27,36.44904708862305
2012-04-30,36.44904708862305
2012-05-01,36.619117736816406
2012-05-02,36.53408432006836
2012-05-03,36.39799880981445
2012-05-04,36.670143127441406
2012-05-07,36.51707077026367
2012-05-08,36.653133392333984
2012-05-09,36.738189697265625
2012-05-10,37.06134033203125
2012-05-11,36.94227981567383
2012-05-14,36.891265869140625
2012-05-15,36.8742561340332
2012-05-16,36.805416107177734
2012-05-17,36.87425994873047
2012-05-18,36.92588424682617
2012-05-21,36.805416107177734
2012-05-22,37.252803802490234
2012-05-23,37.16676330566406
2012-05-24,37.51090621948242
2012-05-25,37.786216735839844
2012-05-29,37.820640563964844
2012-05-30,37.596946716308594
2012-05-31,37.820640563964844
2012-06-01,38.457271575927734
2012-06-04,38.680973052978516
2012-06-05,38.904659271240234
2012-06-06,39.042320251464844
2012-06-07,39.38645553588867
2012-06-08,39.83382034301758
2012-06-11,39.541316986083984
2012-06-12,39.50688552856445
2012-06-13,39.31761169433594
2012-06-14,39.81660461425781
2012-06-15,40.02311706542969
2012-06-18,40.057518005371094
2012-06-19,39.747798919677734
2012-06-20,39.28322219848633
2012-06-21,39.14555358886719
2012-06-22,39.36923599243164
2012-06-25,39.45528030395508
2012-06-26,39.403656005859375
2012-06-27,39.59294128417969
2012-06-28,39.67897415161133
2012-06-29,39.67897415161133
2012-07-02,40.057518005371094
2012-07-03,39.39792251586914
2012-07-05,39.32909393310547
2012-07-06,37.986968994140625
2012-07-09,37.45927810668945
2012-07-10,37.935333251953125
2012-07-11,38.1303596496582
2012-07-12,38.22211456298828
2012-07-13,38.27947235107422
2012-07-16,38.27947235107422
2012-07-17,38.0500373840332
2012-07-18,37.895179748535156
2012-07-19,37.923866271972656
2012-07-20,37.981231689453125
2012-07-23,37.5682487487793
2012-07-24,37.43634033203125
2012-07-25,37.75179672241211
2012-07-26,38.62359619140625
2012-07-27,38.69244384765625
2012-07-30,39.042320251464844
2012-07-31,38.8759765625
2012-08-01,38.72685241699219
2012-08-02,38.69244384765625
2012-08-03,39.3463020324707
