Date,BEN
2011-01-03,21.567655563354492
2011-01-04,21.373271942138672
2011-01-05,21.022600173950195
2011-01-06,20.913982391357422
2011-01-07,21.285606384277344
2011-01-10,21.521909713745117
2011-01-11,22.080299377441406
2011-01-12,22.49005126953125
2011-01-13,22.728273391723633
2011-01-14,23.09989356994629
2011-01-18,22.9245662689209
2011-01-19,22.49195671081543
2011-01-20,22.53959083557129
2011-01-21,22.570093154907227
2011-01-24,22.802595138549805
2011-01-25,22.85785675048828
2011-01-26,22.93410301208496
2011-01-27,23.389575958251953
2011-01-28,23.02937889099121
2011-01-31,22.9931697845459
2011-02-01,23.553476333618164
2011-02-02,23.229494094848633
2011-02-03,23.193283081054688
2011-02-04,23.33431053161621
2011-02-07,23.759296417236328
2011-02-08,24.12900161743164
2011-02-09,24.026100158691406
2011-02-10,24.19000244140625
2011-02-11,24.498743057250977
2011-02-14,24.592113494873047
2011-02-15,24.769351959228516
2011-02-16,24.807470321655273
2011-02-17,24.715988159179688
2011-02-18,24.85130500793457
2011-02-22,23.816469192504883
2011-02-23,23.54585075378418
2011-02-24,23.585872650146484
2011-02-25,23.81075668334961
2011-02-28,23.940343856811523
2011-03-01,23.490585327148438
2011-03-02,23.572540283203125
2011-03-03,24.182374954223633
2011-03-04,23.927001953125
2011-03-07,23.69831085205078
2011-03-08,24.22620964050293
2011-03-09,23.627784729003906
2011-03-10,22.74352264404297
2011-03-11,23.0617733001709
2011-03-14,22.589141845703125
2011-03-15,22.26136016845703
2011-03-16,21.748714447021484
2011-03-17,22.025039672851562
2011-03-18,22.206079483032227
2011-03-21,22.610111236572266
2011-03-22,22.400476455688477
2011-03-23,22.5758113861084
2011-03-24,23.149438858032227
2011-03-25,23.09418296813965
2011-03-28,22.89788818359375
2011-03-29,22.939897537231445
2011-03-30,23.451704025268555
2011-03-31,23.887128829956055
2011-04-01,24.29199981689453
2011-04-04,24.330196380615234
2011-04-05,23.92914390563965
2011-04-06,23.88521957397461
2011-04-07,23.70952796936035
2011-04-08,23.79547119140625
2011-04-11,23.680875778198242
2011-04-12,23.696163177490234
2011-04-13,23.646503448486328
2011-04-14,23.405879974365234
2011-04-15,23.50518798828125
2011-04-18,23.18434715270996
2011-04-19,23.1805362701416
2011-04-20,23.70570945739746
2011-04-21,24.04946517944336
2011-04-25,23.805011749267578
2011-04-26,24.129671096801758
2011-04-27,24.03800392150879
2011-04-28,24.31682586669922
2011-04-29,24.65867805480957
2011-05-02,24.647216796875
2011-05-03,24.568912506103516
2011-05-04,24.425678253173828
2011-05-05,23.86421775817871
2011-05-06,24.114395141601562
2011-05-09,24.280534744262695
2011-05-10,24.511619567871094
2011-05-11,24.102933883666992
2011-05-12,24.45050811767578
2011-05-13,24.30536460876465
2011-05-16,24.242353439331055
2011-05-17,24.08002471923828
2011-05-18,24.269075393676758
2011-05-19,24.263355255126953
2011-05-20,24.030357360839844
2011-05-23,23.568201065063477
2011-05-24,23.558664321899414
2011-05-25,23.63886260986328
2011-05-26,23.898584365844727
2011-05-27,24.207969665527344
2011-05-31,24.74652862548828
2011-06-01,23.88521957397461
2011-06-02,23.944416046142578
2011-06-03,23.699975967407227
2011-06-06,23.289382934570312
2011-06-07,23.388694763183594
2011-06-08,23.35431480407715
2011-06-09,23.579666137695312
2011-06-10,23.279821395874023
2011-06-13,23.432621002197266
2011-06-14,24.064739227294922
2011-06-15,23.45743751525879
2011-06-16,23.6044864654541
2011-06-17,23.75344467163086
2011-06-20,23.741994857788086
2011-06-21,24.125850677490234
2011-06-22,23.841306686401367
2011-06-23,23.70379638671875
2011-06-24,23.51663589477539
2011-06-27,23.908132553100586
2011-06-28,24.237274169921875
2011-06-29,24.738632202148438
2011-06-30,25.123258590698242
2011-07-01,25.691585540771484
2011-07-05,25.699249267578125
2011-07-06,25.77769660949707
2011-07-07,26.265661239624023
2011-07-08,26.231210708618164
2011-07-11,25.213186264038086
2011-07-12,25.136648178100586
2011-07-13,25.113691329956055
2011-07-14,24.92998504638672
2011-07-15,24.93764305114746
2011-07-18,24.54726219177246
2011-07-19,24.95487403869629
2011-07-20,25.006540298461914
2011-07-21,25.798744201660156
2011-07-22,25.548063278198242
2011-07-25,25.427513122558594
2011-07-26,25.414125442504883
2011-07-27,24.2889404296875
2011-07-28,24.765419006347656
2011-07-29,24.294675827026367
2011-08-01,24.195171356201172
2011-08-02,23.4086971282959
2011-08-03,23.90047836303711
2011-08-04,22.495929718017578
2011-08-05,22.51506233215332
2011-08-08,20.40439224243164
2011-08-09,22.067283630371094
2011-08-10,20.942110061645508
2011-08-11,22.13234519958496
2011-08-12,22.13616943359375
2011-08-15,22.18210220336914
2011-08-16,21.956295013427734
2011-08-17,22.149578094482422
2011-08-18,20.995689392089844
2011-08-19,21.169818878173828
2011-08-22,21.508527755737305
2011-08-23,22.015621185302734
2011-08-24,22.35433006286621
2011-08-25,22.036664962768555
2011-08-26,22.166790008544922
2011-08-29,22.823158264160156
2011-08-30,22.681549072265625
2011-08-31,22.947534561157227
2011-09-01,22.603092193603516
2011-09-02,21.759201049804688
2011-09-06,21.44154930114746
2011-09-07,22.147661209106445
2011-09-08,21.874021530151367
2011-09-09,21.372663497924805
2011-09-12,21.646305084228516
2011-09-13,21.77068519592285
2011-09-14,22.099821090698242
2011-09-15,22.976232528686523
2011-09-16,22.834636688232422
2011-09-19,22.13234519958496
2011-09-20,22.063457489013672
2011-09-21,21.177474975585938
2011-09-22,18.52143669128418
2011-09-23,18.898412704467773
2011-09-26,19.441869735717773
2011-09-27,19.46865463256836
2011-09-28,18.728199005126953
2011-09-29,19.280668258666992
2011-09-30,18.346467971801758
2011-10-03,17.33745002746582
2011-10-04,18.34071159362793
2011-10-05,18.770404815673828
2011-10-06,19.077327728271484
2011-10-07,18.21026611328125
2011-10-10,19.13871192932129
2011-10-11,18.578569412231445
2011-10-12,18.689834594726562
2011-10-13,18.779993057250977
2011-10-14,19.397687911987305
2011-10-17,18.841384887695312
2011-10-18,19.599109649658203
2011-10-19,19.238468170166016
2011-10-20,19.188587188720703
2011-10-21,19.859989166259766
2011-10-24,20.385589599609375
2011-10-25,19.382333755493164
2011-10-26,19.345890045166016
2011-10-27,20.763505935668945
2011-10-28,21.277599334716797
2011-10-31,20.454654693603516
2011-11-01,19.182832717895508
2011-11-02,19.88108253479004
2011-11-03,20.49302101135254
2011-11-04,20.51220703125
2011-11-07,20.58126449584961
2011-11-08,20.920795440673828
2011-11-09,19.840801239013672
2011-11-10,20.097854614257812
2011-11-11,20.638809204101562
2011-11-14,20.12663459777832
2011-11-15,20.10552978515625
2011-11-16,19.681583404541016
2011-11-17,19.0734920501709
2011-11-18,19.0600643157959
2011-11-21,18.3138484954834
2011-11-22,18.306180953979492
2011-11-23,17.62327003479004
2011-11-25,17.577228546142578
2011-11-28,18.070228576660156
2011-11-29,18.008846282958984
2011-11-30,19.34013557434082
2011-12-01,19.027448654174805
2011-12-02,18.883581161499023
2011-12-05,19.342056274414062
2011-12-06,19.282583236694336
2011-12-07,19.320955276489258
2011-12-08,18.507604598999023
2011-12-09,19.16940689086914
2011-12-12,18.58624839782715
2011-12-13,18.402090072631836
2011-12-14,18.137371063232422
2011-12-15,18.241540908813477
2011-12-16,18.493118286132812
2011-12-19,18.233678817749023
2011-12-20,18.72504997253418
2011-12-21,18.52260398864746
2011-12-22,18.6935977935791
2011-12-23,18.852800369262695
2011-12-27,18.825284957885742
2011-12-28,18.469533920288086
2011-12-29,18.886215209960938
2011-12-30,18.880321502685547
2012-01-03,19.46209716796875
2012-01-04,19.22820472717285
2012-01-05,19.446372985839844
2012-01-06,19.312721252441406
2012-01-09,19.424753189086914
2012-01-10,20.008499145507812
2012-01-11,19.00021743774414
2012-01-12,18.98055648803711
2012-01-13,18.91962432861328
2012-01-17,19.037555694580078
2012-01-18,19.593782424926758
2012-01-19,19.914155960083008
2012-01-20,20.126434326171875
2012-01-23,20.165739059448242
2012-01-24,20.36425018310547
2012-01-25,20.655134201049805
2012-01-26,20.9676513671875
2012-01-27,20.924409866333008
2012-01-30,21.130788803100586
2012-01-31,20.853656768798828
2012-02-01,22.007389068603516
2012-02-02,22.25503158569336
2012-02-03,22.88005256652832
2012-02-06,22.84270668029785
2012-02-07,22.944921493530273
2012-02-08,22.937055587768555
2012-02-09,22.966533660888672
2012-02-10,22.819128036499023
2012-02-13,23.0274715423584
2012-02-14,22.79749870300293
2012-02-15,22.795536041259766
2012-02-16,23.076601028442383
2012-02-17,23.003883361816406
2012-02-21,23.06087303161621
2012-02-22,22.866291046142578
2012-02-23,23.243663787841797
2012-02-24,23.357664108276367
2012-02-27,23.257417678833008
2012-02-28,23.176841735839844
2012-02-29,23.17093849182129
2012-03-01,23.359636306762695
2012-03-02,23.210248947143555
2012-03-05,23.078563690185547
2012-03-06,22.720848083496094
2012-03-07,23.172916412353516
2012-03-08,23.571901321411133
2012-03-09,23.66623306274414
2012-03-12,23.520801544189453
2012-03-13,24.28929901123047
2012-03-14,24.22837257385254
2012-03-15,24.672555923461914
2012-03-16,24.6588077545166
2012-03-19,24.564455032348633
2012-03-20,24.363983154296875
2012-03-21,24.491737365722656
2012-03-22,24.108478546142578
2012-03-23,24.12812042236328
2012-03-26,24.599843978881836
2012-03-27,24.664705276489258
2012-03-28,24.629243850708008
2012-03-29,24.284547805786133
2012-03-30,24.4303035736084
2012-04-02,24.92864227294922
2012-04-03,24.832120895385742
2012-04-04,24.629243850708008
2012-04-05,24.954256057739258
2012-04-09,24.583942413330078
2012-04-10,23.985149383544922
2012-04-11,24.026519775390625
2012-04-12,24.5307559967041
2012-04-13,24.07772445678711
2012-04-16,24.168338775634766
2012-04-17,24.664703369140625
2012-04-18,24.321969985961914
2012-04-19,24.10136604309082
2012-04-20,24.168338775634766
2012-04-23,23.57544708251953
2012-04-24,23.865001678466797
2012-04-25,24.404701232910156
2012-04-26,24.74546241760254
2012-04-27,24.788793563842773
2012-04-30,24.721824645996094
2012-05-01,24.80454444885254
2012-05-02,23.9792423248291
2012-05-03,23.52620506286621
