Date,SBAC
2010-09-29,37.42973327636719
2010-09-30,37.42973327636719
2010-10-01,37.41116714477539
2010-10-04,37.35543441772461
2010-10-05,37.866249084472656
2010-10-06,37.64335250854492
2010-10-07,37.903404235839844
2010-10-08,38.042728424072266
2010-10-11,37.96842575073242
2010-10-12,37.819828033447266
2010-10-13,38.01487350463867
2010-10-14,37.65264129638672
2010-10-15,37.048946380615234
2010-10-18,36.67742919921875
2010-10-19,36.33378982543945
2010-10-20,36.68671417236328
2010-10-21,36.18517303466797
2010-10-22,36.22232437133789
2010-10-25,36.45451736450195
2010-10-26,36.66814041137695
2010-10-27,36.408084869384766
2010-10-28,37.18825149536133
2010-10-29,36.463802337646484
2010-11-01,36.593833923339844
2010-11-02,36.63098907470703
2010-11-03,36.45451736450195
2010-11-04,36.35235595703125
