Date,XOM
2010-09-29,34.736881256103516
2010-09-30,34.84967041015625
2010-10-01,35.27267837524414
2010-10-04,35.07525634765625
2010-10-05,35.67874526977539
2010-10-06,36.06227493286133
2010-10-07,36.01150894165039
2010-10-08,36.310420989990234
2010-10-11,36.40631866455078
2010-10-12,36.49091339111328
2010-10-13,36.68267822265625
2010-10-14,36.82931900024414
2010-10-15,36.76728057861328
2010-10-18,37.38202667236328
2010-10-19,36.72779846191406
2010-10-20,37.229766845703125
2010-10-21,37.40458297729492
2010-10-22,37.41587829589844
2010-10-25,37.336910247802734
2010-10-26,37.523040771484375
2010-10-27,37.03800582885742
2010-10-28,37.34820556640625
2010-10-29,37.500465393066406
2010-11-01,37.759918212890625
2010-11-02,38.26187515258789
2010-11-03,38.33519744873047
2010-11-04,39.13044357299805
2010-11-05,39.480133056640625
2010-11-08,39.66060256958008
2010-11-09,40.08627700805664
2010-11-10,40.37004470825195
2010-11-11,40.767330169677734
2010-11-12,40.290584564208984
2010-11-15,40.00114059448242
2010-11-16,39.12711715698242
2010-11-17,39.16683578491211
2010-11-18,39.90465545654297
2010-11-19,40.035194396972656
2010-11-22,39.836551666259766
2010-11-23,39.14980697631836
2010-11-24,39.660606384277344
2010-11-26,39.29170608520508
2010-11-29,39.416561126708984
2010-11-30,39.47898864746094
2010-12-01,40.483543395996094
2010-12-02,40.568687438964844
2010-12-03,40.40410232543945
2010-12-06,40.47219467163086
2010-12-07,40.557342529296875
2010-12-08,40.77869415283203
2010-12-09,40.86381530761719
2010-12-10,40.965972900390625
2010-12-13,41.06812286376953
2010-12-14,40.965972900390625
2010-12-15,40.77869415283203
2010-12-16,40.988685607910156
2010-12-17,40.960289001464844
2010-12-20,40.988685607910156
2010-12-21,41.272464752197266
2010-12-22,41.317848205566406
2010-12-23,41.54487991333008
2010-12-27,41.437042236328125
2010-12-28,41.66975021362305
2010-12-29,41.641361236572266
2010-12-30,41.63570022583008
2010-12-31,41.49948501586914
2011-01-03,42.31107711791992
2011-01-04,42.50971603393555
2011-01-05,42.39620590209961
2011-01-06,42.668636322021484
2011-01-07,42.90134048461914
2011-01-10,42.64027404785156
2011-01-11,42.958091735839844
2011-01-12,43.46320724487305
2011-01-13,43.5369987487793
2011-01-14,44.1783332824707
2011-01-18,44.672096252441406
2011-01-19,44.40534591674805
2011-01-20,44.12724304199219
2011-01-21,44.82533645629883
2011-01-24,44.60398864746094
2011-01-25,44.65507888793945
2011-01-26,45.21126937866211
2011-01-27,45.336124420166016
2011-01-28,44.831016540527344
2011-01-31,45.79020309448242
2011-02-01,47.62337112426758
2011-02-02,47.33961486816406
2011-02-03,47.35661315917969
2011-02-04,47.26580810546875
2011-02-07,47.63473129272461
2011-02-08,47.34373092651367
2011-02-09,47.09842300415039
2011-02-10,47.4692497253418
2011-02-11,47.252471923828125
2011-02-14,48.44489669799805
2011-02-15,47.338043212890625
2011-02-16,47.74885177612305
2011-02-17,47.85724639892578
2011-02-18,48.210968017578125
2011-02-22,48.74728012084961
2011-02-23,49.677284240722656
2011-02-24,49.04969024658203
2011-02-25,48.690223693847656
2011-02-28,48.79862976074219
2011-03-01,48.38214874267578
2011-03-02,48.541893005371094
2011-03-03,48.9640998840332
2011-03-04,48.541893005371094
2011-03-07,48.336509704589844
2011-03-08,48.26802444458008
