Date,TECH
2010-09-29,13.246774673461914
2010-09-30,13.372417449951172
2010-10-01,13.387578964233398
2010-10-04,13.305257797241211
2010-10-05,13.597709655761719
2010-10-06,13.515389442443848
2010-10-07,13.456899642944336
2010-10-08,13.400581359863281
2010-10-11,13.376749992370605
2010-10-12,13.480729103088379
2010-10-13,13.39841079711914
2010-10-14,13.400581359863281
2010-10-15,13.469895362854004
2010-10-18,13.66486644744873
2010-10-19,13.342087745666504
2010-10-20,13.612873077392578
2010-10-21,13.848995208740234
2010-10-22,13.926982879638672
2010-10-25,13.898822784423828
2010-10-26,13.123294830322266
2010-10-27,13.203450202941895
2010-10-28,13.31392765045166
2010-10-29,13.196948051452637
2010-11-01,13.246774673461914
2010-11-02,13.2814302444458
2010-11-03,13.253266334533691
2010-11-04,13.1640625
2010-11-05,13.100959777832031
2010-11-08,13.1205415725708
2010-11-09,13.10313606262207
2010-11-10,13.20322036743164
2010-11-11,13.233688354492188
2010-11-12,13.17494010925293
2010-11-15,13.214106559753418
2010-11-16,13.011749267578125
2010-11-17,13.081376075744629
2010-11-18,13.168412208557129
2010-11-19,13.090078353881836
2010-11-22,13.020452499389648
2010-11-23,12.929067611694336
2010-11-24,13.196697235107422
2010-11-26,13.196697235107422
2010-11-29,13.133596420288086
2010-11-30,13.0704984664917
2010-12-01,13.270675659179688
2010-12-02,13.453453063964844
2010-12-03,13.610114097595215
2010-12-06,13.431695938110352
2010-12-07,13.38382339477539
2010-12-08,13.38599967956543
2010-12-09,13.35335922241211
2010-12-10,13.82335090637207
2010-12-13,13.775481224060059
2010-12-14,14.034412384033203
2010-12-15,14.215012550354004
2010-12-16,14.347740173339844
2010-12-17,14.369500160217285
2010-12-20,14.515276908874512
2010-12-21,14.587082862854004
2010-12-22,14.624075889587402
2010-12-23,14.6110200881958
2010-12-27,14.650185585021973
2010-12-28,14.726338386535645
2010-12-29,14.800317764282227
2010-12-30,14.554442405700684
2010-12-31,14.288987159729004
2011-01-03,14.46741008758545
2011-01-04,14.447827339172363
2011-01-05,14.643662452697754
2011-01-06,14.436948776245117
2011-01-07,14.399956703186035
2011-01-10,14.55227279663086
2011-01-11,14.463062286376953
2011-01-12,14.347740173339844
2011-01-13,14.3433837890625
2011-01-14,14.526162147521973
2011-01-18,14.685001373291016
2011-01-19,14.6110200881958
2011-01-20,14.578376770019531
2011-01-21,14.632777214050293
2011-01-24,14.819904327392578
2011-01-25,14.667588233947754
2011-01-26,14.824259757995605
2011-01-27,15.078827857971191
2011-01-28,14.92651653289795
2011-01-31,15.002676010131836
2011-02-01,15.01790714263916
2011-02-02,14.998329162597656
2011-02-03,14.872123718261719
2011-02-04,14.952630043029785
2011-02-07,15.037487983703613
2011-02-08,14.939573287963867
2011-02-09,14.812873840332031
2011-02-10,14.887157440185547
2011-02-11,14.937396049499512
2011-02-14,15.000740051269531
2011-02-15,14.965788841247559
2011-02-16,14.998555183410645
2011-02-17,15.066271781921387
2011-02-18,15.603655815124512
2011-02-22,15.479138374328613
2011-02-23,15.350253105163574
2011-02-24,15.278162956237793
2011-02-25,15.63422966003418
2011-02-28,15.66045093536377
2011-03-01,15.48350715637207
2011-03-02,15.653895378112793
2011-03-03,15.924769401550293
2011-03-04,15.968454360961914
2011-03-07,15.780596733093262
2011-03-08,16.0034122467041
2011-03-09,15.892004013061523
2011-03-10,15.618945121765137
2011-03-11,15.747834205627441
2011-03-14,15.51408863067627
2011-03-15,15.334961891174316
2011-03-16,15.241031646728516
2011-03-17,15.317486763000488
2011-03-18,15.433274269104004
2011-03-21,15.583992004394531
2011-03-22,15.540306091308594
2011-03-23,15.415792465209961
2011-03-24,15.57307243347168
2011-03-25,15.621133804321289
2011-03-28,15.533750534057617
2011-03-29,15.719426155090332
2011-03-30,15.63422966003418
2011-03-31,15.638606071472168
2011-04-01,15.870160102844238
2011-04-04,16.064584732055664
2011-04-05,16.101709365844727
