Date,CMI
2010-09-29,63.34226989746094
2010-09-30,62.842742919921875
2010-10-01,63.349212646484375
2010-10-04,62.22529602050781
2010-10-05,63.994415283203125
2010-10-06,64.67431640625
2010-10-07,64.02217102050781
2010-10-08,64.45924377441406
2010-10-11,64.5633316040039
2010-10-12,64.00831604003906
2010-10-13,64.39680480957031
2010-10-14,65.04895782470703
2010-10-15,64.9657211303711
2010-10-18,63.37693405151367
2010-10-19,62.55830383300781
2010-10-20,63.86260986328125
2010-10-21,65.04203033447266
2010-10-22,64.95875549316406
2010-10-25,65.555419921875
2010-10-26,61.74657440185547
2010-10-27,61.92694091796875
2010-10-28,61.753501892089844
2010-10-29,61.122161865234375
2010-11-01,61.191524505615234
2010-11-02,63.390846252441406
2010-11-03,63.46023178100586
2010-11-04,66.35327911376953
