Date,OKE
2010-09-29,8.751441955566406
2010-09-30,8.851673126220703
2010-10-01,8.969588279724121
2010-10-04,9.001030921936035
2010-10-05,9.38623046875
2010-10-06,9.333168983459473
2010-10-07,9.405884742736816
2010-10-08,9.458948135375977
2010-10-11,9.47074031829834
2010-10-12,9.47467041015625
2010-10-13,9.590622901916504
2010-10-14,9.604376792907715
2010-10-15,9.694779396057129
2010-10-18,9.722293853759766
2010-10-19,9.50218391418457
2010-10-20,9.669232368469238
2010-10-21,9.67316722869873
2010-10-22,9.84610652923584
2010-10-25,9.859865188598633
2010-10-26,9.842178344726562
2010-10-27,9.85805606842041
2010-10-28,9.854084014892578
2010-10-29,9.885831832885742
2010-11-01,9.895753860473633
2010-11-02,9.98901653289795
2010-11-03,9.99496841430664
2010-11-04,10.08823299407959
