Date,CI
2013-11-07,72.78604888916016
2013-11-08,74.0713882446289
2013-11-11,74.46615600585938
2013-11-12,74.45698547363281
2013-11-13,75.43936157226562
2013-11-14,76.22891235351562
2013-11-15,76.78892517089844
2013-11-18,77.22042846679688
2013-11-19,77.7162094116211
2013-11-20,78.79037475585938
2013-11-21,78.70775604248047
2013-11-22,79.52482604980469
2013-11-25,80.95703887939453
2013-11-26,80.74588775634766
2013-11-27,80.8101577758789
2013-11-29,80.28684997558594
2013-12-02,80.02978515625
2013-12-03,79.1025161743164
2013-12-04,78.90969848632812
2013-12-05,77.4132080078125
2013-12-06,79.41468048095703
2013-12-09,80.01141357421875
2013-12-10,79.04743194580078
2013-12-11,78.15686798095703
2013-12-12,77.37652587890625
2013-12-13,76.43089294433594
2013-12-16,77.07353210449219
2013-12-17,76.91748046875
2013-12-18,78.07424926757812
2013-12-19,78.33131408691406
2013-12-20,78.26705932617188
2013-12-23,78.94644165039062
2013-12-24,79.1116943359375
2013-12-26,79.69924926757812
2013-12-27,79.44220733642578
2013-12-30,79.51566314697266
2013-12-31,80.31438446044922
2014-01-02,79.13922882080078
2014-01-03,79.3228530883789
2014-01-06,79.07496643066406
2014-01-07,81.11312866210938
2014-01-08,80.70915222167969
2014-01-09,82.67388153076172
2014-01-10,81.90267944335938
2014-01-13,81.50791931152344
2014-01-14,82.15975189208984
2014-01-15,82.49945068359375
2014-01-16,81.54463195800781
2014-01-17,82.13221740722656
2014-01-21,82.74732971191406
2014-01-22,82.3158187866211
2014-01-23,82.20565032958984
2014-01-24,79.5982666015625
2014-01-27,79.87373352050781
2014-01-28,78.9005355834961
2014-01-29,78.8454360961914
2014-01-30,80.47045135498047
2014-01-31,79.24018859863281
2014-02-03,77.5968246459961
2014-02-04,77.99161529541016
2014-02-05,78.101806640625
2014-02-06,78.377197265625
2014-02-07,71.12432098388672
2014-02-10,70.45410919189453
2014-02-11,70.8947982788086
2014-02-12,69.71965789794922
2014-02-13,69.90325164794922
2014-02-14,71.34467315673828
2014-02-18,71.23448944091797
2014-02-19,70.17868041992188
2014-02-20,70.78462219238281
2014-02-21,71.00499725341797
2014-02-24,72.70344543457031
2014-02-25,71.75782012939453
2014-02-26,71.62926483154297
2014-02-27,71.4272689819336
2014-02-28,73.07064819335938
2014-03-03,72.17095184326172
2014-03-04,73.18083190917969
2014-03-05,73.1991958618164
2014-03-06,72.59326171875
2014-03-07,72.57489776611328
2014-03-10,73.17196655273438
2014-03-11,73.44752502441406
2014-03-12,72.8412857055664
2014-03-13,71.35321807861328
2014-03-14,70.31526184082031
2014-03-17,71.44507598876953
2014-03-18,71.36241149902344
2014-03-19,73.74147033691406
2014-03-20,76.04705047607422
2014-03-21,75.35810852050781
2014-03-24,74.23748016357422
2014-03-25,73.7690200805664
2014-03-26,73.48426818847656
2014-03-27,71.1786880493164
2014-03-28,72.94231414794922
2014-03-31,76.91046142578125
2014-04-01,76.28585052490234
2014-04-02,75.77145385742188
2014-04-03,76.25831604003906
2014-04-04,75.13765716552734
2014-04-07,74.28339385986328
2014-04-08,74.69676208496094
2014-04-09,74.93557739257812
2014-04-10,72.64838409423828
2014-04-11,70.82963562011719
2014-04-14,71.05010223388672
2014-04-15,71.03172302246094
2014-04-16,70.52653503417969
2014-04-17,69.4793701171875
2014-04-21,70.08562469482422
2014-04-22,70.98579406738281
2014-04-23,71.05928802490234
