Date,TSN
2010-09-29,11.587331771850586
2010-09-30,12.038201332092285
2010-10-01,12.218552589416504
2010-10-04,11.85033893585205
2010-10-05,12.120859146118164
2010-10-06,12.053230285644531
2010-10-07,12.226064682006836
2010-10-08,11.279241561889648
2010-10-11,11.151490211486816
2010-10-12,11.151490211486816
2010-10-13,11.324325561523438
2010-10-14,11.504673957824707
2010-10-15,11.542242050170898
2010-10-18,11.77519416809082
2010-10-19,11.549758911132812
2010-10-20,11.59484577178955
2010-10-21,11.745137214660645
2010-10-22,11.745137214660645
2010-10-25,11.82779598236084
2010-10-26,11.872880935668945
2010-10-27,11.812767028808594
2010-10-28,11.685018539428711
2010-10-29,11.685018539428711
2010-11-01,11.6624755859375
2010-11-02,11.474614143371582
2010-11-03,11.557273864746094
