Date,WMT
2010-09-29,12.998119354248047
2010-09-30,13.03953742980957
2010-10-01,13.000557899475098
2010-10-04,13.051718711853027
2010-10-05,13.156484603881836
2010-10-06,13.292923927307129
2010-10-07,13.244196891784668
2010-10-08,13.256379127502441
2010-10-11,13.30510425567627
2010-10-12,13.13699722290039
2010-10-13,13.112628936767578
2010-10-14,12.973753929138184
2010-10-15,12.998119354248047
2010-10-18,13.098008155822754
2010-10-19,12.99081039428711
2010-10-20,13.027355194091797
2010-10-21,13.163795471191406
2010-10-22,13.171101570129395
2010-10-25,13.144301414489746
2010-10-26,13.292923927307129
2010-10-27,13.124814987182617
2010-10-28,13.175976753234863
2010-10-29,13.19790267944336
2010-11-01,13.232010841369629
2010-11-02,13.348954200744629
2010-11-03,13.378193855285645
