Date,RMD
2014-09-18,44.80659103393555
2014-09-19,44.55467224121094
2014-09-22,43.78153610229492
2014-09-23,43.573062896728516
2014-09-24,43.5469970703125
2014-09-25,43.2863883972168
2014-09-26,43.234256744384766
2014-09-29,43.40801239013672
2014-09-30,42.79993438720703
2014-10-01,42.99972152709961
2014-10-02,43.295074462890625
2014-10-03,43.63385772705078
2014-10-06,44.58941650390625
2014-10-07,44.05083084106445
2014-10-08,44.18113708496094
2014-10-09,42.51325225830078
2014-10-10,42.165794372558594
2014-10-13,42.096282958984375
2014-10-14,41.531654357910156
2014-10-15,40.69770812988281
2014-10-16,40.176509857177734
2014-10-17,40.62821960449219
2014-10-20,40.862770080566406
2014-10-21,41.71407699584961
2014-10-22,41.262367248535156
2014-10-23,41.43608856201172
2014-10-24,45.188804626464844
2014-10-27,44.780517578125
2014-10-28,45.46677017211914
2014-10-29,45.006385803222656
2014-10-30,45.2669677734375
2014-10-31,45.36252975463867
2014-11-03,44.919517517089844
2014-11-04,45.006385803222656
2014-11-05,44.69366455078125
2014-11-06,44.79790115356445
2014-11-07,44.42436599731445
2014-11-10,44.320106506347656
2014-11-11,44.43305206298828
2014-11-12,45.37123107910156
2014-11-13,45.16274642944336
2014-11-14,45.49284744262695
2014-11-17,45.40597915649414
2014-11-18,45.694183349609375
2014-11-19,45.43217468261719
2014-11-20,45.85138702392578
2014-11-21,46.157066345214844
2014-11-24,46.139591217041016
2014-11-25,46.331729888916016
2014-11-26,46.855735778808594
2014-11-28,46.46273422241211
2014-12-01,46.54133987426758
2014-12-02,46.80335235595703
2014-12-03,47.17888259887695
2014-12-04,47.37976837158203
2014-12-05,47.5718994140625
2014-12-08,47.81643295288086
2014-12-09,47.55445098876953
2014-12-10,46.59375
2014-12-11,46.80335235595703
2014-12-12,46.68981170654297
2014-12-15,46.59375
2014-12-16,47.5718994140625
2014-12-17,47.99111557006836
2014-12-18,48.838279724121094
2014-12-19,49.11774826049805
2014-12-22,49.59809112548828
2014-12-23,49.77277374267578
2014-12-24,50.12211227416992
2014-12-26,50.095924377441406
2014-12-29,49.69416809082031
2014-12-30,49.554439544677734
2014-12-31,48.96055221557617
2015-01-02,49.92998504638672
2015-01-05,49.833927154541016
2015-01-06,49.47582244873047
2015-01-07,49.807701110839844
2015-01-08,50.646141052246094
2015-01-09,50.79459762573242
2015-01-12,51.257484436035156
2015-01-13,52.253116607666016
2015-01-14,52.68106460571289
2015-01-15,52.637393951416016
2015-01-16,53.03912353515625
2015-01-20,52.59371566772461
2015-01-21,52.488922119140625
2015-01-22,54.026023864746094
