Date,TMUS
2010-09-29,16.876941680908203
2010-09-30,16.828678131103516
2010-10-01,17.584842681884766
2010-10-04,17.39177894592285
2010-10-05,17.64919662475586
2010-10-06,17.793994903564453
2010-10-07,17.584842681884766
2010-10-08,17.63311004638672
2010-10-11,17.359603881835938
2010-10-12,17.311336517333984
2010-10-13,17.745729446411133
2010-10-14,16.74823570251465
2010-10-15,17.134361267089844
2010-10-18,17.440044403076172
2010-10-19,16.957387924194336
2010-10-20,17.198713302612305
2010-10-21,16.828678131103516
2010-10-22,17.070005416870117
2010-10-25,16.941299438476562
2010-10-26,17.005651473999023
2010-10-27,16.555171966552734
2010-10-28,16.619525909423828
2010-10-29,16.732147216796875
2010-11-01,16.909120559692383
2010-11-02,17.34351348876953
2010-11-03,17.440044403076172
