Date,AIZ
2010-09-29,30.054832458496094
2010-09-30,30.30052947998047
2010-10-01,30.2335147857666
2010-10-04,30.084627151489258
2010-10-05,30.7918758392334
2010-10-06,30.7918758392334
2010-10-07,30.56109619140625
2010-10-08,30.441980361938477
2010-10-11,30.092063903808594
2010-10-12,30.29307746887207
2010-10-13,30.650432586669922
2010-10-14,30.43451690673828
2010-10-15,30.486648559570312
2010-10-18,31.030113220214844
2010-10-19,30.59832000732422
2010-10-20,30.754650115966797
2010-10-21,30.829103469848633
2010-10-22,30.799333572387695
2010-10-25,30.702550888061523
2010-10-26,30.94078254699707
2010-10-27,30.747207641601562
2010-10-28,29.712379455566406
2010-10-29,29.43692970275879
2010-11-01,29.697490692138672
2010-11-02,29.801721572875977
2010-11-03,29.444368362426758
