Date,Close,Volume
2016-04-11,84.41905975341797,794100
2016-04-12,83.9582290649414,1252600
2016-04-13,83.77206420898438,1173000
2016-04-14,83.94046020507812,1066700
2016-04-15,84.15319061279297,1210600
2016-04-18,84.88880157470703,962800
2016-04-19,85.92574310302734,1286300
2016-04-20,85.5889663696289,1198300
2016-04-21,83.21373748779297,1631200
2016-04-22,83.26688385009766,1978400
2016-04-25,83.9493408203125,1451900
2016-04-26,84.80904388427734,1430500
2016-04-27,85.23445129394531,1670500
2016-04-28,86.07642364501953,1487600
2016-04-29,84.96856689453125,1591200
2016-05-02,86.08528137207031,2274600
2016-05-03,82.68193817138672,3521600
2016-05-04,82.5578842163086,2444700
2016-05-05,82.67310333251953,1222800
2016-05-06,83.3023452758789,1785600
2016-05-09,83.08077239990234,1532100
2016-05-10,84.67607879638672,1900900
2016-05-11,84.13546752929688,2064500
2016-05-12,83.85185241699219,1451500
2016-05-13,82.12357330322266,1689100
2016-05-16,82.23878479003906,1010500
2016-05-17,81.55635833740234,1641200
2016-05-18,80.20918273925781,1889000
2016-05-19,80.66119384765625,1651300
2016-05-20,80.19147491455078,1759200
2016-05-23,80.41304016113281,1299600
2016-05-24,81.66267395019531,1568500
2016-05-25,81.5740966796875,1230400
2016-05-26,81.30732727050781,1094900
2016-05-27,81.80525207519531,1450000
2016-05-31,81.60965728759766,1713700
2016-06-01,82.6855697631836,1761700
2016-06-02,82.87227630615234,1019600
2016-06-03,82.75668334960938,1290900
2016-06-06,82.747802734375,1308800
2016-06-07,82.8011703491211,1170600
2016-06-08,82.58776092529297,1088300
2016-06-09,82.05424499511719,1669500
2016-06-10,81.40514373779297,1679400
2016-06-13,81.17394256591797,1269200
2016-06-14,81.31622314453125,1216700
2016-06-15,80.92498016357422,1079200
2016-06-16,81.54743194580078,1395700
2016-06-17,81.75192260742188,1646000
2016-06-20,82.76560974121094,1690200
2016-06-21,82.78338623046875,1564200
2016-06-22,83.21908569335938,1166700
2016-06-23,84.42837524414062,1564100
2016-06-24,79.78681182861328,3222200
2016-06-27,77.5727310180664,2277000
2016-06-28,78.41747283935547,2476800
2016-06-29,79.76903533935547,2504600
2016-06-30,80.93387603759766,2718700
2016-07-01,81.64521789550781,1541000
2016-07-05,81.20060729980469,1685400
2016-07-06,80.9427490234375,1536000
2016-07-07,81.40514373779297,1111900
2016-07-08,82.70335388183594,1283000
2016-07-11,82.94345092773438,839800
2016-07-12,82.95233154296875,1206000
2016-07-13,82.9612045288086,869500
2016-07-14,83.61031341552734,1199900
2016-07-15,83.9393310546875,1098300
2016-07-18,83.55696868896484,1200900
2016-07-19,83.13015747070312,856900
2016-07-20,83.13905334472656,832400
2016-07-21,82.56997680664062,1004100
2016-07-22,82.89899444580078,716100
2016-07-25,82.84563446044922,741000
2016-07-26,82.73893737792969,909400
2016-07-27,82.16983795166016,1097400
2016-07-28,81.90308380126953,1273700
2016-07-29,82.60554504394531,1097000
2016-08-01,83.07681274414062,1184800
2016-08-02,82.93453979492188,1254600
2016-08-03,83.44135284423828,1410700
2016-08-04,83.29910278320312,1721400
2016-08-05,83.21018981933594,1760300
2016-08-08,82.95233154296875,1260100
2016-08-09,82.99678039550781,990100
2016-08-10,82.61444854736328,1282500
2016-08-11,82.27655792236328,2074600
2016-08-12,82.78338623046875,1471000
2016-08-15,82.87227630615234,1406500
2016-08-16,82.1787338256836,1412500
2016-08-17,82.71227264404297,2013800
2016-08-18,84.56175231933594,3520700
2016-08-19,81.5652084350586,5640800
2016-08-22,81.25397491455078,2744700
2016-08-23,81.42292022705078,1383000
2016-08-24,80.47148895263672,2038100
2016-08-25,81.12059783935547,1419400
2016-08-26,80.8360595703125,1471000
2016-08-29,81.05908203125,954300
2016-08-30,80.17586517333984,1373900
2016-08-31,79.60492706298828,2352300
2016-09-01,79.35511016845703,1998200
2016-09-02,79.95282745361328,1018700
2016-09-06,79.81902313232422,1289600
2016-09-07,78.6949234008789,2276800
2016-09-08,78.5878677368164,2946000
2016-09-09,78.10612487792969,3693500
2016-09-12,79.19451141357422,2384900
2016-09-13,78.36485290527344,2478300
2016-09-14,78.07042694091797,1266300
2016-09-15,78.38267517089844,1473400
2016-09-16,78.25778198242188,1752600
2016-09-19,77.95448303222656,1236200
2016-09-20,77.88310241699219,1242200
2016-09-21,78.73064422607422,1424300
2016-09-22,79.16775512695312,1317500
2016-09-23,78.64143371582031,1289000
2016-09-26,78.79307556152344,1758700
2016-09-27,79.74763488769531,1726100
2016-09-28,78.90904235839844,1569800
2016-09-29,77.49948120117188,1771600
2016-09-30,79.0072021484375,1952500
2016-10-03,78.57003784179688,1219500
2016-10-04,77.99908447265625,901400
2016-10-05,78.46298217773438,1274100
2016-10-06,78.78414916992188,1049000
2016-10-07,78.3559341430664,763700
2016-10-10,78.08828735351562,1246500
2016-10-11,77.86522674560547,1361400
2016-10-12,78.66818237304688,1377000
2016-10-13,78.64143371582031,1227600
2016-10-14,77.90985870361328,2200200
2016-10-17,78.09721374511719,1300800
2016-10-18,78.21316528320312,1107700
2016-10-19,78.15074157714844,1184800
2016-10-20,76.99098205566406,1729800
2016-10-21,77.17833709716797,1527300
2016-10-24,77.2853775024414,1616800
2016-10-25,76.8839340209961,1254600
2016-10-26,76.50923919677734,1488200
2016-10-27,76.6519546508789,1035300
2016-10-28,77.08911895751953,1420000
2016-10-31,77.73141479492188,1762500
2016-11-01,76.99098205566406,1980600
2016-11-02,72.79795837402344,6825100
2016-11-03,70.98690795898438,3706300
2016-11-04,70.4962387084961,1907000
2016-11-07,71.87016296386719,1683100
2016-11-08,71.6470947265625,1959100
2016-11-09,71.71846008300781,2496100
