Date,NTAP
2019-06-21,51.57940673828125
2019-06-24,51.40317153930664
2019-06-25,51.15980529785156
2019-06-26,50.88284683227539
2019-06-27,51.19336700439453
2019-06-28,51.78083038330078
2019-07-01,52.737571716308594
2019-07-02,51.97385025024414
2019-07-03,52.85348892211914
2019-07-05,52.78581237792969
2019-07-08,51.10268783569336
2019-07-09,50.87432861328125
2019-07-10,50.984283447265625
2019-07-11,51.229557037353516
2019-07-12,51.694740295410156
2019-07-15,51.44099807739258
2019-07-16,49.859378814697266
2019-07-17,50.17232131958008
2019-07-18,49.749420166015625
2019-07-19,50.25688934326172
2019-07-22,49.647926330566406
2019-07-23,49.98624801635742
2019-07-24,49.749420166015625
2019-07-25,49.673301696777344
2019-07-26,49.99470138549805
2019-07-29,50.10466384887695
2019-07-30,50.31611633300781
2019-07-31,49.4703254699707
2019-08-01,48.810585021972656
2019-08-02,38.94021224975586
2019-08-05,38.195926666259766
2019-08-06,38.91483688354492
2019-08-07,39.13475036621094
2019-08-08,40.38652420043945
2019-08-09,39.39694595336914
2019-08-12,38.99942398071289
2019-08-13,39.74373245239258
2019-08-14,37.81531524658203
2019-08-15,39.30391311645508
2019-08-16,39.54918670654297
2019-08-19,39.76062774658203
2019-08-20,38.98250198364258
2019-08-21,39.65913772583008
2019-08-22,39.56610107421875
2019-08-23,38.42428207397461
2019-08-26,39.380035400390625
2019-08-27,39.33774185180664
2019-08-28,39.59992980957031
2019-08-29,40.513389587402344
2019-08-30,40.64870834350586
2019-09-03,40.09894943237305
2019-09-04,41.57062911987305
2019-09-05,43.778141021728516
2019-09-06,43.96421432495117
2019-09-09,46.33242416381836
2019-09-10,46.10406494140625
2019-09-11,47.55036163330078
2019-09-12,47.66877746582031
2019-09-13,47.846397399902344
2019-09-16,48.07476806640625
2019-09-17,47.82102966308594
2019-09-18,46.459293365478516
2019-09-19,46.03640365600586
2019-09-20,45.757286071777344
2019-09-23,46.12097930908203
2019-09-24,44.7930908203125
2019-09-25,45.51201629638672
2019-09-26,45.41051483154297
2019-09-27,45.596580505371094
2019-09-30,44.412479400634766
2019-10-01,43.97267532348633
2019-10-02,43.45674133300781
2019-10-03,43.900691986083984
2019-10-04,44.447113037109375
2019-10-07,44.42149353027344
2019-10-08,43.16646957397461
2019-10-09,43.858009338378906
2019-10-10,42.50052261352539
2019-10-11,43.960472106933594
2019-10-14,44.566646575927734
2019-10-15,45.283809661865234
2019-10-16,45.43748092651367
2019-10-17,46.12049865722656
2019-10-18,45.66800308227539
2019-10-21,46.590057373046875
2019-10-22,47.11086654663086
2019-10-23,47.819488525390625
2019-10-24,47.34137725830078
2019-10-25,47.819488525390625
2019-10-28,47.691429138183594
2019-10-29,47.35845184326172
2019-10-30,48.12684631347656
2019-10-31,47.70849609375
2019-11-01,48.741554260253906
2019-11-04,49.4501838684082
2019-11-05,50.82474899291992
2019-11-06,49.41603088378906
2019-11-07,50.32102584838867
2019-11-08,50.72229766845703
2019-11-11,51.115020751953125
2019-11-12,51.34553909301758
2019-11-13,51.28578567504883
2019-11-14,52.91647720336914
2019-11-15,53.676326751708984
2019-11-18,54.205665588378906
2019-11-19,53.70194625854492
2019-11-20,52.4554443359375
2019-11-21,51.82365417480469
2019-11-22,52.27615737915039
2019-11-25,53.48850631713867
2019-11-26,51.661434173583984
2019-11-27,51.695594787597656
2019-11-29,51.729736328125
2019-12-02,50.73082733154297
2019-12-03,50.013668060302734
2019-12-04,50.66253662109375
2019-12-05,51.29432678222656
2019-12-06,52.10540008544922
2019-12-09,51.67852020263672
2019-12-10,51.53337860107422
2019-12-11,51.78950500488281
2019-12-12,53.55680465698242
2019-12-13,53.992225646972656
2019-12-16,54.248355865478516
2019-12-17,54.18006134033203
2019-12-18,53.76171112060547
2019-12-19,53.98368453979492
2019-12-20,52.99331283569336
2019-12-23,53.6165657043457
2019-12-24,53.66778564453125
2019-12-26,53.37751388549805
2019-12-27,52.446895599365234
2019-12-30,52.532291412353516
2019-12-31,53.14699172973633
2020-01-02,54.00739288330078
2020-01-03,53.086769104003906
2020-01-06,52.957706451416016
2020-01-07,53.3018684387207
2020-01-08,54.325748443603516
2020-01-09,54.601078033447266
2020-01-10,54.317142486572266
2020-01-13,55.160335540771484
2020-01-14,54.876399993896484
2020-01-15,55.229164123535156
2020-01-16,56.25302505493164
2020-01-17,53.70624923706055
2020-01-21,52.10590362548828
2020-01-22,52.028472900390625
2020-01-23,52.1145133972168
2020-01-24,51.46061706542969
2020-01-27,50.04093933105469
2020-01-28,48.974037170410156
2020-01-29,47.786685943603516
2020-01-30,47.193023681640625
2020-01-31,45.945438385009766
2020-02-03,46.49608612060547
2020-02-04,48.079227447509766
2020-02-05,49.731201171875
2020-02-06,50.03233337402344
2020-02-07,49.33541488647461
2020-02-10,49.95491027832031
2020-02-11,50.832515716552734
2020-02-12,52.329620361328125
2020-02-13,47.476951599121094
2020-02-14,46.668174743652344
2020-02-18,45.97125244140625
2020-02-19,45.781959533691406
2020-02-20,46.212162017822266
2020-02-21,44.74087142944336
2020-02-24,43.106109619140625
2020-02-25,41.98759078979492
2020-02-26,41.712257385253906
2020-02-27,40.32701110839844
2020-02-28,40.19794845581055
2020-03-02,40.92930221557617
2020-03-03,39.50102996826172
2020-03-04,39.870994567871094
2020-03-05,37.79742431640625
2020-03-06,37.85767364501953
2020-03-09,34.29559326171875
2020-03-10,37.41886520385742
2020-03-11,34.8032341003418
2020-03-12,30.897008895874023
2020-03-13,35.104366302490234
2020-03-16,34.459068298339844
2020-03-17,36.222900390625
2020-03-18,36.386375427246094
2020-03-19,33.17708206176758
2020-03-20,31.180950164794922
2020-03-23,30.415191650390625
2020-03-24,32.93616485595703
2020-03-25,32.42851638793945
2020-03-26,36.5240478515625
2020-03-27,34.61394500732422
2020-03-30,35.03554916381836
2020-03-31,35.87013626098633
2020-04-01,34.42464828491211
2020-04-02,34.424659729003906
2020-04-03,32.517494201660156
2020-04-06,34.48561477661133
2020-04-07,34.59882736206055
2020-04-08,35.68739318847656
2020-04-09,37.211368560791016
2020-04-13,36.253440856933594
2020-04-14,37.56842803955078
2020-04-15,35.20841979980469
2020-04-16,35.8876838684082
2020-04-17,36.7062873840332
2020-04-20,35.6612663269043
2020-04-21,33.91084671020508
2020-04-22,34.5552864074707
2020-04-23,35.73963928222656
2020-04-24,37.49874496459961
2020-04-27,37.18525314331055
2020-04-28,36.810787200927734
2020-04-29,39.083702087402344
2020-04-30,38.117061614990234
2020-05-01,36.12281036376953
2020-05-04,35.4000129699707
2020-05-05,35.87896728515625
2020-05-06,37.09816360473633
2020-05-07,37.45521545410156
2020-05-08,39.10111999511719
