Date,EMN
2010-09-29,24.189109802246094
2010-09-30,24.343734741210938
2010-10-01,24.53123664855957
2010-10-04,24.370054244995117
2010-10-05,25.057592391967773
2010-10-06,25.00824737548828
2010-10-07,25.258264541625977
2010-10-08,25.630001068115234
2010-10-11,25.778038024902344
2010-10-12,25.616830825805664
2010-10-13,25.880016326904297
2010-10-14,25.68263816833496
2010-10-15,25.8241024017334
2010-10-18,25.945804595947266
2010-10-19,25.38656234741211
2010-10-20,26.011606216430664
2010-10-21,26.110294342041016
2010-10-22,25.856977462768555
2010-10-25,27.169570922851562
2010-10-26,26.810993194580078
2010-10-27,26.41623878479004
2010-10-28,26.00502586364746
2010-10-29,25.84711265563965
2010-11-01,26.044504165649414
2010-11-02,26.21227264404297
2010-11-03,26.17279052734375
2010-11-04,26.547822952270508
