Date,STLD
2020-10-27,28.986494064331055
2020-10-28,28.22028923034668
2020-10-29,29.189586639404297
2020-10-30,29.060344696044922
2020-11-02,29.438833236694336
2020-11-03,29.835779190063477
2020-11-04,28.395689010620117
2020-11-05,29.771163940429688
2020-11-06,29.577302932739258
2020-11-09,30.78661346435547
2020-11-10,31.303565979003906
2020-11-11,31.23894691467285
2020-11-12,30.5650577545166
2020-11-13,31.95899772644043
2020-11-16,34.07297897338867
2020-11-17,33.759117126464844
2020-11-18,32.891357421875
2020-11-19,33.06676483154297
2020-11-20,32.54057693481445
2020-11-23,33.472930908203125
2020-11-24,35.66077423095703
2020-11-25,34.96842956542969
2020-11-27,34.756103515625
2020-11-30,33.426780700683594
2020-12-01,34.46992874145508
2020-12-02,34.30376434326172
2020-12-03,34.719181060791016
2020-12-04,35.85464096069336
2020-12-07,35.4669189453125
2020-12-08,35.44845199584961
2020-12-09,35.79924392700195
2020-12-10,36.56545639038086
2020-12-11,36.12235641479492
2020-12-14,35.023807525634766
2020-12-15,35.651546478271484
2020-12-16,35.37459945678711
2020-12-17,34.700714111328125
2020-12-18,33.34370040893555
2020-12-21,34.109901428222656
2020-12-22,33.546791076660156
2020-12-23,33.57448196411133
2020-12-24,33.58372497558594
2020-12-28,33.21445846557617
2020-12-29,33.57448196411133
2020-12-30,34.01136779785156
2020-12-31,34.27164077758789
2021-01-04,34.039249420166016
2021-01-05,35.27552032470703
2021-01-06,37.76664733886719
2021-01-07,37.04161834716797
2021-01-08,36.70698928833008
2021-01-11,37.190345764160156
2021-01-12,38.83559799194336
2021-01-13,37.8596076965332
2021-01-14,37.534263610839844
2021-01-15,36.43743133544922
2021-01-19,36.93007278442383
2021-01-20,37.34836196899414
2021-01-21,36.00985336303711
2021-01-22,35.97267150878906
2021-01-25,35.730987548828125
2021-01-26,34.02995300292969
2021-01-27,32.79367446899414
2021-01-28,32.68214416503906
2021-01-29,31.854867935180664
2021-02-01,32.45906066894531
2021-02-02,32.84015655517578
2021-02-03,34.262332916259766
2021-02-04,34.55049133300781
2021-02-05,34.97807693481445
2021-02-08,35.69380187988281
2021-02-09,35.730987548828125
2021-02-10,35.69380187988281
2021-02-11,36.04701614379883
2021-02-12,36.55826187133789
2021-02-16,38.28717803955078
2021-02-17,37.84100341796875
2021-02-18,36.902191162109375
2021-02-19,37.961849212646484
2021-02-22,39.07728576660156
2021-02-23,39.811607360839844
2021-02-24,40.76901626586914
2021-02-25,39.105167388916016
2021-02-26,38.64970016479492
2021-03-01,40.908443450927734
2021-03-02,40.7225456237793
2021-03-03,41.549827575683594
2021-03-04,40.164833068847656
2021-03-05,42.49794006347656
2021-03-08,44.68233108520508
2021-03-09,44.05025100708008
2021-03-10,45.351585388183594
2021-03-11,45.277225494384766
2021-03-12,45.72339630126953
2021-03-15,45.12849807739258
2021-03-16,43.52970886230469
2021-03-17,44.5893669128418
2021-03-18,44.013065338134766
2021-03-19,43.86433792114258
2021-03-22,43.715614318847656
2021-03-23,41.64277648925781
2021-03-24,42.82327651977539
2021-03-25,44.180381774902344
2021-03-26,46.801639556884766
2021-03-29,46.21604919433594
2021-03-30,47.91667938232422
2021-03-31,47.430782318115234
2021-04-01,47.62700271606445
2021-04-05,48.42125701904297
2021-04-06,47.888648986816406
2021-04-07,47.72978973388672
2021-04-08,47.44947052001953
2021-04-09,47.832576751708984
2021-04-12,48.43060302734375
2021-04-13,47.113075256347656
2021-04-14,47.48685073852539
