Date,WMB
2010-09-28,7.151520252227783
2010-09-29,7.215880870819092
2010-09-30,7.2348127365112305
2010-10-01,7.333242893218994
2010-10-04,7.200738430023193
2010-10-05,7.295384883880615
2010-10-06,7.314317226409912
2010-10-07,7.314317226409912
2010-10-08,7.465752124786377
2010-10-11,7.461964130401611
2010-10-12,7.424103736877441
2010-10-13,8.150993347167969
2010-10-14,8.06013298034668
2010-10-15,8.041204452514648
2010-10-18,8.143423080444336
2010-10-19,7.954128265380859
2010-10-20,8.094204902648926
2010-10-21,8.022273063659668
2010-10-22,7.94655704498291
2010-10-25,7.885982036590576
2010-10-26,7.738333702087402
2010-10-27,7.840549468994141
2010-10-28,8.00712776184082
2010-10-29,8.143423080444336
2010-11-01,8.018484115600586
2010-11-02,8.166141510009766
2010-11-03,8.11313533782959
