Date,EBAY
2019-10-23,35.399627685546875
2019-10-24,32.166690826416016
2019-10-25,32.365360260009766
2019-10-28,32.45568084716797
2019-10-29,32.60919189453125
2019-10-30,32.3834342956543
2019-10-31,31.832569122314453
2019-11-01,31.832569122314453
2019-11-04,31.977062225341797
2019-11-05,32.04027557373047
2019-11-06,32.05833435058594
2019-11-07,31.507476806640625
2019-11-08,31.733234405517578
2019-11-11,31.832569122314453
2019-11-12,31.670026779174805
2019-11-13,31.281715393066406
2019-11-14,31.5706844329834
2019-11-15,31.850622177124023
2019-11-18,31.697107315063477
2019-11-19,31.66099739074707
2019-11-20,31.480384826660156
2019-11-21,31.552621841430664
2019-11-22,31.715167999267578
2019-11-25,32.374393463134766
2019-11-26,32.28410720825195
2019-11-27,32.374393463134766
2019-11-29,32.2021484375
2019-12-02,31.640064239501953
2019-12-03,31.504074096679688
2019-12-04,31.703521728515625
2019-12-05,31.540332794189453
2019-12-06,31.603797912597656
2019-12-09,31.340885162353516
2019-12-10,31.476869583129883
2019-12-11,31.658191680908203
2019-12-12,32.01177215576172
2019-12-13,32.165889739990234
2019-12-16,32.093360900878906
2019-12-17,32.546661376953125
2019-12-18,32.310935974121094
2019-12-19,32.673580169677734
2019-12-20,32.809566497802734
2019-12-23,32.827701568603516
2019-12-24,32.827701568603516
2019-12-26,32.86396408081055
2019-12-27,32.700775146484375
2019-12-30,32.455997467041016
2019-12-31,32.73704528808594
2020-01-02,32.90928268432617
2020-01-03,32.60104751586914
2020-01-06,32.437862396240234
2020-01-07,32.29280471801758
2020-01-08,32.2746696472168
2020-01-09,31.893909454345703
2020-01-10,31.630996704101562
2020-01-13,31.48593521118164
2020-01-14,32.04802322387695
2020-01-15,32.02989959716797
2020-01-16,32.564781188964844
2020-01-17,32.474117279052734
2020-01-21,32.38346862792969
2020-01-22,32.537593841552734
2020-01-23,32.28374099731445
2020-01-24,32.057090759277344
2020-01-27,32.165889739990234
2020-01-28,32.827701568603516
2020-01-29,31.349950790405273
2020-01-30,31.785123825073242
2020-01-31,30.42523193359375
2020-02-03,31.177705764770508
2020-02-04,33.91560745239258
2020-02-05,33.661766052246094
2020-02-06,34.45050048828125
2020-02-07,32.81863784790039
2020-02-10,32.655452728271484
2020-02-11,33.03621292114258
2020-02-12,33.67989730834961
2020-02-13,33.71615982055664
2020-02-14,34.57742691040039
2020-02-18,34.332637786865234
2020-02-19,34.02439498901367
2020-02-20,34.16944885253906
2020-02-21,34.6318244934082
2020-02-24,33.77961730957031
2020-02-25,33.05434036254883
2020-02-26,33.26285171508789
2020-02-27,31.766986846923828
2020-02-28,31.54840660095215
2020-03-02,32.75060272216797
2020-03-03,33.44276809692383
2020-03-04,35.05479431152344
2020-03-05,33.89814758300781
2020-03-06,33.142215728759766
2020-03-09,32.34986877441406
2020-03-10,32.823463439941406
2020-03-11,31.72144889831543
2020-03-12,30.082090377807617
2020-03-13,30.9564151763916
2020-03-16,29.362606048583984
2020-03-17,30.309783935546875
2020-03-18,28.506494522094727
2020-03-19,26.958221435546875
2020-03-20,25.118499755859375
2020-03-23,23.989173889160156
2020-03-24,25.20047378540039
2020-03-25,25.837997436523438
2020-03-26,27.468238830566406
2020-03-27,27.4864559173584
2020-03-30,28.40631675720215
2020-03-31,27.377164840698242
2020-04-01,26.21140480041504
2020-04-02,26.58481216430664
2020-04-03,26.785175323486328
2020-04-06,28.397207260131836
2020-04-07,28.797937393188477
2020-04-08,30.063879013061523
2020-04-09,30.81070327758789
2020-04-13,31.657695770263672
2020-04-14,32.550235748291016
2020-04-15,32.96007537841797
2020-04-16,33.89814758300781
2020-04-17,34.11671829223633
2020-04-20,34.28065872192383
2020-04-21,34.25333023071289
2020-04-22,34.83620834350586
2020-04-23,34.526554107666016
2020-04-24,35.83803939819336
2020-04-27,36.093055725097656
2020-04-28,35.59213638305664
2020-04-29,35.54660415649414
2020-04-30,36.275203704833984
2020-05-01,35.74696350097656
2020-05-04,36.275203704833984
2020-05-05,36.72146224975586
2020-05-06,37.29523468017578
2020-05-07,37.6777458190918
2020-05-08,38.388145446777344
2020-05-11,38.36993408203125
2020-05-12,38.25153350830078
2020-05-13,37.8690185546875
