Date,BLK
2010-09-30,115.57383728027344
2010-10-01,116.31385040283203
2010-10-04,116.0219497680664
2010-10-05,116.29351806640625
2010-10-06,116.32063293457031
2010-10-07,116.04911804199219
2010-10-08,118.45895385742188
2010-10-11,120.31906127929688
2010-10-12,121.24910736083984
2010-10-13,121.67679595947266
2010-10-14,120.6652603149414
2010-10-15,119.3007583618164
2010-10-18,119.81669616699219
2010-10-19,118.54729461669922
2010-10-20,115.07156372070312
2010-10-21,112.86524963378906
2010-10-22,113.7477798461914
2010-10-25,114.31120300292969
2010-10-26,114.46736145019531
2010-10-27,114.38594055175781
2010-10-28,114.13475799560547
2010-10-29,116.07630920410156
2010-11-01,116.66008758544922
2010-11-02,117.46791076660156
2010-11-03,112.45797729492188
2010-11-04,114.73212432861328
2010-11-05,117.54253387451172
2010-11-08,114.78646850585938
2010-11-09,111.67730712890625
2010-11-10,114.37232208251953
2010-11-11,116.21880340576172
2010-11-12,117.48821258544922
2010-11-15,117.49505615234375
2010-11-16,113.55769348144531
2010-11-17,114.67781066894531
2010-11-18,114.82715606689453
2010-11-19,114.71178436279297
2010-11-22,113.27934265136719
2010-11-23,110.67262268066406
2010-11-24,112.61412048339844
2010-11-26,111.7384033203125
2010-11-29,110.72013854980469
2010-11-30,110.65228271484375
2010-12-01,114.49095153808594
2010-12-02,117.38018798828125
2010-12-03,117.7216796875
2010-12-06,117.12748718261719
2010-12-07,117.06599426269531
2010-12-08,118.64374542236328
2010-12-09,122.82402038574219
2010-12-10,125.03023529052734
2010-12-13,124.23108673095703
2010-12-14,124.76383209228516
2010-12-15,123.56168365478516
2010-12-16,125.07118225097656
2010-12-17,127.86481475830078
2010-12-20,128.75277709960938
2010-12-21,131.4917449951172
2010-12-22,130.43310546875
2010-12-23,128.868896484375
2010-12-27,129.27183532714844
2010-12-28,129.37437438964844
2010-12-29,130.3374481201172
2010-12-30,128.42494201660156
2010-12-31,130.17355346679688
2011-01-03,129.90707397460938
2011-01-04,129.8046417236328
2011-01-05,131.14337158203125
2011-01-06,129.72952270507812
2011-01-07,128.6571502685547
2011-01-10,130.57647705078125
2011-01-11,132.1133575439453
2011-01-12,132.40017700195312
2011-01-13,133.7457733154297
2011-01-14,135.96563720703125
2011-01-18,134.23077392578125
2011-01-19,130.84291076660156
2011-01-20,130.37155151367188
2011-01-21,131.8742218017578
2011-01-24,132.2225799560547
2011-01-25,135.2484893798828
2011-01-26,136.58042907714844
2011-01-27,137.78936767578125
2011-01-28,132.70074462890625
2011-01-31,135.2552947998047
2011-02-01,137.44784545898438
2011-02-02,134.99575805664062
2011-02-03,134.43563842773438
2011-02-04,132.74855041503906
2011-02-07,133.87559509277344
2011-02-08,136.17739868164062
2011-02-09,136.3481903076172
2011-02-10,137.09266662597656
2011-02-11,138.94375610351562
2011-02-14,140.0297393798828
2011-02-15,140.4737091064453
2011-02-16,140.25514221191406
2011-02-17,139.7428741455078
2011-02-18,141.16358947753906
2011-02-22,135.52166748046875
2011-02-23,133.28128051757812
2011-02-24,137.42733764648438
2011-02-25,139.2852325439453
2011-02-28,139.3330535888672
2011-03-01,137.5844268798828
2011-03-02,135.82225036621094
2011-03-03,142.41470336914062
2011-03-04,138.85882568359375
2011-03-07,136.34840393066406
2011-03-08,136.75424194335938
2011-03-09,135.4267120361328
2011-03-10,130.94229125976562
2011-03-11,130.66714477539062
2011-03-14,129.6011199951172
2011-03-15,127.72345733642578
2011-03-16,123.6447982788086
