Date,FCX
2020-02-25,10.078428268432617
2020-02-26,9.824821472167969
2020-02-27,9.204901695251465
2020-02-28,9.355183601379395
2020-03-02,9.862394332885742
2020-03-03,9.45850658416748
2020-03-04,9.8154296875
2020-03-05,9.38336181640625
2020-03-06,8.857370376586914
2020-03-09,7.730238437652588
2020-03-10,8.453482627868652
2020-03-11,7.626917839050293
2020-03-12,6.734606742858887
2020-03-13,7.072744846343994
2020-03-16,5.861080169677734
2020-03-17,6.0865068435668945
2020-03-18,4.98755407333374
2020-03-19,5.391442775726318
2020-03-20,5.1848015785217285
2020-03-23,5.062695503234863
2020-03-24,6.5655364990234375
2020-03-25,6.809749126434326
2020-03-26,6.5655364990234375
2020-03-27,5.823509693145752
2020-03-30,5.861080169677734
2020-03-31,6.340110778808594
2020-04-01,5.926830291748047
2020-04-02,6.001971244812012
2020-04-03,5.936222553253174
2020-04-06,6.753392696380615
2020-04-07,7.12910270690918
2020-04-08,7.542382717132568
2020-04-09,7.692668437957764
2020-04-13,7.7959885597229
2020-04-14,7.814773082733154
2020-04-15,7.204244613647461
2020-04-16,7.11970853805542
2020-04-17,7.833558082580566
2020-04-20,7.532991409301758
2020-04-21,6.960031986236572
2020-04-22,7.176065444946289
2020-04-23,7.3357439041137695
2020-04-24,7.965057849884033
2020-04-27,8.312590599060059
2020-04-28,8.378337860107422
2020-04-29,8.697693824768066
2020-04-30,8.293804168701172
2020-05-01,7.946272373199463
2020-05-04,8.171697616577148
2020-05-05,8.265626907348633
2020-05-06,8.068380355834961
2020-05-07,8.425302505493164
2020-05-08,8.65073013305664
2020-05-11,8.43469524383545
2020-05-12,8.14352035522461
2020-05-13,7.889914512634277
2020-05-14,7.786594390869141
2020-05-15,7.965057849884033
2020-05-18,8.622552871704102
2020-05-19,8.584980010986328
2020-05-20,8.566193580627441
2020-05-21,8.359553337097168
2020-05-22,8.20926570892334
2020-05-26,8.697693824768066
2020-05-27,8.725872993469238
2020-05-28,8.538018226623535
2020-05-29,8.519227981567383
2020-06-01,8.772835731506348
2020-06-02,9.157938003540039
2020-06-03,9.524253845214844
2020-06-04,9.580611228942871
2020-06-05,10.200532913208008
2020-06-08,10.566850662231445
2020-06-09,10.585636138916016
2020-06-10,10.773490905761719
2020-06-11,9.308221817016602
2020-06-12,9.853002548217773
