Date,RJF
2010-09-29,13.63492488861084
2010-09-30,13.618797302246094
2010-10-01,13.957520484924316
2010-10-04,13.758589744567871
2010-10-05,14.167207717895508
2010-10-06,14.30162239074707
2010-10-07,14.393020629882812
2010-10-08,14.570446014404297
2010-10-11,14.62959098815918
2010-10-12,14.796259880065918
2010-10-13,14.925302505493164
2010-10-14,14.919922828674316
2010-10-15,14.919922828674316
2010-10-18,15.118852615356445
2010-10-19,15.070470809936523
2010-10-20,15.2263822555542
2010-10-21,15.376928329467773
2010-10-22,15.403807640075684
2010-10-25,15.274778366088867
2010-10-26,15.285527229309082
2010-10-27,15.264019966125488
2010-10-28,15.328539848327637
2010-10-29,15.172618865966797
2010-11-01,15.344672203063965
2010-11-02,15.581235885620117
2010-11-03,15.817802429199219
